"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"company_summary"	"duration"
"Finance Data Scientist"	"Negotiable"	"London"	"Permanent"	"Finance Data Scientist"	"London - Negotiable"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Finance Data Scientist Senior Consultant - Manager As a Data Scientist within the Digital Finance Enablement team, you will be at the forefront of innovative cloud enabled analytics solutions in response to the most significant challenges faced by the Finance functions of our strategic global clients.  Responsibilities will include: Identify opportunities, design and assess Finance analytics solutions, for example using machine learning to support cost categorisation, or predictive modelling and forecasting supported by Big Data and Elastic Compute Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations Develop comprehensive understanding of Finance data structures and metrics Define schemas to store the data in Cloud data warehouses for analytics, including Big Query and Redshift Interact cross-functionally with a wide variety of people and teams Make business recommendations (eg cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information Ability to effectively prioritise, estimate, plan and delegate workload to meet deadlines Being a strong team player Strong verbal, written and presentation skills Location: London with occasional domestic and international travel Suggested work pattern: Permanent full-time Your professional experience Minimum qualifications: Degree in a quantitative discipline (eg, statistics, operations research, bioinformatics, economics, computational biology, computer science, mathematics, physics, electrical engineering, industrial engineering) +2 years of relevant work experience in data analysis or related field. (eg, as a statistician/data scientist/computational biologist/bioinformatician) Experience with statistical software (eg, R, Julia, MATLAB, pandas) and database languages (eg, SQL) Preferred qualifications: +3 years of relevant work experience (eg, as a statistician/computational biologist/bioinformatician/data scientist), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.  Recognised Professional Accounting qualification and/or experience working within a Finance function and Finance data role Applied experience with machine learning on large datasets. Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Demonstrated effective written and verbal communication skills. Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques. Experience in consulting or professional services "	"London, UK"	"IT, Finance, Consulting"	"ASAP"	"Negotiable"	"Next Ventures Ltd"	"Michael Kwakye "	"JS"	"30/11/2018 07:03:08"	"http://www.jobserve.com/Gjik1"	NA	NA	NA
"Technician - Lloyd's Broker"	"£28k - £31k per annum"	"London"	"Permanent"	"Technician - Lloyd's Broker"	"London - £28k - £31k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Lloyd's Broker are seeking a Technician to join their city based team to with knowledge of Brokasure and experience in processing claims and premiums. You'll be producing statistics, entering data, releasing payments, handling bureau processing and account conciliation. The client is looking for strong communication skills, full understanding of Brokasure system and ideally control experience. "	"London, UK"	"Finance"	NA	"£28k - £31k per annum"	"IPS"	"Clare Aldrich "	"JS-137950"	"03/12/2018 15:57:34"	"http://www.jobserve.com/GlQ5M"	NA	NA	NA
"Senior Data Analyst/Consultant - SQL/Tableau"	"£40k - £50k per annum"	"London"	"Permanent"	"Senior Data Analyst/Consultant - SQL/Tableau"	"London - £40k - £50k per annum"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Senior Data Analyst/Consultant - SQL/Tableau This is a fantastic opportunity to join an innovative mobile technologies organisation, currently going through an exciting expansion period, working closely with some of their global clients and providing them with vital data statistics! Our client are looking for a talented individual to join their team and support numerous data and analytic solutions for clients, including world-renowned international mobile operators.The chosen candidate will perform a range of data and consultancy tasks, working closely with new and existing clients and relevant teams within the business to ensure clients achieve their business objectives. It will be your responsibility to manage the delivery of analytics and reporting solutions, covering database design and development, statistical analysis, customer analytics, predictive modelling, visualisation, reporting design and reporting production. Additionally you will manage deliverables  within timescales and budgets in areas such as segmentation, correlations, decision trees, churn predictions, propensity models and dashboards, as well as responding to any information, data or insight requests. You will also be tasked with coaching and mentoring a junior member of staff, as well as monitoring their performance level and ensuring they are producing efficient reporting and modelling services. As well as developing new techniques and models to increase effectiveness, you will also build dashboard solutions and data strategies, tests, experiments and marketing campaigns. Please note: this role may include some occasional travel between international sites. To be considered for the role, you will need the following skills and/or experience:  At least 5 years' experience in a similar role   Previous experience as a senior member of a data science/analytics team   Strong hands-on SQL and Tableau experience   Strong communication skills   Experience within the telecoms or communications sector would be very beneficial  Qualserv Consulting Ltd is acting as a Recruitment Consultancy/Employment Agency in relation to this vacancy and advert. Qualserv Consulting is an Equal Opportunities Employer. Key words: data, analytic, analytics, analyst, consultant, consulting, consultancy, solutions, strategies, services, mobile, technology, operators, telco, telecommunications, telecoms, data-driven, customer acquisition, segmentation, customer lifetime value, customer retention, propensity modelling, churn, purchasing, platform, database, design, development, statistical, visualisation, reporting, report, predictive modelling, correlations, decision trees, information, insight, info, initiatives, workstream, stakeholders, clients, telecom, SQL, Tableau, MSSQL"	"London, UK"	"IT, Sales and Marketing, Consulting"	NA	"£40k - £50k per annum"	"Qualserv Consulting"	"Robert Pask"	"JSBIBB0043 ANALYST"	"30/11/2018 15:47:07"	"http://www.jobserve.com/GkqON"	NA	NA	NA
"Quantitative Researcher (Machine Learning, NLP, Stat Inference)"	"£125k - £150k per annum + bonus"	"London"	"Permanent"	"Quantitative Researcher (Machine Learning, NLP, Stat Inference)"	"London - £125k - £150k per annum + bonus"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Quantitative Researcher (Machine Learning, NLP, Stat Inference)We are looking for a Quantitative Researcher (Machine Learning, NLP, Stat Inference) to join our world leading research company; helping us to predict the future of financial markets.If you enjoyed the style of working in academia but also like the idea of working for one of the largest research companies in the world, this could be the right step for you. As a Quantitative Researcher, you would be working on a variety of different areas like Neural Networks, Deep Learning, Bayesian statistics, approximate inference, Time-Series forecasting and probabilistic models. You would be working in a small team of Quantitative Researchers on dedicated projects enjoying flexible working hours and a lot of freedom regarding you research.What we can offer a Quantitative Researcher the following:The chance to work for a leading research companyFlexible working hours, the freedom to work on your projects the way you prefer, a great company culture and exceptional team spiritThe chance to work on exciting real-world problems within Machine LearningA chance to visit the leading conferences in Machine Learning (NIPS, ICML) and the opportunity to publish your own papersBeing a part of a small team of Quantitative Researchers with the chance to enjoy an exceptional working environment including team events, team building activities and a dedicated open working spaceRelocation package and visa sponsorship supplied for the right candidateKey Skills: Quantitative Researcher, Quantitative Researcher, ML, Artificial Intelligence, AI, Finance, Neural Networks, Python, Gaussian Process, Bayesian Inference, Time-Series, Multi-Agent Systems, Deep Learning, Reinforcement Learning, Probabilistic Models, Approximate Inference, Neural Networks, Natural Language Processing, Markov Models, Signal Processing, Computational Statistics, Econometrics, Mathematical Modelling"	"London, UK"	"IT"	"ASAP"	"£125k - £150k per annum + bonus"	"Understanding Recruitment"	"Mat Ferdenzi "	"JS-BBBH1522"	"03/12/2018 05:00:51"	"http://www.jobserve.com/GlHh4"	"Executive"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"QA Test Engineer Android"	"£55k-£65k per annum"	"London"	"Permanent"	"QA Test Engineer Android"	"London - £55k-£65k per annum"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"QA Test Engineer - Start UpQA Test Engineer! Working with a leading global games studio, who require a forward thinking, proactive engineer to work within their markting function, where you will be joining a collaborative agile team and working closely with the developers to deliver new features, in line with business requirements to increse growth across their online games.You will write, execute and maintain test cases using mainly manual techniques but with a view to automation; you will introduce more automation as the role progresses. You'll take ownership of testing desktop, mobile and APIs, working with developers to ensure that tests written provide good coverage and keep track of bug statistics. Requirements:Strong experience of writing, executing and maintaining test cases for both desktop and mobile devicesExperience with test case management tools such as TestRailAbility to understand the system architecture and identify the areas that needs to be testedISTQB certification in Software Testing or similarEager to further your test automation skillsExcellent communication skills and good collaboratorAs a QA Test Engineer you will be joingin a friendly environment, working from an excellent Central London offices with breakout areas, pool table, console games, fully stocked kitchen, flexible working hours, competitive salary plus bonus and benefits.QA Test Engineer"	"London, UK"	"IT"	NA	"£55k-£65k per annum"	"Oliver Bernard"	"Dilan Shrimpton "	"JS-2312"	"05/12/2018 16:02:11"	"http://www.jobserve.com/Gloy5"	NA	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA
"QA Test Engineer (Start Up)"	"£55k - £65k per annum"	"London"	"Permanent"	"QA Test Engineer (Start Up)"	"London - £55k - £65k per annum"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"QA Test Engineer - Start UpQA Test Engineer! Working with a leading global games studio, who require a forward thinking, proactive engineer to work within their markting function, where you will be joining a collaborative agile team and working closely with the developers to deliver new features, in line with business requirements to increse growth across their online games.You will write, execute and maintain test cases using mainly manual techniques but with a view to automation; you will introduce more automation as the role progresses. You'll take ownership of testing desktop, mobile and APIs, working with developers to ensure that tests written provide good coverage and keep track of bug statistics. Requirements:Strong experience of writing, executing and maintaining test cases for both desktop and mobile devicesExperience with test case management tools such as TestRailAbility to understand the system architecture and identify the areas that needs to be testedISTQB certification in Software Testing or similarEager to further your test automation skillsExcellent communication skills and good collaboratorAs a QA Test Engineer you will be joingin a friendly environment, working from an excellent Central London offices with breakout areas, pool table, console games, fully stocked kitchen, flexible working hours, competitive salary plus bonus and benefits.QA Test Engineer"	"London, UK"	"IT"	NA	"£55k - £65k per annum"	"Oliver Bernard"	"Dilan Shrimpton "	"JS-2312"	"04/12/2018 11:34:41"	"http://www.jobserve.com/GlZpO"	NA	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA
"Data Scientist/Statistical Quant Mathematician - Contract"	"£450-£550 Per Day + Free Parking"	"High Wycombe, Buckinghamshire"	"Contract"	"Data Scientist/Statistical Quant Mathematician - Contract"	"High Wycombe, Buckinghamshire - £450-£550 Per Day + Free Parking"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Data Scientist/Quant Mathematician - Statistical/Datamodelling | £450 - £550 Per Day High Wycombe. HP11 £450 - £550 per day + Free Parking (6 Month Contract ongoing) Experience using C++ or Python is highly regarded, although Matlab & R experience will also be considered. Company:  We are a leading producer of form and data related applications for the horse racing industry. With our head office based in Sydney, Australia, we are expanding our UK presence with a view to trading the global markets.Position Summary: Working with some of the best mathematics and stats minds in the industry in a small and focused team environment, you will work on challenging and rewarding modelling projects.To be considered for this role you will have the following: + A strong background in mathematical and statistical modelling + Previous experience working as a Quant Analyst, Data Analyst, Data Scientist or Big Data Analyst - desirable + Masters or PhD in maths/statistics/machine learning/econometrics essential. + Experience using C++ or Python is highly regarded, although Matlab & R experience will also be considered. + Strong algorithmic coding skill and solid knowledge of data structures + Experience with statistical forecasting essential.  + Understanding of machine/statistical learning techniques such as non-linear regression, Kernel regression, support vector machines (SVM), neural networks, classification trees and similar techniques very beneficial. + Experience working within the horse racing/wagering industry highly desirable This is a great opportunity for someone passionate about maths and stats to have their ideas put into practice. You may have worked in the following capacities:Data Modeller, Statistical Modelling, Big Data Analyst, Banking, Finance, Gambling/Gaming Sector, Statistical Modelling Application notice... We take your privacy seriously. When you apply, we shall process your details and pass your application to our client for review for this vacancy only. As you might expect we may contact you by email, text or telephone. Your data is processed on the basis of our legitimate interests in fulfilling the recruitment process. Please refer to our Data Privacy Policy & Notice on our website for further details.  If you have any pre-application questions please contact us first quoting the job title & ref. Good luck, Team RR."	"High Wycombe, Buckinghamshire, UK"	"IT"	NA	"£450-£550 Per Day + Free Parking"	"RecruitmentRevolution.com"	"Team RR "	"JS12061"	"03/12/2018 23:27:26"	"http://www.jobserve.com/GlUN0"	NA	"About RecruitmentRevolution.comwww.recruitmentrevolution.com/In 2005 our founders (two candidates just like you) had a crazy idea to challenge an industry stuck in its ways. They ripped up the rule book, stripped away the pushy sales, schmooze and high fees to deliver an agency experience that makes everyone feel just that little bit happier. Since then we have gone on to become the leading authority in our space and the go-to talent finders for over 2500 awesome Start-Ups to Global Brands.We work with clients across the spectrum of IT roles – ranging from Web Development, Software Engineering and Dev Ops to 1st Line Support, IT Managers right through to CTO level."	NA
"Machine Learning Research Engineer"	"£60k - 90k per year + Equity"	"Greater London, England"	"Permanent"	"Machine Learning Research Engineer"	"Greater London, England - £60k - 90k per year + Equity"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"An extremely exciting and award winnig London based machine learning start-up are looking for a Machine Learning Research Engineer to join their team on a permanent basis. The company specialises in making sense of unstructured data, using cutting edge machine learning, NLP and deep learning techniques. This Machine Learning Research Engineer position is ideal for someone who comes from a strong software development background having more recently transitioned into a machine learning engineer role or a software engineer with a passion for machine learning and a number of relevant personal projects.This is an opportunity to join a very exciting company as they begin growing exponentially, working with researchers from the worlds top universities.Essential Requirements:MSc or PhD in Computer Science, Machine Learning or similar field from a top universityExtensive software development experience in a variety of languages (Rust or Golang are preferred)In depth knowledge of statistics, probability and linear algebraPython proficiencyExperience with deep learning frameworksNLP processing experienceUnfortunately sponsorship cannot be provided for this position, therefore you must be eligible to work in the UK without sponsorship to be considered. The salary bracket for this role is £60,000 to £90,000 per annum plus equity Dependent on your experience level and they are looking to get the successful candidate started ASAP with interviews starting on Monday 10th December. If this role seems like it is of interest to you and you fit the requirements for the role please apply today by sending your CV to (see below) or call Luke for further details."	"Greater London, England, UK"	"IT"	NA	"£60k - 90k per year + Equity"	"X4 Group"	"Luke Tomaszko "	"JSMCHLRENG"	"04/12/2018 16:55:39"	"http://www.jobserve.com/GlcMQ"	NA	"About X4 Groupwww.x4technology.co.ukX4 Technology is an industry leading specialist recruitment business for the tech sector. We are part of the X4 Group, one of the fastest growing and most successful recruitment businesses, with over 10 years of experience in successfully placing mid to senior level contract and permanent professionals across the globe.Cyber Security Big Data Machine Learning & Data Science Business IntelligenceDevOps & Infrastructure Embedded Software Engineering Hardware & Electronics Java Development .Net Technologies Senior IT AppointmentsTestingPHP, Opensource & Ruby on RailsFront End TechnologiesSpecialist JavaScriptBusiness Development SEO, PPC & Analytics Marketing Fintech, Banking & Finance"	NA
"Data Scientist"	"£30k - 42k per annum"	"London"	"Permanent"	"Data Scientist"	"London - £30k - 42k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data ScientistInsuranceCity of LondonAn amazing opportunity for a talented Data Scientist to join the leading Specialty Insurance company to work within their technical pricing team. DUTIES:Develop and apply data science, machine learning and other statistical techniques to draw insights and shape the strategic direction of data usageTake part in expanding data processing and technical modelling frameworkEstablish efficient ways of implement segmentation and predictive modelsEnsure that reusable data assets build smoothly on a regular basisSKILLS & EXPERIENCE REQUIRED:Academic background in computer science, engineering, physics, actuarial science, statistics or Maths based equivalentExceptional statistical skills - experience of building predictive models using a wide variety of tools and techniques (eg linear or logistic regression, gradient boosted machines, random forest, regularisation, neural networks)Advanced data manipulation or experience of managing large-scale data sets within an analytical function (eg dplyr, pandas, SQL, etc.)Advanced experience of data science or analytics software like Python, R, SAS/WPS, MATLAB etc.Working knowledge of relevant development environments (eg PyCharm, RStudio, Visual Studio Code, eclipse) and Shell Scripting (eg Bash, PowerShell), version control (eg git, Subversion, Mercurial) etc.BENEFITS:As well as a competitive salary, this role also offers: Performance profit share bonus (c.12% of salary)25 days holiday plus bank holidaysEmployer pension contribution of 5%, with employee contribution of 3%+Income replacement insurance4 x salary life assurance You will also have access to flexible benefits, which are employee paid, and includes: holiday buy, gym membership, car salary sacrifice, critical illness insurance, health screening - allowing you the freedom to choose those that are most appropriate for you. "	"London, UK"	"IT"	"ASAP"	"£30k - 42k per annum"	"HFG"	"Simona Zalyte "	"JSSZ143L"	"03/12/2018 12:02:20"	"http://www.jobserve.com/GlOSV"	NA	NA	NA
"Data Scientist - Tier 1 Investment Bank - 6 month contract"	"£600 - £750 per Day"	"City of London"	"Contract"	"Data Scientist - Tier 1 Investment Bank - 6 month contract"	"City of London - £600 - £750 per Day"	"Contract"	"Posted: Wednesday, 5 December 2018"	""	"Data Scientist - Tier 1 Investment Bank - 6 month contract - London A leading Tier 1 Investment Bank is looking for a senior Data Scientist to join their global markets office for an initial 6 month contract.The successful candidate will be an expert in building machine learning models from inception through to deployment and production.Essential RequirementsMSc degree or equivalent in Artificial Intelligence, Machine Learning, Computer Science, Statistics, Mathematics, Physics or similar quantitative disciplineProficiency in Python (or R) and SQL, and experience in developing and deploying models to a production system or commercial useDevelopment knowledge in Java (or Scala)Hands-on skills in machine learning techniques with demonstration in academic publications and/or online competitions like KDD-Cup, Kaggle etc.Familiar with one or more machine learning algorithms: content/collaborative filtering, NLP, non-linear/deep regressions, boosted trees, ensembles etc.Thorough understanding of full modelling process: exploratory data analysis, feature engineering/selection, multi-layer cross validationsExperience in developing prediction models in E-commerce or digital marketingA good understanding of statistics (eg, hypothesis testing, non-parametric methods)Ability to work collaboratively and proactively in a fast-paced environment interacting with both a non-technical and technical audiencesKnowledge of big data systems and NoSQL databasesPreferable qualifications and skill setA PhD in a quantitative subjectExperiences with big data frameworks ie Spark, Hadoop, Kafka etc.Previous experience with recommender systemsCommercial mindset and interest in digital and web contentA hacker's mentality to problem solvingComfortable in using open source technologiesInterest in keeping up with state-of-the-art machine learning by attending and submitting papers to relevant conferencesKnowledge or experience in developing/deploying to AWS or AzureEmpiric is a global provider of niche and specialist recruitment services operating across Investment Banking, Oil & Gas, Engineering, IT and Industry & Commerce. Our expert knowledge of the market and strong working relationships with our clients has enabled us to become the preferred supplier to over 150 global corporations. "	"City of London, UK"	"IT, Finance, Consulting"	"1/1/2019"	"£600 - £750 per Day"	"Empiric Solutions"	"Empiric "	"JS-DS - 5/12/18"	"05/12/2018 16:51:38"	"http://www.jobserve.com/GlpSk"	NA	NA	"6 months"
