"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"duration"	"category"
"Data Scientist (Deep Learning, Neural Nets, Fake News)"	"£65k - £75k per annum + equity"	"London"	"Permanent"	"Data Scientist (Deep Learning, Neural Nets, Fake News)"	"London - £65k - £75k per annum + equity"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data Scientist (Deep Learning, Neural Nets, Fake News):We are currently looking for Data Scientist (Deep Learning, Neural Nets, Fake News) to join a rapidly expanding Machine Learning (NLP) start-up, based in central London. This start-up have already patented their own Machine Learning technology and are revolutionizing the way in which we access and process news within the realm of social media.This organisation have just recieved a huge amount of funding and are currently searching for a Data Scientist with experience in Deep Learning and Neural Networks within their academic, research or industry related work (published papers are a huge benefit). You will be passionate about contributing to the solutions of real-world problems through the devise of a Deep Learning and Machine Learning model.As a Data Scientist, you will be developing deep learning models that will be used to determine whether news is either real or fake. You will also have a key role in classifying the effectiveness of the Big Data that the team are using. In addition to this, you will be defining the strategy of how their model is used in the long-term. You will also have the opportunity to publish papers at a world-renowned University, who the company are currently working closely alongside. What we can offer a Data Scientist (Deep Learning, Neural Nets, Fake News):To work in a high profile startup within the domain of social media analysisStrong salary and package offeredFlexible working environment and hoursBecome an integral and key member of the team, work among experts in the field of ML/NLPKey Skills: Data Scientist (Deep Learning, Neural Nets, Fake News); Deep Neural Networks, NLP, Deep Learning, PhD, Research, Researcher, Graph Theory, Statistics, Mathematical Models, Natural Language Processing, DL, ML, Machine Learning, Post Doc, Tensorflow, Unsupervised Learning, Supervised Learning, Semi-Supervised Learning, Signal Processing, Probability Theory, Probability, Stats, Mathematics, Maths, Data Mining, Map-Reduce, NIPS, IEEE, Publications, Clustering, Big Data, Data Science, Data Scientist, Machine Learning Models, NN, Neural Networks, DNN, GANS"	"London, UK"	"IT"	"ASAP"	"£65k - £75k per annum + equity"	"Understanding Recruitment"	"Anna Heneghan "	"JS-BBBH1522"	"03/12/2018 05:00:28"	"http://www.jobserve.com/GlHhh"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA	NA
"Data Scientist - Supply Chain"	"Market Rate"	"London"	"Contract"	"Data Scientist - Supply Chain"	"London - Market Rate"	"Contract"	"Posted: Wednesday, 5 December 2018"	""	"Data Scientist - Supply ChainIf you are a Data Scientist looking for your next contract opportunity to manipulate multi-source data and build Machine Learning Models within a Microsoft Azure Cloud environment. Click apply or contact Oliver to be considered immediately for this Data Scientist opportunity. My South West London based client is looking for a Data Scientist fluent in operational research within supply chain environments to gather data and build machine learning models to solve advanced forecasting problems to gain a competitive advantage within procurement, manufacturing and distribution. You will code in Python and R to leverage both predicative and prescriptive analytics alongside advanced machine learning forecasting techniques to provide optimal ROI for this market dominant client. A background in statistical modelling, optimisation techniques and simulation packages such as Anylogic will prove extremely beneficial. Essential:* Data Science within Supply Chain environments and applications* Machine Learning Model Building & Forecasting Techniques * Operational research* Statistical Modelling* Python Coding & R* Manipulating multi-source data* Cloud Architecture* Simulation Packages (Anylogic or similar) Apply or contact Oliver to be considered immediately for this Data Scientist opportunity. "	"London, UK"	"IT, Logistics"	NA	"Market Rate"	"Gibbs Hybrid"	"Oliver Longhurst "	"JS-OLDSCORSC"	"05/12/2018 10:06:19"	"http://www.jobserve.com/GllrU"	"About Gibbs Hybridwww.gibbshybrid.comGibbs Hybrid Gibbs Hybrid is an International people-powered business, providing Programme Technology Solutions, Total Talent Management Services and Outsourcing as a Service. We offer our innovative blended models to help improve our clients’ People, Technology, Process and Delivery Challenges.Headquartered in the UK, Gibbs Hybrid has offices across Ireland, Poland, Luxembourg, US and Canada.  We are a tier one partner, privately held and a globally certified Woman-owned Business Enterprise (WBE) & Ethnic Minority Owned Business (EMB). Our passion is to be the most respected and trusted partner and our philosophy is centred round Innovation, Customer Centricity, Expert Execution.Passionate about people and passionate about making a difference. "	"6 months"	NA
"Data Scientist - Python/Hadoop/Machine Learning - London"	"£50k - £70k per annum + bonus + package"	"City of London"	"Permanent"	"Data Scientist - Python/Hadoop/Machine Learning - London"	"City of London - £50k - £70k per annum + bonus + package"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Data Scientist/Engineer - Machine Learning/Big Data/Hadoop/PythonCentral London - Up to £70k + Bonus + PackageAn exciting job opportunity has arisen for an experienced Data Scientist/Data Engineer to join the global technology innovation centre of a leading global banking institution. This is an incredibly attractive role for an experienced Data Scientist or Data Engineer to embark on a career with one of the most desirable employers in the banking and finance domain.For this job opportunity, we are looking for candidates with a deep understanding of big data technologies combined with good knowledge of modern Machine Learning techniques in both supervised and unsupervised form. Ideally you will offer experience or a good understanding of Spark, Scala or Java combined with programming skills in Python and a good understanding of Machine Learning such as GBM methods, XGBoost, LightGBM, Clustering and/or deep learning techniques such as tensorflow.We are offering an attractive salary for this role combined with a generous bonus and benefits package."	"City of London, UK"	"IT"	NA	"£50k - £70k per annum + bonus + package"	"Harvey Nash IT Recruitment UK"	"Sumeya Ibrahim "	"JS-351560/001"	"04/12/2018 10:05:41"	"http://www.jobserve.com/GlYxW"	"About Harvey Nash IT Recruitment UKwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."	NA	"Executive"
"Data Scientist - £80,000 - Shoreditch"	"£70k - £80k per annum"	"London"	"Permanent"	"Data Scientist - £80,000 - Shoreditch"	"London - £70k - £80k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data Scientist - £80,000 - ShoreditchAre you an experienced data scientist looking to join an innovative, fully finded start-up that are making real changes to a growing industry? Do you want to work with next generation software using leading cutting edge techniques?You will be:Helping them become a data driven organisation! The work will be a mixture of research and data mining through to implementing and continuously improving their algorithms with the Engineering team. You will be able to see real business benefit and growth from each initiative/delivery.You will need:Previous practical experience training machine learning models using a framework such as SciKitLearn, Tensorflow or similarProven delivery and deployment of ML framework and implementation in a production environment, including building pipelinesStrong working experience in Python (SciPy)SQL and not being afraid of analysing real-world messy data.Knowledge of visualisation toolsExperience using a range of Statistical Modelling and/or Machine learning techniques (Regression, Clustering, Decision Trees) and Model Selection (eg Cross validation, AIC)"	"London, UK"	"IT"	NA	"£70k - £80k per annum"	"Harvey Nash IT Recruitment UK"	"Evie Orros "	"JS-349404/001"	"03/12/2018 10:38:39"	"http://www.jobserve.com/GlNP2"	"About Harvey Nash IT Recruitment UKwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."	NA	NA
"Data Scientist/Statistical Quant Mathematician - Contract"	"£450-£550 Per Day + Free Parking"	"High Wycombe, Buckinghamshire"	"Contract"	"Data Scientist/Statistical Quant Mathematician - Contract"	"High Wycombe, Buckinghamshire - £450-£550 Per Day + Free Parking"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Data Scientist/Quant Mathematician - Statistical/Datamodelling | £450 - £550 Per Day High Wycombe. HP11 £450 - £550 per day + Free Parking (6 Month Contract ongoing) Experience using C++ or Python is highly regarded, although Matlab & R experience will also be considered. Company:  We are a leading producer of form and data related applications for the horse racing industry. With our head office based in Sydney, Australia, we are expanding our UK presence with a view to trading the global markets.Position Summary: Working with some of the best mathematics and stats minds in the industry in a small and focused team environment, you will work on challenging and rewarding modelling projects.To be considered for this role you will have the following: + A strong background in mathematical and statistical modelling + Previous experience working as a Quant Analyst, Data Analyst, Data Scientist or Big Data Analyst - desirable + Masters or PhD in maths/statistics/machine learning/econometrics essential. + Experience using C++ or Python is highly regarded, although Matlab & R experience will also be considered. + Strong algorithmic coding skill and solid knowledge of data structures + Experience with statistical forecasting essential.  + Understanding of machine/statistical learning techniques such as non-linear regression, Kernel regression, support vector machines (SVM), neural networks, classification trees and similar techniques very beneficial. + Experience working within the horse racing/wagering industry highly desirable This is a great opportunity for someone passionate about maths and stats to have their ideas put into practice. You may have worked in the following capacities:Data Modeller, Statistical Modelling, Big Data Analyst, Banking, Finance, Gambling/Gaming Sector, Statistical Modelling Application notice... We take your privacy seriously. When you apply, we shall process your details and pass your application to our client for review for this vacancy only. As you might expect we may contact you by email, text or telephone. Your data is processed on the basis of our legitimate interests in fulfilling the recruitment process. Please refer to our Data Privacy Policy & Notice on our website for further details.  If you have any pre-application questions please contact us first quoting the job title & ref. Good luck, Team RR."	"High Wycombe, Buckinghamshire, UK"	"IT"	NA	"£450-£550 Per Day + Free Parking"	"RecruitmentRevolution.com"	"Team RR "	"JS12061"	"03/12/2018 23:27:26"	"http://www.jobserve.com/GlUN0"	"About RecruitmentRevolution.comwww.recruitmentrevolution.com/In 2005 our founders (two candidates just like you) had a crazy idea to challenge an industry stuck in its ways. They ripped up the rule book, stripped away the pushy sales, schmooze and high fees to deliver an agency experience that makes everyone feel just that little bit happier. Since then we have gone on to become the leading authority in our space and the go-to talent finders for over 2500 awesome Start-Ups to Global Brands.We work with clients across the spectrum of IT roles – ranging from Web Development, Software Engineering and Dev Ops to 1st Line Support, IT Managers right through to CTO level."	NA	NA
"Data Scientist - World class team in Manchester"	"£30k - £45k per annum + Share Options & Bonus"	"Manchester"	"Permanent"	"Data Scientist - World class team in Manchester"	"Manchester - £30k - £45k per annum + Share Options & Bonus"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Data Scientist needed by a genuinely world class team in the heart of Manchester, building a first of its kind AI product. This is a unique opportunity to join a growing organisation who have been one of Manchester's biggest success stories in the last few years. They are constantly striving to improve, hiring some of the best people in the UK across the business, whilst fiercely guarding their culture.You: You will ideally be either a Data Scientist at the moment or someone coming from a highly numerical background doing something an MSc or PhD.The team appreciate that if you can solve complex problems, deal with complex data sets and turn that information into something actionable - you can become a top Data Scientist. From a technical perspective, ideally you will have experience (commercial or academic) of most of the following: * Machine Learning/Data Mining/Natural Language Processing (NLP)/Neural Networks/Deep Learning* Statistical Packages or Languages such as: R, SPSS, SAS, S-Plus, Python, MATLAB and STATA* RDBMS - Open Source, NoSQL and any knowledge of SQL Server* Any understanding or previous knowledge of: Markov Models, Cluster Analysis, Statistics and Reliability Models* Big Data tools such as: Hadoop/Pig/Hive/HBase/Cassandra/Spark/SplunkThe Role:As you will be working for a Data Analytics company, technical & mathematical problems are par for the course. You will be dealing with a mix of clients from global FTSE 100 organisations to local companies so will need to be able to communicate with them at both a technical and non-technical level. One of the reasons they have been so successful is the attention to detail and understanding of their customers exact problem.One of the biggest areas for our client is the desire to continue your professional development, keeping abreast of the ever-changing world of data, attending meet-ups, experimenting with new techniques/technologies and generally immersing yourself in all things data science.If you're on the lookout for a big pay day, or to work in a behemoth organisation where you'll be a small cog in a big wheel, this is definitely not the role for you.However, if you are ambitious and up for a challenge - it could be perfect.The Company:A genuine North West success story, you will be joining an organisation who have really exploded onto the scene in the last couple of years and have helped solidify Manchester as a genuine tech powerhouse.With a stellar leadership team, who are constantly pushing the boundaries and striving to achieve more, you will be working for an organisation that is trying to be one of the very best on the planet. With the way they are going - this will become a reality!They provide various data analytics solutions to customers across the country, from models for forecasting and sales pipelines, to entire end to end data science solutions - this team can do it all.Having already out-grown two offices, they have moved into a custom fit space in the heart of Manchester, which is easily one of the best spaces in Manchester (if not the whole country). Application & Interview Process:To apply for this role, click on the link below and feel free to get in touch with Liam at Cathcart Associates for a more detailed chat.The interview process for this role is an informal chat with one of the Lead Data Scientists, followed by a more in-depth technical chat with the Director of Data Science and a final cultural chat with the CEO, who is still very much hands on when it comes to building the team."	"Manchester, UK"	"IT"	"ASAP"	"£30k - £45k per annum + Share Options & Bonus"	"Cathcart Associates Limited"	"Liam Wilson "	"JS-VR/20250"	"07/12/2018 16:14:26"	"http://www.jobserve.com/Gl6ZW"	"About Cathcart Associates Limitedwww.cathcartassociates.comCathcart Associates is a market leading, independent IT / Technology consultancy offering permanent and contract services across Scotland and the North of England for all technical disciplines."	NA	NA
"Data Scientist"	"£30k - 42k per annum"	"London"	"Permanent"	"Data Scientist"	"London - £30k - 42k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data ScientistInsuranceCity of LondonAn amazing opportunity for a talented Data Scientist to join the leading Specialty Insurance company to work within their technical pricing team. DUTIES:Develop and apply data science, machine learning and other statistical techniques to draw insights and shape the strategic direction of data usageTake part in expanding data processing and technical modelling frameworkEstablish efficient ways of implement segmentation and predictive modelsEnsure that reusable data assets build smoothly on a regular basisSKILLS & EXPERIENCE REQUIRED:Academic background in computer science, engineering, physics, actuarial science, statistics or Maths based equivalentExceptional statistical skills - experience of building predictive models using a wide variety of tools and techniques (eg linear or logistic regression, gradient boosted machines, random forest, regularisation, neural networks)Advanced data manipulation or experience of managing large-scale data sets within an analytical function (eg dplyr, pandas, SQL, etc.)Advanced experience of data science or analytics software like Python, R, SAS/WPS, MATLAB etc.Working knowledge of relevant development environments (eg PyCharm, RStudio, Visual Studio Code, eclipse) and Shell Scripting (eg Bash, PowerShell), version control (eg git, Subversion, Mercurial) etc.BENEFITS:As well as a competitive salary, this role also offers: Performance profit share bonus (c.12% of salary)25 days holiday plus bank holidaysEmployer pension contribution of 5%, with employee contribution of 3%+Income replacement insurance4 x salary life assurance You will also have access to flexible benefits, which are employee paid, and includes: holiday buy, gym membership, car salary sacrifice, critical illness insurance, health screening - allowing you the freedom to choose those that are most appropriate for you. "	"London, UK"	"IT"	"ASAP"	"£30k - 42k per annum"	"HFG"	"Simona Zalyte "	"JSSZ143L"	"03/12/2018 12:02:20"	"http://www.jobserve.com/GlOSV"	NA	NA	NA
"Data Scientist - London - £60k"	"£50k - 60k per annum"	"London"	"Permanent"	"Data Scientist - London - £60k"	"London - £50k - 60k per annum"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Data Scientist - London - £60k.My client are looking for an experienced Data Scientist, the ideal candidtae will have 2years plus experience within a Data Science role. The successful candidate will have strong python skills, and experience within Machine Learning techniques. For this role, the candidate will possess good communication skills. In order to hear more about this role please contact myself, Dominic at Opus. Data Scientist - London - £60k "	"London, UK"	"IT"	"ASAP"	"£50k - 60k per annum"	"Opus Recruitment Solutions Ltd"	"Dominic Fox "	"JSDATA SCIENTIST - LONDON - £60K"	"04/12/2018 17:56:25"	"http://www.jobserve.com/GlcY4"	NA	NA	NA
"Data Scientist"	""	"City of London"	"Contract"	"Data Scientist"	"City of London"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"Data ScientistA Data Scientist is required for a large retail firm. The client is looking to expand and build on their current data science team to enhance the capabilities of forecasting. modelling and pricing.You will be working extensively in Python and the ideal candidate will be verse in a number of different data science techniques and development methods.Skills and Criteria PythonExperience in Machine Learning, data mining and prototyping.Extensive data Science experience.PhD program in Computer Science, mathematics or related disciplinesIf this role could be of interest, please reply with an updated version of your CV.Real Staffing, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy"	"City of London, UK"	"IT, Retail"	"ASAP"	NA	"Real Staffing Group"	"Simon Cafferkey "	"JS-HA-32904930"	"06/12/2018 17:18:54"	"http://www.jobserve.com/Glygz"	NA	"6 months"	NA
"Data Scientist - London - £60,000"	"£60k per annum"	"London"	"Permanent"	"Data Scientist - London - £60,000"	"London - £60k per annum"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Data Scientist - London - £60,000Salary: £60,000 plus benefits package My client is a maket leader within their industry. The client is looking to set up a Data science hub in London. As a result they are looking to create a brand new Data Science team. They're currently in the stage of looking for Data scientists with 1-4 years commercial experience. Essential skills: At least 2-3 years commercial experience in data science related rolesBackground using Machine Learning.Strong python coding skills  Benfits:  25 days holiday. Option to work from home one day a week. Access to the latest technologies the industry has to offer. Lucrative bonus package. If this role is of interest, please get in contact with and i will be happy to discuss further. Data Scientist - London - £60,000"	"London, UK"	"IT"	NA	"£60k per annum"	"Opus Recruitment Solutions Ltd"	"Dominic Fox "	"JSDATA SCIENTIST - LONDON - £60,000"	"06/12/2018 12:44:04"	"http://www.jobserve.com/GlxUJ"	NA	NA	NA
