"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"start_date"	"category"
"Actuary"	"£600 - £650 per Day"	"Reading, Berkshire"	"Contract"	"Actuary"	"Reading, Berkshire - £600 - £650 per Day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"ActuaryWorking with Prudential as an Actuary means becoming part of a brand with a global reputation, a remarkable history and exciting plans for the future. If you're inspired to join us, and if you have the necessary qualities, then this could be the opportunity you've been looking for.At Prudential we're absolutely focused on getting the best outcomes for customers. Ours is one of the most profitable and trusted names in life and pensions, and we lead the market in a number of pension products. Across the world, we look after £635 billion in savings and investments for 24 million customers (as at June 2017).This role requires a part qualified/qualified Actuary who has practical experience across a range of Finance specialisms. The main duties of the role are:To produce and be accountable for the technical accuracy of financial information to support the production of actuarial analysis, models and reportsTo provide specialist technical advice and guidance on the application of actuarial principles and tools to support business objectives, coaching and guiding less experienced members of the teamTo provide technical expertise to design technical solutions as part of change projects within Finance where requiredPeople who work at Prudential agree that ours is a great place to work with a brilliant team spirit. It's also an innovative, high-performing commercial environment that's totally focused on customers. And in a fast-changing world, you'll join an organisation that's leading the way in helping customers achieve their long-term financial goals.At Prudential we work hard to create an environment that enables everyone to flourish and we actively encourage diversity across the business. "	"Reading, Berkshire, UK"	"Finance"	"6 months"	"£600 - £650 per Day"	"Resource Solutions - M&G Prudential"	"Martyn Jack"	"JS-1111862"	"29/11/2018 10:38:58"	"http://www.jobserve.com/GkguQ"	NA	NA
"Actuarial Pricing Analyst"	"£45k"	"Bristol"	"Permanent"	"Actuarial Pricing Analyst"	"Bristol - £45k"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Role: Retail Pricing Analyst Salary: DOE Location: Bristol How would you like to work for one of the UK's fastest growing insurance and claims management businesses? Lynx Recruitment are working closely with a client committed to providing customer satisfaction. They are based in Bristol and looking for an Actuarial Analyst with a proven track record within the Motor Insurance industry. Key Responsibilities: With feedback, look to amend and improve the price optimisation framework A focus around delivering the price optimisation project Involvement in the generation of new and renewal of current business Maximisation of lifetime value through manipulation of broker loads, allowing for many aspects of business: Models of price elasticity, loss ratios, broker finance income, broker loads, MTA propensity, cancellation propensity, renewal propensity, market price models, more general demand models etc. Potential to get involved in risk pricing either directly or indirectly Desirable Skills/Experience A proven track record in both Personal Lines and Motor Insurance is essential Statistical modelling A track record in working with SAS/SQL/R or other An actuarial focus, either through experience or exams is desirable Good communication skills A range of great benefits are also on offer and there will be a discussion around our client's full actuarial study package at the interview stage should this be desired."	"Bristol, UK"	"Finance"	NA	"£45k"	"Lynx Recruitment Ltd"	"Joshua Wetson"	"JSJW110"	"28/11/2018 08:50:26"	"http://www.jobserve.com/GiCkV"	"ASAP"	NA
"Aspen Actuarial Graduate Program"	""	"City of London"	"Permanent"	"Aspen Actuarial Graduate Program"	"City of London"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"As a Graduate Actuary at Aspen, you'll be using your love of mathematics to master the numbers behind our business. By analysing our past and present business and management data, you'll help us to quantify the risks and probabilities of future events, providing us with actionable information and a competitive advantage in one of three key areas:Reserving: applying statistical techniques to assess the likely outcome of our insurance liabilities, and the capital provisions required to meet them.Pricing: assessing the frequency and average amount of claims in order to establish our risk appetite and allow us to price our risks appropriately and competitively.Capital modelling: projecting our liabilities and assets to assess solvency and future capital needs.You'll be working with some of the industry's best actuaries who will help and guide you during your program, especially while you're studying for your actuarial examinations. Successful completion of modules will see you rewarded with pay increases and bonuses, allowing your career to progress as quickly as you want it to.We are looking for graduates who are highly numerate and are on track to achieve a 2:1 (UK) or a GPA of 3.0 or above (US). You will be studying towards or have completed an Actuarial Science or a mathematically related degree at Bachelors level or higher. In the UK you will have good GCSE and A/AS Level grades (300 UCAS points), ideally having studied a numerical subject such mathematics to A or AS Level and achieved a B grade or above.Excellent verbal and written communication skills and the ability to quickly build relationships are crucial for success, as our roles are business-facing from day one. We are looking for candidates who are self-starters and are able to handle multiple tasks and prioritise demonstrating strong organizational and time management skills.We are looking for candidates who are self-starters and are able to handle multiple tasks and prioritise demonstrating strong organizational and time management skills.To apply click on the link and fill out all the fields and upload the latest copy of your resume. Be sure all of your contact information is included on the resume so we can contact you by phone and E-mail.Don't forget to press \"submit\" when you're done. And for more information about the Program, please visit our website"	"City of London, UK"	"Finance"	NA	NA	"Pontoon"	"Rita Gilbert"	"JS-ASP-ACT239596834"	"28/11/2018 13:00:34"	"http://www.jobserve.com/GkYuS"	NA	"Graduate"
"General Insurance Actuary"	"£70k - £85k"	"London"	"Permanent"	"General Insurance Actuary"	"London - £70k - £85k"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"How would you like to work for a global, top 4 consultancy? Lynx Recruitment are working closely with their client as they go through a period of extensive growth, now looking to take on board Senior Consultants to be involved in a variety of areas. Key areas of involvement: IFRS17 Solvency II Actuarial modelling Capital management Reserving Required Skills: Sound knowledge of the non-life industry Application of knowledge to a wide variety of situations Experience in at least one of the areas above A strong academic background in the actuarial industry Strong communication skills Required Experience: Be actively involved in multiple projects of a technical nature The ability to manage small groups of Actuarial trainees Comfortability in dealing with an extensive list of clients including face-to-face meetings Assist with business development While an extensive skill set is naturally important, our client places an equal value on a strong and adaptable personality. The candidate must be multi-dimensional and willing to contribute wherever and whenever required. A great range of benefits are also on offer. If this is of interest then please do not hesitate to get in touch."	"London, UK"	"Finance"	NA	"£70k - £85k"	"Lynx Recruitment Ltd"	"Joshua Wetson "	"JSJWACT1"	"29/11/2018 08:09:43"	"http://www.jobserve.com/GhFy2"	"ASAP"	NA
"MoSes Developer"	"Up to £800 per Day"	"United Kingdom"	"Contract"	"MoSes Developer"	"United Kingdom - Up to £800 per Day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"Our client is looking for an actuarial MoSes developer based on a 6 months contract - up to £800 per day The senior Actuarial Modeller role forms a key part of the Division Modelling Team that provides a group level modelling service - including Europe & UK. Supporting the Head of Actuarial Modelling and the team in the development and maintenance of MoSes Pricing, Valuation and Corporate modelling tools across all product lines and Business Units whilst also managing, coaching and developing less experienced Actuarial Modellers This allows the Actuarial Modeller to be exposed to a dynamic and extensive variety of models, products and treaties. This is a Front Office role from an internal perspective and the team interacts with the model users from all over the business on a daily basis. An example of a key project that the Actuarial Modeller will work on will be a model migration exercise scheduled in order to migrate all of the models to a new platform Must have coding experience in eg. C++ or Visual Basic Demonstrable interest in actuarial modelling and model development experience, preferably with knowledge of Life, CI, IP and Annuity/Longevity products Experience of using MoSes, RiskAgility FM or similar modelling platforms, including an understanding of the benefits and limitations of such platforms Advanced understanding of Microsoft Excel and Word Excellent written and verbal communication skills and ability to build and manage relationships with stakeholders in Actuarial and non-Actuarial teams If you are interested in this opportunity or looking for similar opportunities please feel free to contact our team."	"United Kingdom"	"IT"	"6 months"	"Up to £800 per Day"	"Lynx Recruitment Ltd"	"Joshua Wetson "	"JSJWMOS1"	"29/11/2018 08:09:43"	"http://www.jobserve.com/GhAMV"	"ASAP"	"Executive"
"Senior MI Analyst - Lloyds Insurance Market"	"£40k - £50k per annum + bonus, Pension, health etc"	"England"	"Permanent"	"Senior MI Analyst - Lloyds Insurance Market"	"England - £40k - £50k per annum + bonus, Pension, health etc"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Senior MI Analyst - Lloyds Insurance MarketMy client urgently requires an Senior MI Analyst to join a team based in their London HQ.THE ROLEAs a Senior MI Analyst you will join a team of 6 focused on producing reports to Lloyds for new syndicate acquisitions within the business. The team directly services the Claims, Actuarial and Finance teams setting up and managing the production of ASR, QSR, TPD and QMA Returns. This will see the Senior MI Analyst mapping and reconciling data by business class, settlement currency and year of account.The Senior MI Analyst will also produce templates for a variety of other reports utilised widely by the business and you will be called upon to supervise and train junior members of staff as the team continue to grow.THE REQUIREMENTS- Proven successful experience in a similar role producing MI Reports within the Insurance sector (Preferably Lloyd's Insurance Market)- Experience utilising Microsoft Excel, VBA & SQL - Familiarity with underwriting systems with the ability to analyse, interpret and review complex financial informationAny experience with data visualisation tools such as Cognos, SSIS or Tableau would be beneficial, however training will be provided.THE OFFER- Salary up to £50,000 + Bonus- 25 days holiday (+BHs)- Generous contributory pension- Health care- Life Assurance- Vouchers/Discounts- Cycle to work scheme- Travel loan- And more....THE COMPANYYour new employer is a global insurance with over 1,000 employees worldwide. They have a significant presence in the Lloyds Specialist Insurance market and continue to grow by leaps and bounds year on year.Internally they provide a modern, open and inclusive office environment and encourage team building on a regular basis. Here you will be supported to grow your career and will be provided with ample opportunity to continue with personal development.If you feel like this is the type of role for you, apply now and do not risk missing out!Lawrence Harvey is acting as an employment agency in regards to this position."	"England, UK"	"IT"	NA	"£40k - £50k per annum + bonus, Pension, health etc"	"Lawrence Harvey"	"Mason Nathaniel "	"JS-HQ00085238"	"04/12/2018 10:30:28"	"http://www.jobserve.com/GlZAr"	"ASAP"	NA
"Data Scientist"	"£30k - 42k per annum"	"London"	"Permanent"	"Data Scientist"	"London - £30k - 42k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data ScientistInsuranceCity of LondonAn amazing opportunity for a talented Data Scientist to join the leading Specialty Insurance company to work within their technical pricing team. DUTIES:Develop and apply data science, machine learning and other statistical techniques to draw insights and shape the strategic direction of data usageTake part in expanding data processing and technical modelling frameworkEstablish efficient ways of implement segmentation and predictive modelsEnsure that reusable data assets build smoothly on a regular basisSKILLS & EXPERIENCE REQUIRED:Academic background in computer science, engineering, physics, actuarial science, statistics or Maths based equivalentExceptional statistical skills - experience of building predictive models using a wide variety of tools and techniques (eg linear or logistic regression, gradient boosted machines, random forest, regularisation, neural networks)Advanced data manipulation or experience of managing large-scale data sets within an analytical function (eg dplyr, pandas, SQL, etc.)Advanced experience of data science or analytics software like Python, R, SAS/WPS, MATLAB etc.Working knowledge of relevant development environments (eg PyCharm, RStudio, Visual Studio Code, eclipse) and Shell Scripting (eg Bash, PowerShell), version control (eg git, Subversion, Mercurial) etc.BENEFITS:As well as a competitive salary, this role also offers: Performance profit share bonus (c.12% of salary)25 days holiday plus bank holidaysEmployer pension contribution of 5%, with employee contribution of 3%+Income replacement insurance4 x salary life assurance You will also have access to flexible benefits, which are employee paid, and includes: holiday buy, gym membership, car salary sacrifice, critical illness insurance, health screening - allowing you the freedom to choose those that are most appropriate for you. "	"London, UK"	"IT"	NA	"£30k - 42k per annum"	"HFG"	"Simona Zalyte "	"JSSZ143L"	"03/12/2018 12:02:20"	"http://www.jobserve.com/GlOSV"	"ASAP"	NA
"Pricing Analyst"	"£45k-£65k (DOE)"	"London"	"Permanent"	"Pricing Analyst"	"London - £45k-£65k (DOE)"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Pricing Analyst - Model Development Insurance  Job Description    A leading international specialist insurance company is looking for a Pricing Analyst to join their pricing team. As a Pricing Analyst, you will provide pricing support, analysis and influence on the book of commercial high-net worth household, motor as well as specialty lines and other sectors. Key responsibilities: Lead a complete pricing analysis and modelling projects to deliver comprehensive pricing and underwriting recommendations into the business. Influence stakeholders in the wider business to deliver budgeted volume and profitability targets over the underwriting cycle. You will be a key point of contact for product and portfolio underwriting managers and work with them to develop pricing models and approaches that enhance ability to select and accurately price business according to the risk presented. Take accountability for the performance of all pricing models used for your products Monitor performance, develop, execute and maintain regular segmented analysis to improve understanding of profitability. Executing, and maintaining analysis in terms of quote conversion, policy retention, and claims experience, and analysis of competitor behavior. Requirements:  Good understanding of Commercial Lines and Personal Lines insurance. High level of numeric competence and excellent data gathering and manipulation skills. In-depth statistical skills within typical business scenarios. General knowledge of programming, statistical and machine learning approaches. Strong analytical pragmatic reasoning skills. Innovative problem-solving approach. Excellent communication skills with ability to simplify complex subjects. Deadline oriented, hardworking, curious, passionate, enthusiastic and a self-starter. Comfortable influencing and communicating across a Matrix structure. Experience in using data manipulation & statistical software packages such as SAS, SQL, Excel/VBA etc. Note: This is not an actuarial role."	"London, UK"	"IT, Finance"	NA	"£45k-£65k (DOE)"	"HFG"	"Simona Zalyte"	"JS"	"28/11/2018 07:02:33"	"http://www.jobserve.com/Ggzf2"	NA	NA
"Head of Investment Strategy"	"£1k - £1.4k per Day"	"Edinburgh, Scotland"	"Contract"	"Head of Investment Strategy"	"Edinburgh, Scotland - £1k - £1.4k per Day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"Our client is one if the leading Investment firms in the UK and they are looking to recruit an Interim Head of Investment Strategy to be either base in London or Scotland.This role will be primarily responsible for the Group's Investment philosophy and Strategic Asset Allocation Framework to be within risk appetite and ensuring alignment with the firm's brand.Key Responsibilities:Strategic Asset Allocation Framework is reviewed and maintained annually to ensure that the long term asset allocation of all Group multi asset funds is optimised to provide good customer outcomesUse best practice Asset Liability Management techniques to regularly review the Strategic Asset Allocations to deliver good customer outcomesReviews capital impact of changes to Strategic Asset Allocations against risk appetitePro-actively explores opportunities with external partners to develop investment capabilities which will support better customer outcomesImplements, monitors and reviews investment strategies provided by external fund managersKey skills and experience required:Experience of Life Office Asset Management would be highly advantageousKnowledge of modern asset liability management techniquesExcellent understanding of the Investment marketUnderstanding of Assets & Capital Markets including Derivatives knowledgeIdeally you will also be a qualified actuary"	"Edinburgh, Scotland, UK"	"Finance"	"6 months"	"£1k - £1.4k per Day"	"Resource Management"	"Ben Beesley"	"JS-BB231"	"29/11/2018 10:44:35"	"http://www.jobserve.com/GkgzP"	"ASAP"	"Executive"
"Head of Investment Strategy"	"£1000 - £1400 per Day"	"City of London"	"Contract"	"Head of Investment Strategy"	"City of London - £1000 - £1400 per Day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"Our client is one if the leading Investment firms in the UK and they are looking to recruit an Interim Head of Investment Strategy to be either base in London or Scotland.This role will be primarily responsible for the Group's Investment philosophy and Strategic Asset Allocation Framework to be within risk appetite and ensuring alignment with the firm's brand.Key Responsibilities:Strategic Asset Allocation Framework is reviewed and maintained annually to ensure that the long term asset allocation of all Group multi asset funds is optimised to provide good customer outcomesUse best practice Asset Liability Management techniques to regularly review the Strategic Asset Allocations to deliver good customer outcomesReviews capital impact of changes to Strategic Asset Allocations against risk appetitePro-actively explores opportunities with external partners to develop investment capabilities which will support better customer outcomesImplements, monitors and reviews investment strategies provided by external fund managersKey skills and experience required:Experience of Life Office Asset Management would be highly advantageousKnowledge of modern asset liability management techniquesExcellent understanding of the Investment marketUnderstanding of Assets & Capital Markets including Derivatives knowledgeIdeally you will also be a qualified actuary"	"City of London, UK"	"Finance"	"6 months"	"£1000 - £1400 per Day"	"Resource Management"	"Ben Beesley"	"JS-BB232"	"29/11/2018 10:47:12"	"http://www.jobserve.com/Gkg1S"	"ASAP"	"Executive"
