"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"duration"
"Linux Systems Administrator - Ansible/Scripting/Networking/Agile/AI"	"35k - 65k + benefits"	"Cambridge, Cambridgeshire"	"Permanent"	"Linux Systems Administrator - Ansible/Scripting/Networking/Agile/AI"	"Cambridge, Cambridgeshire - 35k - 65k + benefits"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Linux Systems Administrator - Ansible/Scripting/Networking/Agile/AI Cambridge, Cambridgeshire 35k - 65k + stock options + benefits including private health cover + dental, 25 days annual leave, flexible working and much more.WHO ARE WE? We are innovators in AI, having assembled a leading team of Machine Learning experts and Data Scientists from across the globe, all working together to push the boundaries of AI. We believe that AI can help shape the future of our world. Would you like to be a part of the Technology Revolution?WHAT'S THE ROLE? We are looking for a strong Linux Systems Administrator, with proficiency in both Mac and Windows operating systems, to join our growing team in the centre of Cambridge. There will be plenty of work for you as we have some massive projects planned for the next 12-18 months, including a complete network re-build and the ongoing growth of the IT Infrastructure. On a daily basis you will be working with various technologies including Ansible for configuration management and Bash or Python for Scripting. The bulk of our internal systems are Linux based, but we also run Mac and Windows, so an appreciation of these would be advantageous.WHAT'S IN IT FOR YOU? As well as working with new and exciting technologies, we encourage all of our employees to upskill and develop wherever possible. Don't be afraid to speak out; we know that our way might not be the best way and you will be encouraged to come up with innovative ideas in all situations. We also provide a fantastic working environment for our employees, offering free snacks, drinks, quiet space for thinking through complex issues and lunches out monthly. There are also an extensive list of the more traditional benefits available, including: Pension Scheme 25 Days Annual Leave + bank holidays Health Cover + Dental Stock Options Flexi-Time Gym MembershipHOW TO APPLY For immediate consideration contact Ben Toynton at Evolution Recruitment.Please note that no terminology in this advert is intended to discriminate on the grounds of age, and we confirm that we will gladly accept applications from persons of any age for this role."	"Cambridge, Cambridgeshire, UK"	"IT"	NA	"ASAP"	"35k - 65k + benefits"	"Evolution Recruitment Solutions Ltd"	"Ben Toynton "	"JS/B0T/688574"	"03/12/2018 11:35:10"	"http://www.jobserve.com/GlN8z"	NA	NA
"SharePoint, .NET, C#, Dynamics CRM, Azure, Business Intelligence, BI, AI, West Yorkshire"	"£45k Basic salary + benefits"	"West Yorkshire"	"Permanent"	"SharePoint, .NET, C#, Dynamics CRM, Azure, Business Intelligence, BI, AI, West Yorkshire"	"West Yorkshire - £45k Basic salary + benefits"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"SharePoint, .NET, C#, Dynamics CRM, Azure, Business Intelligence, BI, AI, YorkshireSalary: £45k + Benefits  Role and responsibilities:  The ideal candidate will work closely with the Business Intelligence and CRM Teams in the creation & delivery of solutions for Dynamics CRM, SharePoint and Artificial Intelligence (AI)/Machine Learning. The role will require close co-operation with 3rd parties in developing integrations with various systems as part of service delivery to our members and strategic partners. Key responsibilities: Ensuring that best practises are followed for coding using defined architectures. Development & support of integration interfaces with 3rd party systems. Develop & support data integration sets. Maintaining applications. Provide architecture guidance & design of new software and web applications. Act as technical lead within a development life cycle environment Work in a Microsoft Azure environment. Work directly with project leads and key stakeholders for requirement development & clarification. Maintaining source code library. Using DevOps tools. Key words: .NET, Azure, C#, XML, JavaScript, HTML, Web Services & APIs, RESTful, SOAP, Java, Python, PHP, UML, MYBATIS, Node.js, Ruby-on-Rails, SOA Development, DevOps, CFEngine, Zookeeper, AngularJS, CSS, Hadoop, HBase/Hive, Hadoop DFS Please forward your CV for a full job description and immediate consideration. "	"West Yorkshire, UK"	"IT"	NA	"ASAP - Will wait for notice period"	"£45k Basic salary + benefits"	"Sure IT Recruitment"	"James Crockett "	"JSSUREITWEYORK"	"03/12/2018 13:18:57"	"http://www.jobserve.com/GlPKu"	NA	NA
"Senior Data Scientist"	"£600 - 700 per Day"	"Central London"	"Contract"	"Senior Data Scientist"	"Central London - £600 - 700 per Day"	"Contract"	"Posted: Wednesday, 5 December 2018"	""	"Senior Data Scientist - 6 months - Central LondonJob Description: Currently looking for a Senior Data Scientist to join a large financial company based in their Central London office, on a 6 month contract basis. This Senior Data Scientist will be working on producing data driven products and using their expertise with machine learning on different sets of data. This is a great opportunity to work as part of a driven, dynamic team and interact with some large users and stakeholders within the industry! Essential Skills:3-5 years' experience in Data Science and Machine learningStrong experience in reinforcement learningCore programming expertise, such as Python or R (iPython, NumPy, SciPy, Pandas)Advanced degree in Computer Science, Statistics, Economics, or related quantitative fieldKnowledge of relational and non-relational data stores (Postgres, MongoDB, MySQL, etc)Experience with data mining, statistics and visualizationExtensive statistical knowledgeComfortable working independently and effectivelyDesired Skills:Independent researchExperience within an energy company or financial companyAbility to create and achieve delivery commitmentsAble to deal with and thrive in high pressure environmentsDeep learning Job Type: ContractDaily Rate: £600-£700 p/dLocation: Central LondonIf this role is of interest and looks like an exciting opportunity for you, please send over your CV.The client is looking to move fast and Interviews are taking place immediately!"	"Central London, UK"	"IT"	NA	"ASAP"	"£600 - 700 per Day"	"Coded People Ltd"	"Kieren Balstone "	"JSDS-KB-01"	"05/12/2018 16:31:04"	"http://www.jobserve.com/GlpEd"	NA	NA
"SalesForce Developer"	"£30k - £55k per annum + benefits"	"Exeter"	"Permanent"	"SalesForce Developer"	"Exeter - £30k - £55k per annum + benefits"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"SalesForce DeveloperExeter£Competitive + Benefits A brand new opportunity for a SalesForce Developer in Exeter has arisen.This position will be working for a data driven technology company who delivery award winning solutions to a variety of business. Using a combination of AI and machine learning they are ideally placed to provide digital transformation.This is a great opportunity for someone to live in the beautiful South West coast of the UK near stunning beaches, idyllic villages and stunning countryside. The SalesForce Developer role will involve:Building customised solutions for clientsSupporting existing clients and building new featuresStakeholder managementAble to be customer facing and interact with clientsIdeal experience:APEX ExperienceVisualforce and SalesforceSQLEither C# or Node.JSJSONUnit testingExperience with AWS or Azure is beneficial.Please apply for this SalesForce Developer position in Exeter with your latest CV."	"Exeter, UK"	"IT"	NA	"ASAP"	"£30k - £55k per annum + benefits"	"Southern Lights"	"Toby Greet "	"JS-1111"	"06/12/2018 17:05:14"	"http://www.jobserve.com/GlybF"	NA	NA
"Java Developer - Benefit Humanity"	"£65k - £75k per annum + Flexi time, Pension, bonus"	"Oxfordshire"	"Permanent"	"Java Developer - Benefit Humanity"	"Oxfordshire - £65k - £75k per annum + Flexi time, Pension, bonus"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Java Developer - Benefit HumanityWe are looking for a Java Developer to join a company creating Software to help scientists in their research to advance medical discoveries. The Java Developer will be working on Data acquisition Software to implement new functionality. Your work as a Java Developer will contribute to the company maintaining its status as one of the UK's leading research institutions. We are looking for a Java Developer with the below capabilities:Strong experience of Agile Java Development. Best Practices such as TDD/BDD.Strong Cloud experience such as AWS. Interest in Machine Learning and NLP.Key Skills: Java 8, Spring, Hibernate, Agile, TDD, Machine Learning, NLP, Data Science.Apply now for immediately consideration regarding this excellent opportunity! Understanding Recruitment is acting as an employment agency for this vacancy.It is a company that looks after its staff with childcare vouchers, flexi-time, financial assistance for relocation, and continuous investment in the Java Developer's training and Development. The company at the moment are recruiting at all levels as they see 2018 as a huge year for their research programmes."	"Oxfordshire, UK"	"IT"	NA	"ASAP"	"£65k - £75k per annum + Flexi time, Pension, bonus"	"Understanding Recruitment"	"Simeon Owen "	"JS-BBBH608"	"02/12/2018 17:00:19"	"http://www.jobserve.com/GlFU4"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"C++ Developer/C++ Engineer (ROS, Autonomous Cars)"	"£45k - £65k per annum + equity and Benefits"	"Oxford, Oxfordshire"	"Permanent"	"C++ Developer/C++ Engineer (ROS, Autonomous Cars)"	"Oxford, Oxfordshire - £45k - £65k per annum + equity and Benefits"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"C++ Developer/C++ Engineer (ROS, Autonomous Cars)We're looking for a passionate C++ Developer/C++ Engineer (ROS, Autonomous Cars) who is willing to take on a hands-on approach and bring their own relevant experience in C++, to a company currently disrupting approaches to autonomous vehicles. You will be an influential voice within the company at this period of huge growth and success, collaborating alongside some of the UK's largest organisations - mainly programming in C++.As a C++ Developer/C++ Engineer you will be working closely with the Computer Vision and Machine Learning Engineers, as well as the Engineering team. Within this organization, you will have the opportunity to create self-determining vehicles that are not only learning from their own behaviours, but also tackling real-world issues eg urban cities, human overpopulation.As a C++ Developer/C++ Engineer, you will be applying complex algorithms to our software stack on a huge scale, targeting the advancement of fully autonomous agents. We are looking for C++ Developers/C++ Engineers who aren't afraid to take risks in the face of huge technical challenges, advancing current models used for our world-class autonomous vehicles.What we can offer a C++ Developer/C++ Engineer (ROS, Autonomous Cars):To work in a high profile startup who are commercially viableStrong salary and packageTo work in an organization with a startup culture, leading the way in their fieldFlexible working environmentKey Skills: C++ Developer/C++ Engineer (ROS, Autonomous Cars; Tensorflow, C++, C, Java, Python, C#, Distributed Algorithms. Distributed systems, BSc, MSc, MPhil, PhD, Post-Doc, Research, R&D, startup, Multithreading. Machine Learning, AI, Artificial Intelligence, NLP, Natural Language Processing, Linguistics, Computational Biology, Computational Linguistics, Reinforcement Learning, Multi-Agent Systems, Deep Learning, Bayesian Inference, Probabilistic Models, Computer Vision, Machine IntelligenceSoftware Developer/Software Engineer (C++, Computer Vision)"	"Oxford, Oxfordshire, UK"	"IT"	NA	"ASAP"	"£45k - £65k per annum + equity and Benefits"	"Understanding Recruitment"	"Anna Heneghan "	"JS-BBBH1522"	"03/12/2018 05:00:55"	"http://www.jobserve.com/GlHh7"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Data Engineer/Lead Data Engineer - Banking"	"£50k - £70k per annum + Bonus & Benefits"	"City of London"	"Permanent"	"Data Engineer/Lead Data Engineer - Banking"	"City of London - £50k - £70k per annum + Bonus & Benefits"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	" Lead Data Engineer - Python, Go, Scala, Kafka, Cassandra - BankingCompanyThis Banking Start-up are looking for a Lead Data Engineer who is experienced in Python, Go or Scala to lead their data team to build the best bank account in the world. This pioneering start-up are growing extremely fast and have close to a million customers in the UK alone, with over 50,000 new customers joining every month. This opportunity will allow you to build and improve a world class data platform to shape the future of what's possible in the banking industry.RoleAs the Lead Data Engineer, you will work with the platform engineering team and machine learning engineers, making technical design decisions in collaboration with other teams to help produce the end product. You will be responsible for prioritising the data engineering team's work and your responsibility will be to ensure that the team work on the ideas that have the biggest impact on the project. The successful Lead Data Engineer will help with delivering the next iteration of their data science platform, improving on how they collect data reliably and enable everyone to use it easily. BenefitsStrong and competitive salaryShare optionsFlexible workingHealth insurancePlus, many, many moreRequirementsStrong experience with Python, Scala or GoHands on experience with Kafka and CassandraKubernetes and DockerAWS for Back End infrastructureGoogle Cloud PlatformIf you consider yourself to be a highly experienced Lead Data Engineer and you're looking for your next role in London, then please apply for this role today by submitting your CV for the chance to interview immediately!Lead Data Engineer - Python, Go, Scala, Kafka, Cassandra - Banking"	"City of London, UK"	"IT"	NA	"ASAP"	"£50k - £70k per annum + Bonus & Benefits"	"Oliver Bernard"	"Rob Smiley "	"JS-RJSDE"	"04/12/2018 16:29:11"	"http://www.jobserve.com/GlcDa"	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA
"Python DevOps Engineer"	""	"South Yorkshire"	"Contract"	"Python DevOps Engineer"	"South Yorkshire"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"Python DevOps Engineer required by Whitehall Resources on an initial 6 month contract based in South Yorkshire. Experience, Skills and Technologies: - Experience of developing and managing analytics solutions, ideally in Anaconda; Enterprise edition preferred.- Exposure to managing open source repositories from external sources in a secure and approved way - Some knowledge of managing Data Science solutions in a Dev Ops Pipeline, considering deployment; ideally with exposure to tools such as Jenkins and Jira - Data science tooling experience, with an understanding of available python libraries and their implementation, preferably with an analytics background or similar. - Awareness of cloud technologies in AWS and/or GCP, and their use within data science and machine learning - Experience working in relevant environment/s, ie Anaconda, Python 2.7 and Python 3.5, R, Repository management - Ideally with Exposure to Docker or other related container technologies - Systems Implementation experience preferable, but not essential All of our opportunities require that applicants are eligible to work in the specified country/location, unless otherwise stated in the job description."	"South Yorkshire, UK"	"IT"	NA	"ASAP"	NA	"Whitehall Resources Ltd"	"Charlotte Kent "	"JS-JS/CK/36269"	"06/12/2018 12:14:56"	"http://www.jobserve.com/GlxSC"	"About Whitehall Resources Ltdwww.whitehallresources.co.uk/?utm_source=Referer&utm_medium=Link%20and%20text&utm_term=SAP%20Oracle%20IT%20Recruitment&utm_content=Jobserve%20Directory&utm_campaign=JobserveWhitehall Resources is the leading SAP, Oracle and IT recruitment specialist. We have a strong focus on these verticals and speak with thousands of active and passive candidates per month – we know our markets better than anyone else. We have divisions focussed on each technology and teams within those focussing on the UK, Europe, Middle East and North Africa. In ten years of business, we have grown to over 800 clients, 10,000 placements and have worked with one-third of the FTSE 100. We deliver the best candidates, most suited to any given role – our clients trust us, returning time and time again.Get in touch via our website or give our expert consultants a call to register your CV!"	"26 weeks"
"Data Scientist - £80,000 - Shoreditch"	"£70k - £80k per annum"	"London"	"Permanent"	"Data Scientist - £80,000 - Shoreditch"	"London - £70k - £80k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data Scientist - £80,000 - ShoreditchAre you an experienced data scientist looking to join an innovative, fully finded start-up that are making real changes to a growing industry? Do you want to work with next generation software using leading cutting edge techniques?You will be:Helping them become a data driven organisation! The work will be a mixture of research and data mining through to implementing and continuously improving their algorithms with the Engineering team. You will be able to see real business benefit and growth from each initiative/delivery.You will need:Previous practical experience training machine learning models using a framework such as SciKitLearn, Tensorflow or similarProven delivery and deployment of ML framework and implementation in a production environment, including building pipelinesStrong working experience in Python (SciPy)SQL and not being afraid of analysing real-world messy data.Knowledge of visualisation toolsExperience using a range of Statistical Modelling and/or Machine learning techniques (Regression, Clustering, Decision Trees) and Model Selection (eg Cross validation, AIC)"	"London, UK"	"IT"	NA	NA	"£70k - £80k per annum"	"Harvey Nash IT Recruitment UK"	"Evie Orros "	"JS-349404/001"	"03/12/2018 10:38:39"	"http://www.jobserve.com/GlNP2"	"About Harvey Nash IT Recruitment UKwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."	NA
"Data Scientist/Statistical Quant Mathematician - Contract"	"£450-£550 Per Day + Free Parking"	"High Wycombe, Buckinghamshire"	"Contract"	"Data Scientist/Statistical Quant Mathematician - Contract"	"High Wycombe, Buckinghamshire - £450-£550 Per Day + Free Parking"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Data Scientist/Quant Mathematician - Statistical/Datamodelling | £450 - £550 Per Day High Wycombe. HP11 £450 - £550 per day + Free Parking (6 Month Contract ongoing) Experience using C++ or Python is highly regarded, although Matlab & R experience will also be considered. Company:  We are a leading producer of form and data related applications for the horse racing industry. With our head office based in Sydney, Australia, we are expanding our UK presence with a view to trading the global markets.Position Summary: Working with some of the best mathematics and stats minds in the industry in a small and focused team environment, you will work on challenging and rewarding modelling projects.To be considered for this role you will have the following: + A strong background in mathematical and statistical modelling + Previous experience working as a Quant Analyst, Data Analyst, Data Scientist or Big Data Analyst - desirable + Masters or PhD in maths/statistics/machine learning/econometrics essential. + Experience using C++ or Python is highly regarded, although Matlab & R experience will also be considered. + Strong algorithmic coding skill and solid knowledge of data structures + Experience with statistical forecasting essential.  + Understanding of machine/statistical learning techniques such as non-linear regression, Kernel regression, support vector machines (SVM), neural networks, classification trees and similar techniques very beneficial. + Experience working within the horse racing/wagering industry highly desirable This is a great opportunity for someone passionate about maths and stats to have their ideas put into practice. You may have worked in the following capacities:Data Modeller, Statistical Modelling, Big Data Analyst, Banking, Finance, Gambling/Gaming Sector, Statistical Modelling Application notice... We take your privacy seriously. When you apply, we shall process your details and pass your application to our client for review for this vacancy only. As you might expect we may contact you by email, text or telephone. Your data is processed on the basis of our legitimate interests in fulfilling the recruitment process. Please refer to our Data Privacy Policy & Notice on our website for further details.  If you have any pre-application questions please contact us first quoting the job title & ref. Good luck, Team RR."	"High Wycombe, Buckinghamshire, UK"	"IT"	NA	NA	"£450-£550 Per Day + Free Parking"	"RecruitmentRevolution.com"	"Team RR "	"JS12061"	"03/12/2018 23:27:26"	"http://www.jobserve.com/GlUN0"	"About RecruitmentRevolution.comwww.recruitmentrevolution.com/In 2005 our founders (two candidates just like you) had a crazy idea to challenge an industry stuck in its ways. They ripped up the rule book, stripped away the pushy sales, schmooze and high fees to deliver an agency experience that makes everyone feel just that little bit happier. Since then we have gone on to become the leading authority in our space and the go-to talent finders for over 2500 awesome Start-Ups to Global Brands.We work with clients across the spectrum of IT roles – ranging from Web Development, Software Engineering and Dev Ops to 1st Line Support, IT Managers right through to CTO level."	NA
"Business Intelligence Contractors"	""	"Edinburgh, Scotland"	"Contract"	"Business Intelligence Contractors"	"Edinburgh, Scotland"	"Contract"	"Posted: Friday, 30 November 2018"	""	"Harvey Nash's public sector client is currently looking for multiple Business Intelligence contractors to join their Edinburgh based team for an initial 3 month period. You will provide additional resource to design and develop enhancements to existing data marts, within a Corporate Data Warehouse.Essential SkillsOracle SQL and PL/SQLSAP Data Services (experience of other ETL tools such as Informatica will be considered as a substitute)Data WarehousingDimensional modelling (Kimball methodology)Data integration skillsDesirable SkillsData Virtualisation (Denodo)ExadataBusiness ObjectsTableauCloud platforms, storage and connectivityBig data platformsAI/Machine LearningMachine Data integration and analyticsThis is an initial 3 month contract on offer, with likelihood of extensions thereafter. Interviews are available at short notice and start date to follow ASAP after. Please note that this role requires a valid Disclosure Scotland certificate. For additional details please contact Graeme McNaull in the first instance and apply using the link above."	"Edinburgh, Scotland, UK"	"IT"	"Public Sector"	"ASAP"	NA	"Harvey Nash Plc"	"Graeme McNaull "	"JS-352721/001"	"30/11/2018 14:20:39"	"http://www.jobserve.com/GkqG6"	"About Harvey Nash Plcwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."	"3 months"
"Lead Python Developer - ETL to tackle fake news"	"£50k - £75k per annum"	"London"	"Permanent"	"Lead Python Developer - ETL to tackle fake news"	"London - £50k - £75k per annum"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Lead Python Developer - ETL to tackle fake newsAn exciting startup are on a mission to tackle Fake News and Extremist Content online. A Lead Python Developer opening to create an AI Driven platform to assist journalists & the general public. Working to blacklist extremeist content to assist and advice advertisers & businesses, they're utilising the latest Artificial Intelligence and Machine Learning to predict and analyse human behaviour online.This ground-breaking start up currently enjoy the backing of Top-Silicon Valley investors and are partnered with Google's Search Engine team to make the Internet a safer place for users. We are seeking strong Lead Python Developers who are willing to undergo the challenge of creating a large-scale platform and lead a team of Python Developers/Django Software Developers. Essential Experience: Strong Python Development experience (Python2.7 or Python3)Understanding of ETL and Data Pipelineing (Prefferably within a Data Engineering background) Expertise with the latest WebScraping/WebCrawling technologies (Scrapy & Beautiful Soup and HTML parser)Use with scalable RestfulAPIs & Web sockets (Prefferably GraphQL and GraphQL subscriptionsStrong uderstanding of the practices around (TDD) Test Driven Development. & (BDD) Behavior Driven Development On a daily basis you will be working to create production-ready software and create scalable user applications which are capable of processing thousands of documents and websites over the Internet. We're offering Signiant equity and market-leading salaries.Get in touch or apply online for more information.  (see below) By applying to this advert you are giving CPS Group (UK) Ltd authority to hold and process your data for this specific role and any other roles we may deem suitable to you over time. We will not pass your data to any third party without your verbal or written permission to do so. All incoming and outgoing calls are recorded for training and compliance purposes. CPS Group (UK) Ltd is acting as an Employment Agency in relation to this vacancy. Our new privacy policy can be found on our website."	"London, UK"	"IT"	NA	NA	"£50k - £75k per annum"	"CPS Group (UK) Ltd"	"James Williams "	"JS-J14163"	"05/12/2018 14:45:24"	"http://www.jobserve.com/GloJ4"	"About CPS Group (UK) Ltdwww.cpsgroupuk.comCPS Group is one of Europe’s best technology recruiters. Headquartered in Cardiff, with offices in Manchester and Swansea, we are the fastest-growing, most profitable, independent recruitment company based in Wales. Working across four continents, we source and supply permanent and interim staff for the IT (Infrastructure, Networking, Development, RDBMS, Projects and Change) ERP (SAP, Oracle, Agresso, CRM, MS Dynamics) and Engineering (White Collar only) sectors. By thoroughly understanding what our clients need and by uncovering the best candidates, we place in excess of 1000 professionals a year into worldwide jobs. Our clients range from SME's to global PLCs and FTSE organisations."	NA
"Lead Software Developer (Java/Javascript/API/Agile)"	""	"England"	"Contract"	"Lead Software Developer (Java/Javascript/API/Agile)"	"England"	"Contract"	"Posted: Wednesday, 5 December 2018"	""	"Lead Software Developer (Java/Javascript/API/Agile) is urgently required by our Global IT Services Company for an initial 5 months rolling contract, 5 days remote, home working. Responsibilities & Skills:The successful applicant will have API and Data analytics experience, and will have worked within an Agile environment.Experience of working for large complex organisationsKnowledge of HTML5, SQL, Skype for Business, Azure including Cognitive API and PaaSAdvanced design and development knowledge of development frameworks including NodeJS, Java, React, JQuery and JavaScript(Angular)Desirable: Apigee (or other API Mgt technologies), RESTful, SOAP, XML, JSON, Microsoft Azure, Python, ServiceNow (Admin and dev), Skype for Business UCWA Connector Service, Signal R (web sockets), Integration solutions and technologies, IaaS/PaaS builds, Security best practice (SSL encryption, certs, XSS), NLP (Natural Language Processing), Scripting (Powershell, bash), Linux (RHEL/Centos), Windows, IaaS, PaaS, Azure App Services, Authentication technologies, Mobile Application Development, ChatBot Frameworks, Cognitive Services/API (AI/Machine Learning, Translation, Sentiment Analysis, speech recognition, search and indexing).Assist in developing software configuration standards and collaborate with management to develop recommendations concerning product life cycle and replacementScheduling maintenance, repair activities including planning, configuration, implementation, testing and documentation of resultsAttend and contribute at team scrum meetings and any other agile reviewsEnsure that Jira tasks are kept updated with comments, progress and expected releaseCommunicate any blockers or issues with delivering to the scheduled and agreed releaseOwnership of development tasksApplication and integration Feature development releases, bug fix patches and troubleshoot code level problemsThis is an urgent requirement; please apply ASAP if you would like to be considered. If you would like further details, please contact me.The CompanyA leading global IT services organisation with 10,000 employees and annual revenue of nearly £2 billion in the UK alone. Projects delivered for private, Government, International and Defence customers are some of the largest and most technically innovative solutions found in the world. Their business is rapidly expanding to meet current and future commitments due to numerous exciting programmes currently being developed. These solutions will use the latest technology to resolve some of the most complex requirements for a challenging group of customers.DiversityProject People and our clients are fully committed to developing an inclusive workforce. Applications are always fully considered, irrespective of race, gender, faith, sexual orientation, ethnic origin or part time status.Project People is acting as an Employment Business in relation to this vacancy."	"England, UK"	"IT"	"Home Working"	"ASAP"	NA	"Project People"	"Cassandre Butcher "	"JS-FJS-PP-CB-HW-C-SSD"	"05/12/2018 09:35:16"	"http://www.jobserve.com/GllOu"	"About Project Peoplewww.projectpeople.comProject People provides technical and professional recruitment in over 60 countries. We specialise in telecom, IT, energy and defence, supplying the biggest names in the private and public sectors."	"5 months"
"Fullstack Developer - Angular + Python"	"£45k - £65k"	"Winchester, Hampshire"	"Permanent"	"Fullstack Developer - Angular + Python"	"Winchester, Hampshire - £45k - £65k"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Role: Fullstack Developer - Angular + Python Status: Permanent Location: Winchester Salary: £45,000 - £65,000 Overview Are you a full stack developer with Angular and Python experience? We have an opportunity to work with a client of ours on a role where you will be taking their Brand researching tools to the next level. They are looking for experienced developers to assist with leading the team and continuing to develop solutions for Law firms. To be successful * Must have experience with Angular (ideally Angular 2) * Must have experience with Python (any version) * Experience with HTTP protocol * God understanding of HTML/CSS * Experience with MongoDB * 2 - 3 year's software experience Desirable * Knowledge Linux * Knowledge of Machine Learning and image search * AWS/Azure/Other Cloud systems * Experience working with algorithms This is a Full time position offering flexible working hours. The company are at a growth stage and are currently using Angular 2 but plan to upgrade to Angular 3 soon. This is an exciting opportunity as you will be working on challenging projects in a relaxed environment. My client offers an attractive benefit package and would require you to be able to work in the Winchester area. This is a position for experienced developers with experience with both Front End and Back End development."	"Winchester, Hampshire, UK"	"IT"	NA	"ASAP"	"£45k - £65k"	"SQCP Ltd"	"Justin Oduro "	"JS/X9/1005"	"06/12/2018 14:29:03"	"http://www.jobserve.com/GkgU1"	"About SQCP LtdSQ Computer Personnel Ltd is one of the largest privately owned IT Recruitment Consultancies in the UK, supplying both contract and permanent IT & Projects staff. We were established in 1984 and have offices in London and Dubai, catering for a client base spread throughout the UK, Europe and the UAE.Our specialisation is in recruiting the IT & Projects professionals who plan, support, develop, implement and improve the IT systems that businesses rely upon and our client base consists of organisations from a variety of industry sectors including:Financial ServicesEnergy TradingCard PaymentDigital & New MediaRetailE-learning & TrainingSMEs "	NA
