"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"start_date"	"company_summary"	"duration"	"category"
"Data Science/Big Data Business Analyst - Contract"	"£450.00 per day"	"London"	"Contract"	"Data Science/Big Data Business Analyst - Contract"	"London - £450.00 per day"	"Contract"	"Posted: Monday, 10 December 2018"	""	"Data Science/Big Data Business Analyst - Contract - 6-12 months - London - up to 450 p/dWe are looking for an experienced Business Analyst with a good understanding of Data Science/Big Data, Excellent communication and interpersonal skills to join one of the worlds most successful and fastest growing companies.Key skills/attributes:Experience with User story requirementsWorking with Data Scientist/AI/Machine learning Engineer/Big Data specialists is essentialAgile working environmentUnderstanding of ScrumRequirement capturing JiraUnderstanding of Data Science and Big DataData Science/Big Data Business Analyst - Contract - 6-12 months - London - up to 450 p/d"	"London, UK"	"IT"	"£450.00 per day"	"Gravitas Recruitment Group Ltd"	"Tim Bunn "	"JS-BBBH54913"	"10/12/2018 15:26:07"	"http://www.jobserve.com/GmjBN"	NA	NA	NA	NA
"Data Science Software Engineer"	"£40k - £70k per annum + Bonus and benefits package"	"Southampton"	"Permanent"	"Data Science Software Engineer"	"Southampton - £40k - £70k per annum + Bonus and benefits package"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Data Science Software EngineerSouthampton - £40-70k + benefits and bonusA number of excellent opportunities have arisen in Gloucester for strong Data Science Software Engineers in Gloucester. You'll be working on a range of state of the art analytics projects, which are highly varied - including structured and unstructured data- to develop data science solutions using a range of software. Projects include big data, data streaming, machine learning and data visualisation.Please note, due to the nature of the role you will be required to undergo SC or DV clearance if you don't already have it. Please ensure you are familiar with the process and requirements before applying.Key Experience for the Data Science Software Engineer:*Ideally you'll hold a degree qualification in computer science or relevant field*4+ years' experience in software delivery. You will also have experience of multiple programming languages with a passion for high-quality, eligible and maintainable code.*Data science expertise- any of the following:oLarge scale ('big data') data ecosystems, cloud infrastructure and analytic frameworks.oMachine learning and Deep Neural Net technologiesoTechniques and toolkits for data cleansing, data preparation, data processing, fusion and analysisoTechniques and toolkits for combining data or analysing data streams in real timeoData visualisationIf you are a Software Engineer with lots of data science experience then please apply now for consideration. The role could offer flexible or reduced work hours if necessary.People Source Consulting Ltd is acting as an Employment Agency in relation to this vacancy.People Source specialise in technology recruitment across niche markets including Information Technology, Digital TV, Digital Marketing, Project and Programme Management, SAP, Digital and Consumer Electronics, Air Traffic Management, Management Consultancy, Business Intelligence, Manufacturing, Telecoms, Public Sector, Healthcare, Finance and Oil & Gas."	"Southampton, UK"	"IT, Military"	"£40k - £70k per annum + Bonus and benefits package"	"People Source Consulting Ltd"	"lucy davey "	"JS-LD/DATASCIENCESE"	"11/12/2018 16:26:42"	"http://www.jobserve.com/GmvH9"	NA	NA	NA	NA
"Python Developer for Data Science Ecommerec Platform"	""	"London"	"Permanent"	"Python Developer for Data Science Ecommerec Platform"	"London"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Python Developer | Data Science E-commerce Platfrom | Up to 70K + Major Equity | Central London | Start ASAP | Python | Systems integration | REST API | SOAP API | HTTP API | Data | Big Data | AI | Backend Web systems development | Microservices | Microservices Architecture | Data Science | NumPy | SciPy | Pandas | A start up looking to revolutionise the retail space are looking for a talented Python developer that is interested in complex 3rd party integration challanges, strong Microservices experience and an interest in furhter developing their 'AI' features and Data Science capabilities. You are joining the business at a crucial and exiting time in their life cycle and will be rewarded with equity, a range of opporunities and experience and the possibility in developing into a Head of or CTO role. Must have skills and experience:- Strong Python development expertise- Extensive API integration experience - Experience of integrating with 3rd party Legacy systems as well as those with a Microservices architecture. Bonus skills and experience:- Any E-commerce or retail experiene would be prefered. - Frontend development experience - Strong educational background Python Developer | Data Science E-commerce Platfrom | Up to 70K + Major Equity | Central London | Start ASAP | Python | Systems integration | REST API | SOAP API | HTTP API | Data | Big Data | AI | Backend Web systems development | Microservices | Microservices Architecture | Data Science | NumPy | SciPy | Pandas | "	"London, UK"	"IT"	NA	"Mortimer Spinks a trading division of Harvey Nash Plc"	"Toby MacFarlane "	"JS-24796/001"	"11/12/2018 19:50:28"	"http://www.jobserve.com/GmvlO"	"ASAP"	"About Mortimer Spinks a trading division of Harvey Nash Plcwww.mortimerspinks.comWe're Mortimer Spinks, and we're one of the UK's leading innovator in technology recruitment. We work with the most innovative companies in the world. The majority of our customers are defined as entrepreneurial technology organisations, where technology is core to the growth of their business.Technology experts. Delivered by the experts.You can find us in London, Birmingham and Manchester.Our consultants are true experts in what they do. Which means when it comes to technology, we can give you advice on just about anything (go on - try us)."	NA	NA
"Tableau Consultant - London - Data Science/Machine Learning"	"Up to £60k"	"London"	"Permanent"	"Tableau Consultant - London - Data Science/Machine Learning"	"London - Up to £60k"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Caspian one are currently looking for a Tableau Consultant for a large Data Science/Machine Learning/AI organisation based in Central London. The Client: Our Client captures data on projects - such as daily tasks, meeting notes, team sentiment, resource information and project progress - and use it to guide better decision-making. They do this by using machine learning, this enables them to predict the path of a project, helping teams to foresee issues, improve productivity and deliver efficiently. They are building a unique software package which integrates project management tooling with data science and analytics to support teams working on large change programmes to make better project decisions and predict upcoming issues through data insight, visualisation, predictive analytics and Real Time reporting. The Role: Our client is looking for a number of Tableau Consultants with at least 3 years of relevant experience to work their client teams to drive out analytical requirements through prototyping and visualization. The ideal candidate must have a passion for beautiful visualisation and data storytelling, and will have experience in the following: Developing reporting and data visualisations for clients in the form of advanced dashboards and workbooks. Understanding infrastructure requirements and best practices to support a Tableau deployment. Developing and documenting technical architecture, system design and other technical aspects. Be able to provide examples of producing impactful visualisations. Essential Skills: 3+ years of experience creating static and interactive visualizations, reports, and workbooks in Tableau. Ability to write SQL in order to pull, join, and aggregate data in order to create views for Tableau. Ability to work closely with users to understand the business purpose the report serves and identify/fix bugs. Self-starter and self-directed with some level of inquisitiveness to query and test results. Beneficial to have previous experience with QlikView. "	"London, UK"	"IT"	"Up to £60k"	"Caspian One Ltd"	"Nathan Keighley "	"JSNK8604"	"10/12/2018 08:03:40"	"http://www.jobserve.com/Gj84b"	"ASAP"	NA	NA	NA
"Machine Learning Engineer (Data engineering/Data Science)"	"£45k - 55k per year + Benefits"	"London, Greater London, England"	"Permanent"	"Machine Learning Engineer (Data engineering/Data Science)"	"London, Greater London, England - £45k - 55k per year + Benefits"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Machine Learning Engineer (Data engineering/Data Science)ML/Data engineer/Scientist is required for an innovative and well-funded start-up company based in a central London location. This is a diverse opportunity for a data scientist with machine learning and data engineering experience to join a company that changes the way we think about data, and what we can do with it!You will be using your engineering skills to build data pipelines and design algorithms to manage huge amounts of data.What's in it for you as the ML Engineer/Data Scientist:The ML Engineer/Data Scientist will have a competitive salary of up to £55,000Equity shares in the businessBeing part of an award winning, tech driven companyBeing part of a tech driven and dynamic teamWorking with a modern tech stackNew stylish office locationFlexible working hoursKey Skills and Responsibility of the ML Engineer/Data Scientist:Strong knowledge of algorithms and building data pipelinesExperience with classic Machine Learning technologiesExcellent knowledge of PythonGreat skills with pandas, numpy, scipy and sklearn2 years commercial experienceBSc or higher in a STEM subject Nice to have but not essentialExperience using R, Deep learning, NPLAs you can see this is a well-rounded and diverse opportunity to improve skills in all areas and join an innovative organisation in the machine learning industry as a Machine Learning Engineer.To apply for this position please send a recent CV.Keywords - Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML. Venturi (TVGL Inc.) is an equal opportunity employer and does not discriminate on the basis of age, colour, sex (including pregnancy), gender, gender identity, genetic information, marital status, military/veteran status, national origin, ancestry, race, creed, religion, sexual orientation, transgender status, non-disqualifying physical or mental disability, domestic violence victim status, criminal or arrest record, unemployment status, or any other basis protected by applicable law. "	"London, Greater London, England, UK"	"IT"	"£45k - 55k per year + Benefits"	"Venturi Limited"	"Georgia Bright"	"JS46392"	"05/12/2018 18:31:53"	"http://www.jobserve.com/GlqH1"	"05/01/2019"	NA	NA	NA
"Product Owner HR People Data Science Manager Finance London"	"£70k - £95k per annum + 25% Bonus + 10% Pension"	"London"	"Permanent"	"Product Owner HR People Data Science Manager Finance London"	"London - £70k - £95k per annum + 25% Bonus + 10% Pension"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Product Manager (HR People Data Analytics MI Management Information BI Business Intelligence Product Manager Business Analyst Owner Finance Banking Data Science Artificial Intelligence Contract) required by our banking client in London.You MUST have the following experience:Product Owner/Product Manager/Lead Business Analyst for HR People Data Analytics in a corporate organisationExtensive experience gathering requirements for and dictating the strategy for HR Analytics tools, dashboards and reporting applicationsA thorough understanding of data science techniques and capabilitiesA keen interest and demonstrable activity in keeping up to date with the data science and artificial intelligence communityThe following is DESIRABLE, not essential:Delivery of HR data/MI/BI solutions to more than one corporate institutionBanking or financeRole: Product Manager (HR People Data Analytics MI Management Information BI Business Intelligence Product Manager Business Analyst Owner Finance Banking Data Science Artificial Intelligence Contract) required by our banking client in London. You will be assigned to a team of 11 Data Analysts and Engineers that create HR/People metrics for 2000 staff. The team has already created a series of dashboards and data science solutions to report on diversity, headcount and attrition. You will join the team to engage with senior stakeholders from the business and HR executive committee to generate a road map for the solutions in this area. You will bring your own experience in HR/People Analytics and knowledge of data science and artificial intelligence (AI).Experience in banking is not required, making this an excellent opportunity to enter into the sector. The ideal candidate would have delivered comparable solutions to a number of different corporate organisations.This role is not technical, however, you will have strong experience working with Business Intelligence developers, MI and data analysts. Of fundamental importance, is the ability to collaborate and work with the business to understand their needs and educate them on the capabilities of the data science space.Salary: £70k - £95k + 25% Bonus + 10% Pension"	"London, UK"	"IT, Finance, HR"	"£70k - £95k per annum + 25% Bonus + 10% Pension"	"Joseph Harry Ltd"	"Anthony Russell "	"JS-HRPO"	"10/12/2018 09:47:09"	"http://www.jobserve.com/Gmgmy"	"ASAP"	NA	NA	NA
"Advanced Analytics AI Engineer - Computer Vision - Data Science"	""	"London"	"Contract"	"Advanced Analytics AI Engineer - Computer Vision - Data Science"	"London"	"Contract"	"Posted: Monday, 10 December 2018"	""	"World Leading Global Energy Company has an exciting opportunity for an AI Engineer to support the Data engineer team lead in building a platform to train and fine tune deep learning algorithms developed by the data scientist team.The role is focused on building AR/VR applications to use in computer vision projects, within the Advanced Analytics Centre of Excellence.The environment is similar to a start-up, with rapid and agile development of POCs, scaled-up when appropriate. About the Role:- Build and Develop platforms based on Deep learning- Leverage Big Data skills such as Spark in building a data platform- Assure the quality of the delivery of advanced analytics PoCs - Develop products that can be easily scaled, replicated and reused- Understand current state-of-the-art, developments and practical applications of latest technology in the industry, technology vendors, academia and open source libraries to ensure that POCs are both leveraging the best algorithms and technology solutions and are grounded in what is realistically achievable.- Partner and instill learnings and best practice across the Digital organisationAbout You:- Hands on developer with a strong Java/Scala background- .NET/C# experience is highly preferred- An appreciation of Computer/Machine Vision - Able to write clean, elegant and maintainable production-level code- Support Requirement Definition enhancements- Deep experience in developing Big Data solution, using standard open source frameworks, toolkits and libraries - Developing solution using Spark and Databricks- Developing solution deployed on edge devices/Servers - Developing AR application using unity3d for Hololens- Solid experience in developing cloud solutions using AWS - Able to learn new skills and nurture new capabilities in your project teams to take advantage of emerging Big Data technologies- Lead proof-of-concept activities to demonstrate new technologies and approaches- Work with the ecosystem of partners and academics to derive the most value for the organisation and specific learning for your team- You will proactively set-up meetings, one-on-one sessions and events that help create change and improvement- You will transfer your knowledge and enthuse team members to try new approaches and techniquesMust have Skills:- Hadoop based big data frameworks- Spark- One of Programming Languages - Scala, Python- RDBMS with SQL Server preferred- No SQL and in-memory databasesDesirable Skills:- Machine Vision experience - Visualization tools (Spotfire, PowerBI)- OpenCV- Understanding of CNN in deep learning - Source control using GIT/VSTS- Cloud tech (AWS/Azure)- Rest API using Python/Scala - Alteryx- MatlabWe believe in equality of opportunity for all job applicants regardless of gender, marital status, race, colour, nationality, ethnic origin, creed or religion, disability, sexual orientation or age.Specialising within Energy Trading, Oil & Gas, Financial Markets and TV & Entertainment, Eaglecliff Recruitment is ISO accredited, a Member of REC and listed within the top 4% for Financial stability by Dun & Bradstreet. Please telephone for an immediate response or email your CV for a reply within one hour. Eaglecliff Ltd is acting in the capacity of an employment agency for permanent recruitment and an employment business for contractor resourcing."	"London, UK"	"IT"	NA	"Eaglecliff Recruitment"	"Hannah Kelly "	"JS-17774"	"10/12/2018 20:37:27"	"http://www.jobserve.com/GmmnK"	NA	NA	"9 months"	NA
"Lead Data Analyst"	"up to £75k"	"London"	"Permanent"	"Lead Data Analyst"	"London - up to £75k"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Data Analyst/Data Science/Python/SQL  My client, a well known organisation based in London is currently looking for a Lead Data Analyst to join them ASAP.  The role will develop into leading a small team of Data Analysts, as well as provide great exposure into the world of Data Science, ML and AI. As a Lead DA you will be responsible for providing the information and insight to enable data led decisions within the organisation.  The successful candidate must have solid experience in: - Senior stakeholder management - SQL  - knowledge of relational and non-relational data sources - basic data visualisation skills  - exposure to Python - exposure to cloud infrastructure including AWS Please respond with an up to date CV for further information."	"London, UK"	"IT, Consulting"	"up to £75k"	"Amery Chase"	"Marta Smith "	"JS1093LDA"	"10/12/2018 09:17:58"	"http://www.jobserve.com/GmgWp"	"ASAP"	NA	NA	"Graduate"
"Data Scientist"	"£475 - £555 per Day"	"London"	"Contract"	"Data Scientist"	"London - £475 - £555 per Day"	"Contract"	"Posted: Monday, 10 December 2018"	""	"About The Data Science CompanyThe organisation is an established digital marketing agency who operate deep within the social, mobile, retail, brand development and creative space. They are now on a journey to build out their Data Science team with this new Data Scientist not only adding commercial value to this market leader, but also helping steer their business consulting offering. They are conveniently located in the heart of London and well placed for an all zone travel commute, offering a collaborative working atmosphere in spacious open plan designed offices, which will make you feel truly part of this multinational. This company is a pioneer within their field and is invested in the importance of their Data Science and the benefit it will bring to their business model. Reporting to the Head of Data, the successful Data Scientist will combine creativity with the power of disruptive technology to give this client's customer base a competitive advantage. About The Data Scientist RoleWith a passion to solve Real Time business problems, as a client facing Data Scientist you will not only have the passion and desire to listen to their customers analytical issues, but will also possess the skills and innovative knowhow to solve them. Strong communication skills are therefore a must for this Data Scientist as you will be presenting your findings to customer owners, stakeholders and business leaders. The strength to educate with passion and energy is also a must as you will be ultimately representing my client in your role as their Data Scientist.At the heart of this Data Science role will be the need for you to dig deep into your previous software engineering background, building the models that will create the answers that the customer at this point just doesn't have. About The Successful Data ScientistThe ideal candidate should have:MSc or Bachelor in a computing field4+ years of professional hands-on experience with handling large sets of data - structured and unstructured.Developed new data platforms and maintain existing softwareDesigned data ETL architectures, databases and data lakesBuilt systems for ingesting data through web-based APIs and web scrapingExcellent Python, SQL and Bash knowledgeExperience with PostgreSQLExperience with designing data lakes within AWS S3 and have general experience with AWS cloud services.Experience with the following technologies: Docker Containers and Compose, Nginx, Redis, RabbitMQIdeally worked with online APIs of social channels such as Facebook, Instagram, Twitter and LinkedIn.Worked with Atlassian Jira and ConfluenceExperience with Javascript and Async/Await design patternsKnowledge around big data processing technologies such as: Apache Kafka, Spark, Hadoop and HiveExperience with Kubernetes and GCP for container deployment and scalingMachine learning experience with SKLearn and TensorFlowAdditional Competencies of the Data Scientist:Be familiar with Microservices based software architecture design patterns.Be comfortable with extracting data through web scraping by using libraries such as BS4 and SeleniumBe comfortable with the following data science stack: Pandas, Numpy, Scipy, Jupyter NotebooksBe comfortable with the following web development stack: Flask, SQLAlchemy, Celery, Requests, Psycopg2, Boto3Be familiar with scheduling tools such as Airflow or LuigiKnowledge of NLP and experience with Spacy, Gensim and NLTKFor more information about this Data Scientist role or to apply send your CV now to Steve. Please email (see below) Reuben Sinclair are a multi award winning recruitment company including: UK's Best Recruitment Consultant, UK's Best Specialist Recruitment Agency, UK's Best Agency Side Recruiter, One of only 30 UK Hyper Growth companies, UK's Most Innovative Recruitment Company, UK's Most Innovative Recruiter, UK's Best Agency Side Recruiter, UK's Best Agency Side RecruiterWe specialise in delivering recruitment solutions for complete brand engagement: Data, Digital, Sales, Marketing and PR working with some of the most innovative, entrepreneurial and award winning companies across industry.Keywords: Data Scientist, Senior Data Scientist, Lead Data Scientist, Head of Data Science, Data Analyst, Statistics, Programming, Machine Learning, Text Mining, Data Visualization, Big Data, Data Ingestion, Data Munging, Toolbox, Natural Language, Processing "	"London, UK"	"IT"	"£475 - £555 per Day"	"Reuben Sinclair"	"Steve Woodward "	"JS-SW - 007 - 1206"	"10/12/2018 11:03:52"	"http://www.jobserve.com/GmhTn"	"ASAP"	NA	"6 months"	NA
"Data Scientist"	"£480 - £550 per Day"	"London"	"Contract"	"Data Scientist"	"London - £480 - £550 per Day"	"Contract"	"Posted: Monday, 10 December 2018"	""	"About The Data Science CompanyThe organisation is a five year old start up financial brand who are embracing all aspects of Data Science. They are conveniently located just outside the square mile so are well placed for an all zone travel commute. Offering a modern business culture, this disruptive brand has spacious open planed designed offices with a collaborative working approach. This company also invests in its Data Science staff and whilst a new team, the Data Scientists at this company are well supported with additional resources.About The Data Scientist RoleImmersing yourself in Data Science, you will be tasked with assisting the financial brand to determine important perceptions collected from both structured and unstructured customer data and social interaction touchpoints. At the heart of this Data Science role will be the building of strong predictive programmes using your data mining, text mining and web scraping knowledge to conduct statistical analysis.Throughout this contract you will reach deep into your Data Science skill set applying Machine Learning to current and past data, predicting and impacting outcomes for the company. This company also want to be taught and empowered to understand and embrace up-to-date techniques they can utilise going forward. Applying your Data Science findings will help them build new products, services and ultimately gain greater market share within the financial products market.Key Responsibilities for the Data Scientist:Collect a wide breath of big data, undertaking market based analysisUse your statistical knowledge to explore this data, clean it and transform it into structured usable dataBuild a model based on previous team examples interfaced with your own toolbox of skillWork with other team members to test the data demonstrating a clear focus to improve the quality of the findingsCommunicate the findings that will dictate future company productAbout The Successful Data ScientistThe ideal candidate will have financial Data Science experience, but transferable skills from other customer centric industries such as Sport, Retail or any other sector where there is heavy customer product purchasing.Desired Skills and Competencies of the Data Scientist:Experience using programming languages such as Python and RMSc in Mathematics, Physics, Economics, Statistics or similar quantitative based degreeMinimum of 2 years' experience implementing customer related data projectsProject skills that have seen you utilise general Machine Learning skill sets and algorithms including clustering Decision TreeStrong and confident communication/presentation skillsFor more information about this Data Scientist role or to apply send your CV now to Steve. Please email (see below) Reuben Sinclair are a multi award winning recruitment company including: UK's Best Recruitment Consultant, UK's Best Specialist Recruitment Agency, UK's Best Agency Side Recruiter, One of only 30 UK Hyper Growth companies, UK's Most Innovative Recruitment Company, UK's Most Innovative Recruiter, UK's Best Agency Side Recruiter, UK's Best Agency Side RecruiterWe specialise in delivering recruitment solutions for complete brand engagement: Data, Digital, Sales, Marketing and PR working with some of the most innovative, entrepreneurial and award winning companies across industry.Keywords: Data Scientist, Senior Data Scientist, Lead Data Scientist, Head of Data Science, Data Analyst, Statistics, Programming, Machine Learning, Text Mining, Data Visualization, Big Data, Data Ingestion, Data Munging, Toolbox, Natural Language, Processing "	"London, UK"	"IT"	"£480 - £550 per Day"	"Reuben Sinclair"	"Steve Woodward "	"JS-SW - 007 - 1203"	"10/12/2018 10:51:29"	"http://www.jobserve.com/GmhPR"	"ASAP"	NA	"6 months"	NA
