"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"duration"
"Machine Learning Researcher (Graphical Models,Gaussian Process)"	"£75k - £110k per annum"	"London"	"Permanent"	"Machine Learning Researcher (Graphical Models,Gaussian Process)"	"London - £75k - £110k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Machine Learning Researcher (Graphical Models, Gaussian Process)We are seeking a Machine Learning Researcher (Graphical Models, Gaussian Process) for our globally acting company; we are currently looking to build a Team of Researchers with experience in Bayesian Inference or Probabilistic Programming. We are a best known for revolutionising the Gaming Industry and developing virtual worlds.As a Machine Learning Researcher you will join a newly formed team of Learning Researchers with the aim of bringing a Research product to a niche market. Our long term goal is a general purpose probabilistic model. As a Machine Learning Researcher you will be working within Bayesian Inference, Probabilistic Programming, Probabilistic Programming Libraries, Big Data Analysis and Bayesian Nets.We are looking for someone who is passionate and motivated to work on our mission. You don't have to have a background in Machine Learning for this position as a Machine Learning Researcher, but you should be ambitious, motivated and able to think out the box.What we can offer a Machine Learning Researcher A chance to be a part of some exciting work whilst being part of a company with more job security than a startup.A relaxed and informal working environment with very little bureaucracy.The chance of publishing your work at leading conferences worldwide (NIPS, ICRA, ICML etc.)A role really close to academia, with strong links to top universities.Key Skills Include: Machine Learning Engineer/Machine Learning Researcher, Researcher, Research, PhD, Publications, Times-Series Forecasting, Gaussian Mixture Models, Machine Learning, ML, AI, Deep Learning, Deep Neural Nets, Natural Language Processing, NLP, Bayesian inference, Bayesian Data, Probabilistic Modelling, Complex Data, Matlab, Python, C++, R, SQL, Mathematics, Statistics, Engineering, Computer Science, Physics, Machine Learning Engineer, Software Engineer"	"London, UK"	"IT"	"Executive"	"ASAP"	"£75k - £110k per annum"	"Understanding Recruitment"	"Thomas Attwell "	"JS-BBBH4930"	"03/12/2018 05:00:56"	"http://www.jobserve.com/GlHh8"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Machine Learning Researcher (NLP, Times series forecasting)"	"£100k - £150k per annum + bonuses"	"London"	"Permanent"	"Machine Learning Researcher (NLP, Times series forecasting)"	"London - £100k - £150k per annum + bonuses"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Machine Learning Researcher/Quantitative Researcher (NLP, Times series forecasting)We are looking for a Machine Learning Researcher/Quantitative Researcher (NLP, Times series forecasting) to join our dedicated Machine Learning Research team; helping us to cQreate some of the most advanced predictive Machine Learning models in the world and implement them within the financial markets.Culturally, we would describe ourselves as a startup within a larger organisation. The way we operate is very similar to academia, so as a Machine Learning Researcher/Quantitative Researcher you will be asked to go away and read the latest publications within the fields of Deep Learning/Reinforcement Learning/Bayesian Inference/Gaussian Process/Times Series Forecasting and look at new and innovative ways you could implement this within our business. As a Machine Learning Researcher/Quantitative Researcher if you enjoyed the style in which you conducted your postdoctoral research or your PhD - though felt a frustration with no 'real-world impact' - this could be a good move for you. Our fund manages nearing thirty billion dollars; a growing number year on year. What we can offer a Machine Learning Researcher/Quantitative Researcher (Deep Learning, Predictive Models)A place in a leading hedge fund working with the some of the brightest minds in the ML-for-finance industryNon-hierarchical structure, startup culture, hack rooms + music roomsTo be a part of something bigger with the ML community; we host ML meetups attending by leading academics/industry leadersA chance to publish your own papersTo join a dedicated team of 7 ML Researchers, as we grow to ten people in 2018.Key Skills: Machine Learning Researcher/Quantitative Researcher, Quantitative Researcher, ML, Artificial Intelligence, AI, Hedge Fund, Neural Networks, Python, Gaussian Process, Bayesian Inference, Time-Series, Multi-Agent Systems, Deep Learning, Reinforcement Learning, Probabilistic Models, Neural Networks, Natural Language Processing, Markov Models, Signal Processing, Computational Statistics, Econometrics"	"London, UK"	"IT"	"Executive"	"ASAP"	"£100k - £150k per annum + bonuses"	"Understanding Recruitment"	"Mat Ferdenzi "	"JS-SM-4011"	"03/12/2018 05:00:46"	"http://www.jobserve.com/GlHhz"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Machine Learning Engineer"	"GBP"	"Sheffield"	"Permanent"	"Machine Learning Engineer"	"Sheffield - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Machine Learning Engineer (UK) Sheffield Salary - up to £60,000 + great benefits QA & Testing is often seen as an unexciting though necessary aspect of the software development process. We're here to change that. We're working hard to develop exciting new technologies, harnessing the power of machine learning and combining this with extensive domain expertise to enable testing to be performed fully autonomously. Something akin to self-driving cars of the testing world! We know this is no easy feat, but nothing worth doing ever is. If you're excited and inspired by the prospect of working with a team of highly educated, expert engineers from around the world to build ground-breaking, and dare we say game-changing, applications to make testing easier, more efficient and autonomous, then we'd like to talk with you. You'll have the freedom to make decisions quickly and execute them, to work collaboratively with colleagues in other countries, (advanced written and spoken English is a must), and you'll be able to apply your experience and education (degree or equivalent) to help us develop a robust and scalable enterprise product to allow organisations to test their software faster and more effectively than ever possible before. Here's a glimpse of some of the projects you'll work on and lead as a Machine Learning Engineer Building intelligent anomaly detection techniques Automatic summarisation of large-scale test results Automatic model inference Improve our existing models and classifiers and help us research/develop new ones Build ML algorithms and integrate, or support integration with our product Essential skills you'll need: Strong practical and theoretical experience with machine learning. Some understanding of Java in order to integrate ML algorithms into our codebase Strong abilities to wrangle and clean data High proficiency with the Linux command line Additional experience that is welcome: Strong programming skills in at least one major programming language (eg, Python, Java, C++) Conducted self-directed academic research and be comfortable setting a research agenda. Be a champion of quality - software design patterns and passion for writing clean code Have worked as part of a team to deliver high-quality software to a production environment Be comfortable reporting results to stakeholders and informing strategic decision-making Bonus Points for: A postgraduate degree (preferably PhD) in a relevant machine learning topic. Polyglot: can program effectively in a wide range of programming languages and frameworks. Experience with distributed systems (concurrency, consistency, partition tolerance) We know that as a Machine Learning Engineer you'll have a mix of different skills, technologies and experiences, so we've tried to keep our 'wants' to a minimum, and thought sharing details of our tech stack would be more interesting to you. Our Tech Stack: Java services (distributed architecture) Languages: Java, Javascript/Typescript/Node.js, Python PostgreSQL for relational database Vue/VueX for frontend Consul for discovery AWS (ECS, S3, CloudFront, ALB) Prometheus for metric monitoring ELK for logging Terraform for infrastructure management Github for source control CircleCI for CI/CD Hazelcast Your favourite technology that can help solve challenges BENEFITS What else is in it for you? The opportunity to bring your own ideas to reality (we love new solutions and ideas!) Team retreats every 6 months... somewhere nice because you've earned it! Full Jetbrains pack license (IntelliJ et al) Private health insurance Take your birthday as holiday every year! Sabbatical opportunities Flexible and remote work options A new laptop and/or use your own equipment  We have a simple two-step technical assessment process as part of the overall interview: We don't expect you to write code in an unrealistic interview setting. To take away the stress of whiteboard tests, you get a small take-home challenge and you have a week to complete it (in a Gitlab repository that you can freely develop your code on) that will take no more than a few hours. If we're happy with your submission in step 1, we schedule a one-to-one Skype session to first provide you with detailed feedback on your submission, ask you a few more questions related to the code and solution you submitted and then it's over to you to interview us. We make our decision after this stage, and you'll hear from us with our final decision within 48 hours. If you would like to hear more about this opportunity please feel free to contact Teo on or  "	"Sheffield, UK"	"IT"	NA	NA	"GBP"	"identifi global"	"identifi global"	"JSMACHINE-LEARNING-ENGINEER/599956128"	"07/12/2018 12:28:19"	"http://www.jobserve.com/Gl5PF"	NA	NA
"Machine Learning Engineer (Data engineering/Data Science)"	"£45k - 55k per year + Benefits"	"London, Greater London, England"	"Permanent"	"Machine Learning Engineer (Data engineering/Data Science)"	"London, Greater London, England - £45k - 55k per year + Benefits"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Machine Learning Engineer (Data engineering/Data Science)ML/Data engineer/Scientist is required for an innovative and well-funded start-up company based in a central London location. This is a diverse opportunity for a data scientist with machine learning and data engineering experience to join a company that changes the way we think about data, and what we can do with it!You will be using your engineering skills to build data pipelines and design algorithms to manage huge amounts of data.What's in it for you as the ML Engineer/Data Scientist:The ML Engineer/Data Scientist will have a competitive salary of up to £55,000Equity shares in the businessBeing part of an award winning, tech driven companyBeing part of a tech driven and dynamic teamWorking with a modern tech stackNew stylish office locationFlexible working hoursKey Skills and Responsibility of the ML Engineer/Data Scientist:Strong knowledge of algorithms and building data pipelinesExperience with classic Machine Learning technologiesExcellent knowledge of PythonGreat skills with pandas, numpy, scipy and sklearn2 years commercial experienceBSc or higher in a STEM subject Nice to have but not essentialExperience using R, Deep learning, NPLAs you can see this is a well-rounded and diverse opportunity to improve skills in all areas and join an innovative organisation in the machine learning industry as a Machine Learning Engineer.To apply for this position please send a recent CV.Keywords - Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML. Venturi (TVGL Inc.) is an equal opportunity employer and does not discriminate on the basis of age, colour, sex (including pregnancy), gender, gender identity, genetic information, marital status, military/veteran status, national origin, ancestry, race, creed, religion, sexual orientation, transgender status, non-disqualifying physical or mental disability, domestic violence victim status, criminal or arrest record, unemployment status, or any other basis protected by applicable law. "	"London, Greater London, England, UK"	"IT"	NA	"05/01/2019"	"£45k - 55k per year + Benefits"	"Venturi Limited"	"Georgia Bright"	"JS46392"	"05/12/2018 18:31:53"	"http://www.jobserve.com/GlqH1"	NA	NA
"Machine Learning Software Engineer (Image Recognition)"	"£35k - £100k per annum"	"Portsmouth, Hampshire"	"Permanent"	"Machine Learning Software Engineer (Image Recognition)"	"Portsmouth, Hampshire - £35k - £100k per annum"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Machine Learning Software Engineer - Portsmouth - Salary based on experience Your new company  A innovative company specialising in the development, integration and sustainment of advanced technology systems.Your new role  You will be working on an exciting new project involving advanced image recognition software products. Using machine learning techniques you will also be exploring new products and creating prototypes to be used by the companies customers.What you'll need to succeed Experience of working with Machine Learning in a commercial settingExperience with 1 or more Machine Learning frameworks, including: TensorFlow, Caffe, CNTK, Torch/Pytorch, MXNET, Chainer, Keras and Deeplearning4j.Skilled in C/C++ codingExperience with Java/J2EE or Ada95 would be advantageousExperience in an Agile environment What you'll get in return A very competitive salaryGreat career progression opportunities What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found on our website."	"Portsmouth, Hampshire, UK"	"IT"	"Executive"	NA	"£35k - £100k per annum"	"Hays DT - South Coast"	"Toby Ambrose"	"JS-3414390"	"07/12/2018 14:54:56"	"http://www.jobserve.com/GkqIy"	NA	NA
"Machine Learning Researcher | £ DOE | Relocation Expenses Paid"	"Benefits"	"Bristol"	"Permanent"	"Machine Learning Researcher | £ DOE | Relocation Expenses Paid"	"Bristol - Benefits"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Machine Learning Researchers Mobile App/Python/Ruby/Shell Scripts Salary: DOEBristol Based,.Potential for Home Working!**Relocation Expenses Paid*I am looking for multiple Machine Learning Researchers to join a hugely successful mobile app start-up company who are already established in one of the most culturally significant countries globally, and who are now growing an office in Central Bristol to enable a global rollout.This product is having a profound positive effect on health, social connections and environmental sustainability. If you would like to solve real world problems, and have the following skills, please get in touch today!  The role:* Work on developing scalable classifiers and tools using machine learning techniques* Research, code and deliver alongside the engineering team to test and release new features * Creatively enhance and adapt well know algorithms and methods to support and inform future roadmaps * Work closely with a team of high performing Machine Learning and Data Science engineers solving real world problems The skills: * Machine learning related work, or MSc or PhD degree in Computer Science or related field * Proven experience in machine learning and data mining* Track record translating product and feature requirements into production ready services * Experience with Python, Ruby, Shell Scripts You could be working on an app visited by over 3 million people p/day which is working to, and succeeding at, building a better world! Is this you? Ensure you email me with an updated CV today via (see below) and call me if you have any questions.People Source Consulting Ltd is acting as an Employment Agency in relation to this vacancy.People Source specialise in technology recruitment across niche markets including Information Technology, Digital TV, Digital Marketing, Project and Programme Management, SAP, Digital and Consumer Electronics, Air Traffic Management, Management Consultancy, Business Intelligence, Manufacturing, Telecoms, Public Sector, Healthcare, Finance and Oil & Gas."	"Bristol, UK"	"IT"	NA	NA	"Benefits"	"People Source Consulting Ltd"	"Glenn Dutton "	"JS-GD145276"	"07/12/2018 15:10:35"	"http://www.jobserve.com/Gl6Ia"	NA	NA
"Machine Learning/AI Software Engineer: C++, Tensorflow"	"£30k - £55k per annum"	"Bristol"	"Permanent"	"Machine Learning/AI Software Engineer: C++, Tensorflow"	"Bristol - £30k - £55k per annum"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Machine Learning/AI Software Engineer: C++, Tensorflow. Working with a small, mixed discipline research team developing new Machine Learning and Data Science Techniques to be applied to other well established products.You will need a strong background in software development (most likely C++ and Python) and experience solving Non-Linear, optimisation based Machine learning and Data Science problems.You will be working with a team receiving plenty of support and resources from the wider business and will be able to act as a technologist, investigating and recommending new technologies and tools to truly influence and improve the projects you are working on, the growth potential in this role is exceptional.You will be working with a large, well established employer who develop their staff in the long term, provide exceptional training & development and work hard to facilitate their staff to realise their potential.Essential Skills:Experience developing software, most likely in C++ and PythonExperience working in Data Science, Machine learning or a relevant AI fieldExperience and understanding of working to solve optimisation problems using ML/AT techniques.Desirable Skills:Experience with the following is not essential but would be advantageousExperience with the Machine Learning (ML) tools such as TensorflowA strong background and interest in mathematics.Experience working with Geometrical mathematics and visualisation.An understanding of the principles of electronics (PCB) design.Benefits27 days annual leave per annum (plus all public holidays).Flexible Working Hours.Pension Scheme. (max 8% contribution from company matched at a ratio of 2:1)Extensive training and developmentMatchtech acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers and is part of Gattaca Plc. Gattaca Plc provides support services to Matchtech and may assist with processing your application."	"Bristol, UK"	"IT, Engineering"	NA	"ASAP"	"£30k - £55k per annum"	"Matchtech"	"Elliott Doyle "	"JS-EMP426714"	"07/12/2018 16:31:27"	"http://www.jobserve.com/Gl6oI"	NA	NA
"Machine Learning Engineer"	"£30k - £70k per annum + Bonuses and holiday"	"Milton Keynes"	"Permanent"	"Machine Learning Engineer"	"Milton Keynes - £30k - £70k per annum + Bonuses and holiday"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Job Title: Machine Learning Engineer - Global B2B Software Firm Location: Milton KeynesSalary: £30,000 to £70,000 DOE plus bonuses and generous holidayAbout The Global B2B Software FirmAn opportunity for a talented Machine Learning Engineer to play a pivotal role in the development and evolution of Machine Learning processes at a global B2B management software firm. With an expert team of software developers, the Machine Learning Engineer will be joining a highly talented team to help revolutionise their product and develop a skilled Machine Learning team around them. By leveraging the power of machine learning, you will interrogate big data to ensure rapid advancement of their global product. A flexible and collaborative team, within a large and multinational business provides an ideal opportunity for a Machine Learning Engineer ready to take that step up into a leadership position.About The Machine Learning Engineer Role As a Machine Learning Engineer you will have the opportunity to develop your technical skills in a highly established software environment, supported by many talented software engineers and developers.Key Responsibilities for the Machine Learning Engineer:* Lead the team and harness your machine learning expertise to validate hypotheses across the business* Interrogate big data, building new and improving existing products and features* Design and build machine learning models to advance the product * Act as a leader, sharing your passion and knowledge of machine learning to help build a team around youAbout YouYou are a passionate and successful Machine Learning Engineer with a drive to implement your Machine Learning skills to make a tangible difference to this global company's software.Essential Skills and Competencies of the Machine Learning Engineer: * Advanced degree in Maths/Computer Science preferable * Expert in Python and ex* Excellent coding skills; Python ideal * Hands on experience with Cloud services* An inquisitive and analytical mindset, partnered with data profiling skillsThe Machine Learning Engineer receives a highly competitive salary paying from £30,000 to £70,000 depending on experience and excellent company benefits.For more information about the Machine Learning Engineer role or to apply send your CV now to (see below) I look forward to hearing from you!We specialise in delivering recruitment solutions for complete brand engagement: Sales, Marketing, PR & Digital and work with some of the most innovative, entrepreneurial and award winning agencies in the industry."	"Milton Keynes, UK"	"IT"	NA	"ASAP"	"£30k - £70k per annum + Bonuses and holiday"	"Reuben Sinclair"	"Joe Spragg "	"JS-JS - MLE - WS"	"07/12/2018 10:00:37"	"http://www.jobserve.com/Gl3BG"	NA	NA
"Machine Learning Engineer"	"£30k - £75k per annum + Bonuses and holiday"	"London"	"Permanent"	"Machine Learning Engineer"	"London - £30k - £75k per annum + Bonuses and holiday"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Job Title: Machine Learning Engineer - Global Advertising Firm Location: LondonSalary: £30,000 to £70,000 DOE plus bonuses and generous holidayAbout The Global Advertising FirmAn opportunity for a talented Machine Learning Engineer with experience in NLP to innovate solutions to complex problems on their advertising platform. Harnessing your machine learning expertise, you will be joining a highly talent technology team focussed on machine learning, NLP and software development to help advance their platform with provides a connectivity suite for the ad industry, globally. An opportunity to work on hugely exciting machine learning and NLP projects in a high growth, high learning and highly flexible culture.About The Machine Learning Engineer Role As a Machine Learning Engineer with experience in NLP, you will have the opportunity to develop your technical skills in a highly established marketing environment.Key Responsibilities for the Machine Learning Engineer:* Drive your machine learning knowledge to design and develop pipelines to create models for fast POC's* Test and identify best algorithms to evolving problems* Integrate your machine learning projects with existing services in the business* Keep up to date on research and industry advancements to promote best practiceAbout YouYou are a passionate and successful Machine Learning Engineer with a drive to implement your Machine Learning and NLP skills to make a tangible difference to this global company's advertising software.Essential Skills and Competencies of the Machine Learning Engineer: * Advanced degree in Maths/Computer Science preferable * Expert Machine Learning and NLP knowledge* Excellent coding skills; Python ideal * Hands on experience with Cloud services* An inquisitive and analytical mindset, partnered with data profiling skillsThe Machine Learning Engineer receives a highly competitive salary paying from £30,000 to £70,000 depending on experience and excellent company benefits.For more information about the Machine Learning Engineer role or to apply send your CV now to (see below) I look forward to hearing from you!We specialise in delivering recruitment solutions for complete brand engagement: Sales, Marketing, PR & Digital and work with some of the most innovative, entrepreneurial and award winning agencies in the industry."	"London, UK"	"IT"	NA	"ASAP"	"£30k - £75k per annum + Bonuses and holiday"	"Reuben Sinclair"	"Joe Spragg "	"JS-JS - MLE - AS"	"07/12/2018 09:57:24"	"http://www.jobserve.com/Gl3AA"	NA	NA
"Machine Learning Engineer - London, UK/Nuremburg, Germany - Contract"	"As Per Market"	"London, United Kingdom"	"Contract"	"Machine Learning Engineer - London, UK/Nuremburg, Germany - Contract"	"London, United Kingdom - As Per Market"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"Job Details: Role - Senior Machine Learning EngineerLocation - London, UKDuration - 6 months to start with possible extensionJob Description: Senior Machine Learning Engineer: Design, develop and implement data science and machine learning models in proof-of-concepts and prototypes Develop, optimize, standardize and implement data science and machine learning solutions at scale in data pipelines and distributed systems (eg Hadoop/Spark/Kubernetes ecosystem) Engineer at scale using service-oriented architecture, containerized applications and functions as a service, especially in cloud service environments (ie IaaS, PaaS, SaaS, FaaS) Optimize data science and machine learning models using high performance computing (eg GPGPU) and Real Time techniques (eg messaging/streaming services, reactive programming) Represent machine learning and data science expertise at workshops and conferences Skills required: Machine Learning with Python  (Spark is optional) Kubernetes/Docker or containerization or terraform or any dev ops Micro services Experience in predictive modelling is desired. "	"London, United Kingdom"	"IT"	NA	"ASAP"	"As Per Market"	"TomGandhi Consulting Limited"	"Vikas Pasala "	"JS_VIKAS"	"06/12/2018 12:41:23"	"http://www.jobserve.com/GlxUE"	NA	"6 months rolling contract"
