"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"
"Data Analyst \ scientist \ Statistics \ Compliance; Bank, compliance, Anti Financial crime, AML, KYC"	"Up to £550 per Day"	"London"	"Contract"	"Data Analyst \ scientist \ Statistics \ Compliance; Bank, compliance, Anti Financial crime, AML, KYC"	"London - Up to £550 per Day"	"Contract"	"Posted: Monday, 10 December 2018"	""	"Data Analyst/scientist/Statistics/Compliance; Bank, compliance, Anti Financial crime, AML, KYC Essential skills and experience Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Experience with compliance databases such as BVD, Worldcheck, LegalKey, etc. Experience with PEPs, sanctions and negative media screening. Data matching: entity resolution, fuzzy matching, duplicate detection, etc. Cloud computing  Nice-to-have skills and experience  Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Solid understanding of UK and European money laundering regulations, initiatives and directives Exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements. Experience collaborating with 3rd party vendors "	"London, UK"	"IT"	"Public Sector"	"12 to 24 months"	"Jan 2019"	"Up to £550 per Day"	"Vesta Consulting Limited"	"Goutham Rajendran"	"JSDATACOMPLIANCE"	"10/12/2018 19:25:19"	"http://www.jobserve.com/GmmH6"	NA
"Finance Data Scientist"	"Negotiable"	"London"	"Permanent"	"Finance Data Scientist"	"London - Negotiable"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Finance Data Scientist Senior Consultant - Manager As a Data Scientist within the Digital Finance Enablement team, you will be at the forefront of innovative cloud enabled analytics solutions in response to the most significant challenges faced by the Finance functions of our strategic global clients.  Responsibilities will include: Identify opportunities, design and assess Finance analytics solutions, for example using machine learning to support cost categorisation, or predictive modelling and forecasting supported by Big Data and Elastic Compute Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations Develop comprehensive understanding of Finance data structures and metrics Define schemas to store the data in Cloud data warehouses for analytics, including Big Query and Redshift Interact cross-functionally with a wide variety of people and teams Make business recommendations (eg cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information Ability to effectively prioritise, estimate, plan and delegate workload to meet deadlines Being a strong team player Strong verbal, written and presentation skills Location: London with occasional domestic and international travel Suggested work pattern: Permanent full-time Your professional experience Minimum qualifications: Degree in a quantitative discipline (eg, statistics, operations research, bioinformatics, economics, computational biology, computer science, mathematics, physics, electrical engineering, industrial engineering) +2 years of relevant work experience in data analysis or related field. (eg, as a statistician/data scientist/computational biologist/bioinformatician) Experience with statistical software (eg, R, Julia, MATLAB, pandas) and database languages (eg, SQL) Preferred qualifications: +3 years of relevant work experience (eg, as a statistician/computational biologist/bioinformatician/data scientist), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.  Recognised Professional Accounting qualification and/or experience working within a Finance function and Finance data role Applied experience with machine learning on large datasets. Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Demonstrated effective written and verbal communication skills. Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques. Experience in consulting or professional services "	"London, UK"	"IT, Finance, Consulting"	NA	NA	"ASAP"	"Negotiable"	"Next Ventures Ltd"	"Michael Kwakye "	"JS"	"07/12/2018 07:06:59"	"http://www.jobserve.com/Gjik1"	NA
"Data Scientist"	"£230 - £280 per Day"	"Central London"	"Contract/Permanent"	"Data Scientist"	"Central London - £230 - £280 per Day"	"Contract/Permanent"	"Posted: Monday, 10 December 2018"	""	"Job Title: Data ScientistLocation: Central LondonSalary: £230 - £280Employment: Day rateAbout The Data Science Company:The organisation is an established financial brand who operate deep within the investment markets and who are now on a journey to build out their Data Science team. This new Data Scientist hire will not only add commercial value to this market leader, but they will also help steer private equity clients investment decisions through the information they generate for the investment team. They are conveniently located in the heart of London and well placed for an all zone travel commute. Offering a modern business culture, they offer spacious open plan designed offices with a collaborative working approach with their 35 strong investment team. This company is investing Data Science staff and whilst a new team, the Data Scientists at this company will be well supported with additional resources, as they build the next generation of Machine Learning and Data Science models.About The Data Scientist Role:Immersing yourself in Data Science, you will be tasked with assisting this financial Powerhouse to build new quantitative models that determine important perceptions collected from both structured and unstructured data, mixed in with your own important research. At the heart of this Data Science role will be the building of strong analytical predictive programmes, capturing new analytics to develop new investment decisions and direction in addition to:Working collaboratively with relevant teams (including your colleague in the new Data Science team) to achieve the highest resultsUtilise your statistical techniques to their full potentialBe happy immersing yourself in big data where you will need to look for automation to speed up your processing of large data sets that have primary factors that you must unlock to build forecasting modelsUtilise and create Python tools whilst creating documents in LaTeX.Key Responsibilities for the Data Scientist:Collect a wide breath of big data, undertaking market based analysisUse your statistical knowledge to explore this data, clean it and transform it into structured usable dataBuild a model based on previous team examples interfaced with your own toolbox of skillsWork with other team members to test the data demonstrating a clear focus to improve the quality of the findingsCommunicate the findings that will dictate future company productAbout The Successful Data Scientist:The ideal candidate should have:Practical work experience or actual employment in an office setup, however this only needs to be a minimum of three monthsStatistical experience or be a competent general statisticianPost Doc experience or perhaps mentored experience in statistics or any mentored research in the Financial SectorExperience or exposure to the financial sector or investment sector in particular Bank or Clearing house general industry experience would be looked on favourablyShould be PhD qualified and have had their relevant research publishedGeneral strong Computer Science experience is neededA mindset where they can work to deadlines and be able to apply their learnt experience quickly and effectively in a work environmentThe ability and drive to work from a blank canvas, where you will be dealing in very large Big Data, and creating models to deal with itStrong Python programming skills are a must as you will be building models to support the investment team in their key future financial decisionsGood communication and presentation skills as you will form part of the investment team, engaging with them regularlyThe passion to learn from an accomplished Data Scientist in a team of two.The tenacity to hit the ground running picking up all hands-on and ad-hoc work tasks, applying and focusing on the application of mathematical and statistical methods to financial investment problemsEssential Skills and Competencies of the Data Scientist:Strong experience of using the Python programming languageA well rounded knowledge of SQLMSc or PhD Mathematics, Physics, Economics, Computer Science, Statistics or similar quantitative based degreeMinimum of 3 months practical work experience or proven interim experience.Strong and confident communication/presentation skillsThis role would ideally suit a recent PhD graduate looking for their first stepping stone into the Data Science industry.For more information about this Data Scientist role or to apply send your CV now to Steve. Please email (see below) Reuben Sinclair are a multi award winning recruitment company including: UK's Best Recruitment Consultant, UK's Best Specialist Recruitment Agency, UK's Best Agency Side Recruiter, One of only 30 UK Hyper Growth companies, UK's Most Innovative Recruitment Company, UK's Most Innovative Recruiter, UK's Best Agency Side Recruiter, UK's Best Agency Side RecruiterWe specialise in delivering recruitment solutions for complete brand engagement: Data, Digital, Sales, Marketing and PR working with some of the most innovative, entrepreneurial and award winning companies across industry.Keywords: Data Scientist, Senior Data Scientist, Lead Data Scientist, Head of Data Science, Data Analyst, Statistics, Programming, Machine Learning, Text Mining, Data Visualization, Big Data, Data Ingestion, Data Munging, Toolbox, Natural Language, Processing "	"Central London, UK"	"IT"	NA	"Temp-to-perm"	NA	"£230 - £280 per Day"	"Reuben Sinclair"	"Steve Woodward "	"JS-SW - 007 - 1204"	"10/12/2018 10:54:44"	"http://www.jobserve.com/GmhQg"	NA
"Spotfire Developer/Programmer"	""	"Uxbridge"	"Contract"	"Spotfire Developer/Programmer"	"Uxbridge"	"Contract"	"Posted: Tuesday, 11 December 2018"	""	"Spotfire Developer/Programmer - 12 months - UxbridgeGlobal FMCG is looking for an experienced Spotfire Developer/Programmer.Experience Required: - BA/BSc or higher in computer science, data science, natural science (eg chemistry), mathematics, statistics, or IT related discipline - Proven Data Visualisation Platform Experience: Spotfire (highly preferred), Tableau, Cognos, Business Objects or other relevant graphical platform - Proven Experience in an IT related area - Proven ability to manage conflicting demands and priorities and to negotiate successfully - Proven ability to translate business function needs into documentable, communicable, and programmable requirements - Knowledge of basic computer skills (MS Word, Excel, PowerPoint, Outlook). Excellent written and verbal communication skills - Demonstrated knowledge of and experience in the application of CDISC data and standards - Demonstrated ability to manage the outsourcing or externalisation of Data Visualisations/IT Deliverables in the clinical trials setting (eg, working with CROs, academic institutions) - Demonstrated direct interaction with clinical study team members of a consistently successful nature Spring acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. The Spring Group UK is an Equal Opportunities Employer.By applying for this role your details will be submitted to Spring. Our Candidate Privacy Information Statement explains how we will use your information "	"Uxbridge, UK"	"IT"	NA	"12 months"	"ASAP"	NA	"Spring Technology"	"Krupali Patel "	"JS-KP240118SP"	"11/12/2018 11:34:08"	"http://www.jobserve.com/Gmtr5"	NA
"Data Scientist - London"	"75k"	"London"	"Permanent"	"Data Scientist - London"	"London - 75k"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Great opportunity to work for a new exiting start-up in the heart of London city Requirements Masters degree or equivalent experience in a quantitative field such as Statistics, Computer Science, or Applied Sciences Experience of Machine Learning  Some experience of using Python Experience of running scientific experiments Benefits Be part of a growing technology startup company Collaborative, flexible and friendly environment Competitive salary, share options and bonus 25 days holiday Flex working  Training budget, healthcare and a pension plan with employer contributions, childcare voucher scheme, cycle to work scheme "	"London, UK"	"IT"	"Graduate, Executive"	NA	"01/01/2019"	"75k"	"Tribal Solutions"	"Troy Woods "	"JSDATASCI_LONDON"	"06/12/2018 16:18:23"	"http://www.jobserve.com/GlyJp"	NA
"Junior Data Analyst"	"£20 - £21.50 per hour"	"Uxbridge"	"Contract"	"Junior Data Analyst"	"Uxbridge - £20 - £21.50 per hour"	"Contract"	"Posted: Monday, 10 December 2018"	""	"A well-known pharmaceutical organisation is requiring a Junior Data Analyst/Support to join an exciting project focused around staff incentives and bonus schemes. Role is ideal for a graduate who can demonstrate logical thinking and a high level of attention to detail. Experience or just general passion for Maths/Statistics would also be highly beneficial.The role will assist in the delivery of Sales Effectiveness programs and projects to achieve key business objectives including:Sales effectiveness benchmarking, activity planning, sizing/structure and KPI reportingSales bonus and incentive schemes across the businessData warehouse managementVeeva (CRM) new releases, upgrades and internal changes implementationKey Responsibilities:Manage the calculation and verification of sales bonus and incentive programs, adhering to timelines and Global processesProvide support in the deployment/and ongoing business requirements for Business Information systems (including QlikView and Power BI). This will require communication and co-ordination with both local commercial teams and global strategic teamsSupporting the Data Manager in maintaining the quality of data within the local database and any data feeds as requiredProviding analytical support and managing specific processes relating to the projectsActing as a CRM Data Steward for the configuration of Veeva and maintenance of the quality of the data within Veeva (in conjunction with the CRM Data Analyst)Managing or supporting ad-hoc projects and requests for sales and activity data, in a timely mannerHandling queries from Sales and Marketing teams relating to the Business Information systems or data contained withinBack-up cover & support to the CRM (Veeva) Data Analyst when required, - including day to day incident management system ( Remedy] within agreed SLA timelines and working with third party suppliersMinimum Requirements:Degree level qualificationAptitude for programming and logical thinking (SQL programming knowledge preferable)Advanced Excel skillsPossess strong analytical skillsPossess good attention to detailProject co-ordinationWorking effectively as part of a team, taking accountability for own actions and tasks, whilst communicating with othersAbility to be self-directed and work independentlyPrioritise workload to manage multiple ongoing projectsPossess strong organisational skillsExcellent communication skills, both verbal and writtenAbility to establish and maintain effective working relationships with co-workers, managers and stakeholders across varying levels of seniority who may be based outside the UKContract until December 2019 initially, paying up to £21.50 per hour LTD/Umbrella (Based on a 37.5 hour week).Networkers acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers and is part of Gattaca Plc. Gattaca Plc provides support services to Networkers and may assist with processing your application."	"Uxbridge, UK"	"IT"	"Graduate"	"11 months"	"02/01/2019"	"£20 - £21.50 per hour"	"Networkers"	"Kirsty Houghton "	"JS-EMP427447"	"10/12/2018 14:46:30"	"http://www.jobserve.com/GmibE"	NA
"Test Analyst"	"£400 per Day"	"City of London"	"Contract"	"Test Analyst"	"City of London - £400 per Day"	"Contract"	"Posted: Friday, 7 December 2018"	""	"Location: London (City)Role: Test Analyst, £400/dayMy client, one of the most renowned Investment Banks globally, just released a new Test Analyst contract, paying up to £400/day.Skills RequiredWorking knowledge of statistics and data analysis for testing purposesGood understanding of SQL server for interrogating databasesExperience in using QTP/UFT (Unified Functional Testing)MS SQL queriesHP ALM (Quality centre)Bonus Skill (Not Essential)Experience working with Basel regulationsMorgan McKinley is acting as an Employment Business in relation to this vacancy.Please note that any references to salary or pay rates in this advertisement and in the salary refinement section are indicative only and should only be used as a guide."	"City of London, UK"	"IT"	NA	NA	NA	"£400 per Day"	"Morgan McKinley UK"	"Augustas Pavilionis "	"JS-BBBH716574"	"07/12/2018 16:49:40"	"http://www.jobserve.com/Gl6qL"	NA
"Senior Data Analyst/Consultant - SQL/Tableau"	"£40k - £50k per annum"	"London"	"Permanent"	"Senior Data Analyst/Consultant - SQL/Tableau"	"London - £40k - £50k per annum"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Senior Data Analyst/Consultant - SQL/Tableau This is a fantastic opportunity to join an innovative mobile technologies organisation, currently going through an exciting expansion period, working closely with some of their global clients and providing them with vital data statistics! Our client are looking for a talented individual to join their team and support numerous data and analytic solutions for clients, including world-renowned international mobile operators.The chosen candidate will perform a range of data and consultancy tasks, working closely with new and existing clients and relevant teams within the business to ensure clients achieve their business objectives. It will be your responsibility to manage the delivery of analytics and reporting solutions, covering database design and development, statistical analysis, customer analytics, predictive modelling, visualisation, reporting design and reporting production. Additionally you will manage deliverables  within timescales and budgets in areas such as segmentation, correlations, decision trees, churn predictions, propensity models and dashboards, as well as responding to any information, data or insight requests. You will also be tasked with coaching and mentoring a junior member of staff, as well as monitoring their performance level and ensuring they are producing efficient reporting and modelling services. As well as developing new techniques and models to increase effectiveness, you will also build dashboard solutions and data strategies, tests, experiments and marketing campaigns. Please note: this role may include some occasional travel between international sites. To be considered for the role, you will need the following skills and/or experience:  At least 5 years' experience in a similar role   Previous experience as a senior member of a data science/analytics team   Strong hands-on SQL and Tableau experience   Strong communication skills   Experience within the telecoms or communications sector would be very beneficial  Qualserv Consulting Ltd is acting as a Recruitment Consultancy/Employment Agency in relation to this vacancy and advert. Qualserv Consulting is an Equal Opportunities Employer. Key words: data, analytic, analytics, analyst, consultant, consulting, consultancy, solutions, strategies, services, mobile, technology, operators, telco, telecommunications, telecoms, data-driven, customer acquisition, segmentation, customer lifetime value, customer retention, propensity modelling, churn, purchasing, platform, database, design, development, statistical, visualisation, reporting, report, predictive modelling, correlations, decision trees, information, insight, info, initiatives, workstream, stakeholders, clients, telecom, SQL, Tableau, MSSQL"	"London, UK"	"IT, Sales and Marketing, Consulting"	NA	NA	NA	"£40k - £50k per annum"	"Qualserv Consulting"	"Robert Pask"	"JSBIBB0043 ANALYST"	"10/12/2018 16:52:28"	"http://www.jobserve.com/GmkQB"	NA
"QA Test Engineer Android"	"£55k-£65k per annum"	"London"	"Permanent"	"QA Test Engineer Android"	"London - £55k-£65k per annum"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"QA Test Engineer - Start UpQA Test Engineer! Working with a leading global games studio, who require a forward thinking, proactive engineer to work within their markting function, where you will be joining a collaborative agile team and working closely with the developers to deliver new features, in line with business requirements to increse growth across their online games.You will write, execute and maintain test cases using mainly manual techniques but with a view to automation; you will introduce more automation as the role progresses. You'll take ownership of testing desktop, mobile and APIs, working with developers to ensure that tests written provide good coverage and keep track of bug statistics. Requirements:Strong experience of writing, executing and maintaining test cases for both desktop and mobile devicesExperience with test case management tools such as TestRailAbility to understand the system architecture and identify the areas that needs to be testedISTQB certification in Software Testing or similarEager to further your test automation skillsExcellent communication skills and good collaboratorAs a QA Test Engineer you will be joingin a friendly environment, working from an excellent Central London offices with breakout areas, pool table, console games, fully stocked kitchen, flexible working hours, competitive salary plus bonus and benefits.QA Test Engineer"	"London, UK"	"IT"	NA	NA	NA	"£55k-£65k per annum"	"Oliver Bernard"	"Dilan Shrimpton "	"JS-2312"	"05/12/2018 16:02:11"	"http://www.jobserve.com/Gloy5"	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."
"Quality Engineer - Validation/Regulatory - Contract"	""	"South Wales"	"Contract"	"Quality Engineer - Validation/Regulatory - Contract"	"South Wales"	"Contract"	"Posted: Tuesday, 11 December 2018"	""	"Quality Engineer - Contract Key: Medical Device/Pharma Quality Engineering, Validation, RegulatoryDuration: Initially 6 monthsRate: Negotiable per dayLocation: South Wales Our exclusive client urgently requires the services of additional Contract Quality Engineers to provide support for design/development and manufacture of medical devices including electrosurgical instruments. Specifically, for carrying out quality control processes and the generation and/or review and approval of associated records and ensuring compliance to the requirements of ISO 13485:2016 and US FDA quality system regulation.The ideal candidate will have:* A Degree (or equivalent) in an engineering or related discipline.* Experience in a Quality Engineering or Quality Assurance role in a class II or class III medical devices environment taking products from definition to production.* Working knowledge of ISO 13485, FDA 21 CFR part 820, IEC 60601, BS EN 14971, ISO 10993, ISO 11137.* Understanding of process validation, process control and statistics cleanroom manufacture, electronics manufacturing techniques desirable. The role is essential to ensuring products are designed, developed and manufactured to a high quality and to supporting compliance to regulatory requirements. The role requires close and proactive working with design/development engineers and technicians, production technicians, purchasing and materials control personnel, the manufacturing and quality assurance managers, and other personnel as necessary.Please apply either by sending your CV direct to (see below) OR via the link below, ThanksBy applying to this advert you are giving CPS Group (UK) Ltd authority to hold and process your data for this specific role and any other roles we may deem suitable to you over time. We will not pass your data to any third party without your verbal or written permission to do so. All incoming and outgoing calls are recorded for training and compliance purposes. CPS Group (UK) Ltd is acting as an Employment Agency in relation to this vacancy. Our new privacy policy can be found on our website"	"South Wales, UK"	"Engineering"	NA	"6-12months +"	"ASAP"	NA	"CPS Group (UK) Ltd"	"Mark Brereton "	"JS-J16032"	"11/12/2018 16:43:43"	"http://www.jobserve.com/GmvL1"	"About CPS Group (UK) Ltdwww.cpsgroupuk.comCPS Group is one of Europe’s best technology recruiters. Headquartered in Cardiff, with offices in Manchester and Swansea, we are the fastest-growing, most profitable, independent recruitment company based in Wales. Working across four continents, we source and supply permanent and interim staff for the IT (Infrastructure, Networking, Development, RDBMS, Projects and Change) ERP (SAP, Oracle, Agresso, CRM, MS Dynamics) and Engineering (White Collar only) sectors. By thoroughly understanding what our clients need and by uncovering the best candidates, we place in excess of 1000 professionals a year into worldwide jobs. Our clients range from SME's to global PLCs and FTSE organisations."
