"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"duration"	"category"	"company_summary"
"Data Science - London - £60k - £75k"	"£60k - 75k per annum"	"London"	"Permanent"	"Data Science - London - £60k - £75k"	"London - £60k - 75k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data Science - London - £60k - £75k My client works with large food companies and specializes in managing the food processing.  This client is looking to set up a new Data Science hub within London, creating a brand new team.Data Scientist Role Requirements: Seriously passionate about solving data problems.  Entrepreneurial attitude/self-starter with the ability to spot data-backed variables influencing growth and forecast their evolution.  Strong attention to detail and organisation.  Outstanding communication skills in order to explain complex data problems in a non-technical way.  Commercial mindset and a good understanding of what data contributes to the overall business objectives both short and long-term.  Ability to work under pressure in a ludicrously fast-paced and scaling business.  Very strong SQL and BI software skills (ideally Mode or similar).  Advanced Excel skills including pivot tables, macros, charts, functions and VBA modelling.  BSc degree (or higher) in Engineering, Computer Science, Physics or any other highly quantitative field from a top-tier University.Nice-to-haves: Commercial understanding of marketplace mechanics and what this looks like from a data standpoint would be epic.  Engineering background in order to work end to end with data. -  Implementation of tracking to data-visualisation.  Experience working with cross-departmental data analytics (Product, Marketing, Customer Service and Growth)  Experience working with data mining/stat languages (Python) is preferred.  Experience working with performance marketing analytics tools (Facebook, Google Adwords/analytics etc )  Knowledge of data visualisation tools such as Mode, Periscope, or Tableau.Skills Python, Data Analysis, SQL, Communication Skills, AnalyticsGet in touch with myself, Dominic at Opus if you would like to be considered for this role. Data Science - London - £60k - £75k "	"London, UK"	"IT"	"2018-12-16"	"£60k - 75k per annum"	"Opus Recruitment Solutions Ltd"	"Dominic Fox "	"JSDATA SCIENCE - EAST LONDON"	"03/12/2018 18:24:06"	"http://www.jobserve.com/GlSpX"	NA	NA	NA
"Data Science Manager (Pricing) | SW London | £60-70k"	"£60-70k"	"London"	"Permanent"	"Data Science Manager (Pricing) | SW London | £60-70k"	"London - £60-70k"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"One of the world's leading insurers and warranty providers is looking to grow their Data Science team further by adding a Data Science Manager to oversee their pricing strategies. My client has been operating for over 100 years, insuring everything from livestock, central heating, TV's and even VR headsets. The Data Science team is a new venture for the business and is leading the company in a new exciting direction which champions automation, personalisation and data-driven decision making. The Data Science Manager will work directly with the Head of Data Science and will lead the successful delivery of the company's pricing strategy using advanced analytics and Machine Learning. You will grow and lead a team of Data Scientists and Pricing Analysts and will continually evolve the pricing models, delivering comprehensive pricing analyses. You will do this by building Machine Learning models that will tackle projects such as recommendation engines and Real Time pricing. Additionally you will monitor competitors' behaviour to maintain pricing optimisation. The right person for this role will have significant experience developing and implementing pricing models as well as have in-depth statistical skills with the ability to build Machine Learning models. You will be proficient programming in R as well as utilising SQL, any experience with tools such as DataRobot & Earnix is a bonus! In addition to your technical skills, you will also have the right personality to grow in to a leadership position, you must be able to provide examples of where you have managed or mentored junior members of staff and will be keen to build on this experience. As well as having the opportunity to be a part of the transformation of a large Legacy company, the career progression on offer is incredible. Promoting from within is a core concept this company stick by, an example of this being the current Head of Data Science who was promoted from a Senior Data Scientist position to become the current head of' within just over 2 years! Based in SW London, just 15 mins away from Waterloo station, this is a fantastic opportunity for someone considering their future career in this area. To find out more please contact Andy Driver."	"London, UK"	"IT"	NA	"£60-70k"	"RedCat Solutions "	"Andy Driver "	"JS"	"04/12/2018 07:04:23"	"http://www.jobserve.com/Gh1yD"	NA	NA	NA
"Data Science Manager"	""	"Maidstone"	"Permanent"	"Data Science Manager"	"Maidstone"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"This position is based within a fast growing credit management service provider based in Kent. The company is looking for an experienced Data Scientist or Credit Risk modeller to lead the Data Science team. The data science team is focused on understanding, measuring and predicting customer behaviour.SummaryThis opportunity is based within one of the largest and fastest growing credit management services providers in Europe. My client is searching for a Data Scientist/Credit Risk Modeller to lead their Data Science team. Key Responsibilities:Project based delivery of statistical and empirical analytics.Data warehouse interrogation, data collection, sample selection and preparation.Statistical model building to agreed objectives and deadlines.Become a subject matter expert.To be an owner in the business of making better predictions of payer behaviour and propensities to behave in each situation, through a better understanding in the drivers of consumer behaviour.Communicate well with our colleagues and listen to our customers.Explain the technical aspects of statistics to the team and wider as required.Clear project planning and management.Follow model development through to implementation and be prepared to automate models in the business, through SAS or other coding and quality checking.Critical assessment of Credit Bureau Data and other 3rd party data.Coach and mentor Junior Analysts.Work to further the understanding of consumer behaviour relating to the services provided by CCM.Work with other teams and departments to ensure modelling output is correctly deployed into the business.Key Requirements:Numerical degree or evidence of equivalent certification. Master's degree or PhD is preferred.Technical certification in interrogation software preferred (SAS, R, Python, SQL).Strong communication skills.Problem solving skills.Leadership skills.An interest in financial services.Two years + of managerial experience is preferred.If you would be interested in discussing this opportunity further, please get in touch.Phone/Email: (see below) "	"Maidstone, UK"	"IT"	NA	NA	"Robert Walters"	"Lucy Cova "	"JS-50322133/001"	"03/12/2018 15:48:52"	"http://www.jobserve.com/GlQyF"	NA	NA	NA
"Business Analyst - Data Science/Big Data"	"Market rate"	"London"	"Contract"	"Business Analyst - Data Science/Big Data"	"London - Market rate"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Business Analyst - Data Science/Big Data - Agile - London An urgent 6 month opportunity has arisen with a global market leading organisation for a Business Analyst to join a busy transformation project. Skills:  5+ years as a Business Analyst with a global organisation  Requirements management  Excellent written and verbal communication, preferably with technical writing skills  Agile experience  Understanding of Data science practices Please get in touch ASAP for more information. Business Analyst - Data Science/Big Data - Agile - London "	"London, UK"	"IT"	"ASAP"	"Market rate"	"Harris Global"	"Stacy Ball"	"JSSB/HARRIS/DS"	"03/12/2018 16:23:48"	"http://www.jobserve.com/GlRR6"	"6 months"	NA	NA
"CTO/Head of Data Science"	"Up to £80K"	"London"	"Permanent"	"CTO/Head of Data Science"	"London - Up to £80K"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"CTOData Science Start-Up Tech firmJoin and lead a growing Data Science and Software Engineering teamExcellent opportunity to join a forward thinking and innovative firm and help shape it moving forwardWork remotely with 2-3 days per month in LondonThis is an excellent opportunity to join a growing start-up firm and to help shape the business moving forward, get involved in new projects for the company and make a real impact to support the growth of the business. The company have a strong product that has had a great deal of praise by the companies that they work with and they are winning repeat business to support these companies with their data science challenges. What you'll be doing You will be coming into the business at a critical time, they are about to move from a product company to also adding on data science services for current and new clients. Your role will be to lead the Data Science and Software Engineering teams and have a big input into technology and commercial strategies. Their product has use cases across eCommerce, Financial Services, Healthcare, Content Discovery, Competitor Monitoring, Compliance and more. What experience you'll need to applyExperience of leading a Data Science or Analytics functionHands on python data science skillsClient facing experienceWorked on multiple data science projectsAn interest in business strategy and technology managementWhat you'll get in return for your experience A salary of up to £80K + benefitsFully remote workingEquity - % to be discussedWhat's next?Please get in touch with Alex with an up to date CV today. Don't hesitate to call/email to discuss the finer details."	"London, UK"	"IT"	NA	"Up to £80K"	"AD LIB"	"Alex Cosgrove "	"JSREMOTE DATA SCIENCE TECH FIRM"	"03/12/2018 09:44:07"	"http://www.jobserve.com/GlMXL"	NA	NA	NA
"Tableau Consultant - London - Data Science/Machine Learning"	"Up to £60k"	"London"	"Permanent"	"Tableau Consultant - London - Data Science/Machine Learning"	"London - Up to £60k"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Caspian one are currently looking for a Tableau Consultant for a large Data Science/Machine Learning/AI organisation based in Central London. The Client: Our Client captures data on projects - such as daily tasks, meeting notes, team sentiment, resource information and project progress - and use it to guide better decision-making. They do this by using machine learning, this enables them to predict the path of a project, helping teams to foresee issues, improve productivity and deliver efficiently. They are building a unique software package which integrates project management tooling with data science and analytics to support teams working on large change programmes to make better project decisions and predict upcoming issues through data insight, visualisation, predictive analytics and Real Time reporting. The Role: Our client is looking for a number of Tableau Consultants with at least 3 years of relevant experience to work their client teams to drive out analytical requirements through prototyping and visualization. The ideal candidate must have a passion for beautiful visualisation and data storytelling, and will have experience in the following: Developing reporting and data visualisations for clients in the form of advanced dashboards and workbooks. Understanding infrastructure requirements and best practices to support a Tableau deployment. Developing and documenting technical architecture, system design and other technical aspects. Be able to provide examples of producing impactful visualisations. Essential Skills: 3+ years of experience creating static and interactive visualizations, reports, and workbooks in Tableau. Ability to write SQL in order to pull, join, and aggregate data in order to create views for Tableau. Ability to work closely with users to understand the business purpose the report serves and identify/fix bugs. Self-starter and self-directed with some level of inquisitiveness to query and test results. Beneficial to have previous experience with QlikView. "	"London, UK"	"IT"	"ASAP"	"Up to £60k"	"Caspian One Ltd"	"Nathan Keighley "	"JSNK8604"	"03/12/2018 09:02:21"	"http://www.jobserve.com/Gj84b"	NA	NA	NA
"Machine Learning Engineer (Data engineering/Data Science)"	"£45k - 55k per year + Benefits"	"London, Greater London, England"	"Permanent"	"Machine Learning Engineer (Data engineering/Data Science)"	"London, Greater London, England - £45k - 55k per year + Benefits"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Machine Learning Engineer (Data engineering/Data Science)ML/Data engineer/Scientist is required for an innovative and well-funded start-up company based in a central London location. This is a diverse opportunity for a data scientist with machine learning and data engineering experience to join a company that changes the way we think about data, and what we can do with it!You will be using your engineering skills to build data pipelines and design algorithms to manage huge amounts of data.What's in it for you as the ML Engineer/Data Scientist:The ML Engineer/Data Scientist will have a competitive salary of up to £55,000Equity shares in the businessBeing part of an award winning, tech driven companyBeing part of a tech driven and dynamic teamWorking with a modern tech stackNew stylish office locationFlexible working hoursKey Skills and Responsibility of the ML Engineer/Data Scientist:Strong knowledge of algorithms and building data pipelinesExperience with classic Machine Learning technologiesExcellent knowledge of PythonGreat skills with pandas, numpy, scipy and sklearn2 years commercial experienceBSc or higher in a STEM subject Nice to have but not essentialExperience using R, Deep learning, NPLAs you can see this is a well-rounded and diverse opportunity to improve skills in all areas and join an innovative organisation in the machine learning industry as a Machine Learning Engineer.To apply for this position please send a recent CV.Keywords - Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, Big Data Engineer, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML. Venturi (TVGL Inc.) is an equal opportunity employer and does not discriminate on the basis of age, colour, sex (including pregnancy), gender, gender identity, genetic information, marital status, military/veteran status, national origin, ancestry, race, creed, religion, sexual orientation, transgender status, non-disqualifying physical or mental disability, domestic violence victim status, criminal or arrest record, unemployment status, or any other basis protected by applicable law. "	"London, Greater London, England, UK"	"IT"	"05/01/2019"	"£45k - 55k per year + Benefits"	"Venturi Limited"	"Georgia Bright"	"JS46392"	"05/12/2018 18:31:53"	"http://www.jobserve.com/GlqH1"	NA	NA	NA
"Advanced Analytics AI Engineer - Computer Vision - Data Science"	"Dependent on Eperience"	"London"	"Contract"	"Advanced Analytics AI Engineer - Computer Vision - Data Science"	"London - Dependent on Eperience"	"Contract"	"Posted: Tuesday, 4 December 2018"	""	"World Leading Global Energy Company has an exciting opportunity for an AI Engineer to support the Data engineer team lead in building a platform to train and fine tune deep learning algorithms developed by the data scientist team. The role is focused on building AR/VR applications to use in computer vision projects, within the Advanced Analytics Centre of Excellence.The environment is similar to a start-up, with rapid and agile development of POCs, scaled-up when appropriate. About the Role:- Build and Develop platforms based on Deep learning- Leverage Big Data skills such as Spark in building a data platform- Assure the quality of the delivery of advanced analytics PoCs - Develop products that can be easily scaled, replicated and reused- Understand current state-of-the-art, developments and practical applications of latest technology in the industry, technology vendors, academia and open source libraries to ensure that POCs are both leveraging the best algorithms and technology solutions and are grounded in what is realistically achievable.- Partner and instill learnings and best practice across the Digital organisationAbout You:- Hands on developer with a strong Java/Scala background- .NET/C# experience is highly preferred- An appreciation of Computer/Machine Vision - Able to write clean, elegant and maintainable production-level code- Support Requirement Definition enhancements- Deep experience in developing Big Data solution, using standard open source frameworks, toolkits and libraries - Developing solution using Spark and Databricks- Developing solution deployed on edge devices/Servers - Developing AR application using unity3d for Hololens- Solid experience in developing cloud solutions using AWS - Able to learn new skills and nurture new capabilities in your project teams to take advantage of emerging Big Data technologies- Lead proof-of-concept activities to demonstrate new technologies and approaches- Work with the ecosystem of partners and academics to derive the most value for the organisation and specific learning for your team- You will proactively set-up meetings, one-on-one sessions and events that help create change and improvement- You will transfer your knowledge and enthuse team members to try new approaches and techniquesMust have Skills- Hadoop based big data frameworks- Spark- One of Programming Languages - Scala, Python- RDBMS with SQL Server preferred- No SQL and in-memory databasesDesirable Skills:- Machine Vision experience - Visualization tools (Spotfire, PowerBI)- OpenCV- Understanding of CNN in deep learning - Source control using GIT/VSTS- Cloud tech (AWS/Azure)- Rest API using Python/Scala - Alteryx- MatlabWe believe in equality of opportunity for all job applicants regardless of gender, marital status, race, colour, nationality, ethnic origin, creed or religion, disability, sexual orientation or age.Specialising within Energy Trading, Oil & Gas, Financial Markets and TV & Entertainment, Eaglecliff Recruitment is ISO accredited, a Member of REC and listed within the top 4% for Financial stability by Dun & Bradstreet. Please telephone for an immediate response or email your CV for a reply within one hour. Eaglecliff Ltd is acting in the capacity of an employment agency for permanent recruitment and an employment business for contractor resourcing."	"London, UK"	"IT"	"ASAP"	"Dependent on Eperience"	"Eaglecliff Recruitment"	"Hannah Kelly "	"JS-17774"	"04/12/2018 16:22:26"	"http://www.jobserve.com/GlcAP"	"9 months Initia"	NA	NA
"Senior Data Analyst"	"£35k - £50k per annum"	"Bradford, West Yorkshire"	"Permanent"	"Senior Data Analyst"	"Bradford, West Yorkshire - £35k - £50k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data Analyst/Data Science Senior Data Analyst  Bradford  Up to £50,000  Your new role  My client is looking to recruit an experienced Data Analyst who is incredibly passionate about data. This is a hybrid role of Senior Data Analytics and Data Science, looking at what happened, why it happened and what we should do to fix it.  Preferably from a mathematical and statistical background, you will work on a number of various projects and create and develop a Data Strategy.  This is an exciting opportunity where you can develop your skill set and be a senior member of the data analytics team as there are major plans for growth in 2019/2020 to lead and mentor junior colleagues.  You will need to be a strong communicator and liaise with key business stakeholders  Experience needed  SQL, Python or R  Tableau and Pyramid analytics  Various projects experience  A strong understanding of the power of data  A consultative approach  Maths Degree preferred  Benefits  Competitive salary  Health Cash Back  Flexible working opportunities  Free onsite parking  26 days holiday plus bank holidays  A variety of other cultural and lifestyle benefits, aimed at promoting a positive work/life balance  What to do now  Call Jon Walters on (see below) for more information or click 'Apply'Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found on our website."	"Bradford, West Yorkshire, UK"	"IT"	NA	"£35k - £50k per annum"	"Hays Specialist Recruitment"	"Jonathan Walters "	"JS-3454422"	"03/12/2018 14:48:42"	"http://www.jobserve.com/GlQJM"	NA	NA	NA
"ML Engineer/Data Scientist"	"£65k per year + Benefits"	"London"	"Permanent"	"ML Engineer/Data Scientist"	"London - £65k per year + Benefits"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Machine Learning Engineer (Data engineering/Data Science)ML Engineer/Data Scientist is required for a tech-driven company in a stunning London location. This is a diverse opportunity for a data scientist/machine learning engineer to join a fantastic company, who are global leaders in their industry. You'll be working on an exciting data-centric product and have exposure to the entire life cycle of the product.What's in it for you as the ML Engineer/Data Scientist:The ML Engineer/Data Scientist will have a competitive salary of up to £65,000Being part of an award winning, tech driven companyGym membershipGenerous holidays, plus your birthdayHealthcare and eyecare benefitsBeing part of a data - driven and dynamic teamWorking with a modern tech stackNew stylish office locationWhat you'll be doing in this ML Engineer/Data Scientist:You will be applying NLP and other machine learning techniques to large amounts of data and performing analysisYou will be required to be consultative, and explain complex ideas to non-technical audiencesYou will be focused on production (not only researching)You'll be implementing prototypes and working in a Big Data environmentEssential skills of the ML Engineer/Data Scientist:2 years of commercial experienceExposure to NLPGood experience with machine learning and Data ScienceGreat programming skills in Python, R, Java or ScalaVery good communicative skillsAbility to work well in a close-knit teamPractical Knowledge of SQL/Nosql databasesRelevant Bachelor's degree in ML, Computer Science, Mathematics, statistics etcBeneficial skills of the ML Engineer/Data Scientist:Experience with deep learning, text mining or neural netsExposure to technologies such as tensorflow, decision trees, SparkMasters or PHD in relevant subjectAs you can see this is a well-rounded and diverse opportunity to improve skills in all areas and join an innovative data-driven company. To apply for this position please send a recent CV to: (see below) Keywords for search - Big Data, NLP, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, tensorflow, decision trees, computer science, statistics, Spark, Scala, R, neural nets, deep learning, SQL, NoSQL, Java Venturi (TVGL Inc.) is an equal opportunity employer and does not discriminate on the basis of age, colour, sex (including  pregnancy), gender, gender identity, genetic information, marital status, military/veteran status, national origin, ancestry, race, creed, religion, sexual orientation, transgender status, non-disqualifying physical or mental disability, domestic violence victim status, criminal or arrest record, unemployment status, or any other basis protected by applicable law.  "	"London, UK"	"IT"	"05/01/2019"	"£65k per year + Benefits"	"Venturi Limited"	"Georgia Bright"	"JS48749"	"03/12/2018 18:27:01"	"http://www.jobserve.com/GlSqq"	NA	NA	NA
