"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"
"Recruitment Consultant - 3rd Sunday Times Best Company!"	"£25k - £45k per annum + Benefits"	"Reading, Berkshire"	"Permanent"	"Recruitment Consultant - 3rd Sunday Times Best Company!"	"Reading, Berkshire - £25k - £45k per annum + Benefits"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"A background in sales is certainly ideal for this one, but we appreciate that everybody needs to start somewhere so we don't look for keywords on a CV. You're a real person with a real personality and we want to get to know you!Becoming a Recruitment Consultant with Austin Fraser comes with a host of benefits to make life that little bit sweeter, so let's jump straight into what's in it for you:Unrivalled in-house training programme.Uncapped Commission, meaning massive earning potential!Monthly Lunch Clubs.Holiday Incentives - Vegas, Barcelona and Barbados are just a few recent trips!Discount at selected retail stores.Lifestyle benefits including fitness classes, beauty treatments and free massages.Quarterly 5% bonus on 60k+ billings - To save you digging out that calculator from your pocket that your teacher said you'd never have, that's an annual bonus of at least £12,000!A clear progression structure.All National public holidays off.So what's the role of a Recruitment Consultant all about?Although no two days are regularly the same, a typical day will see you building up your network, winning and developing business over the phone and face to face, owning your own desk and building your recruitment empire.You'll be regularly sourcing the best talent around to showcase to your clients. You'll do this through proactive, creative and innovative methods. We're looking for out of the box thinkers! There's always heavy competition when it comes to great talent!Unlike most other agencies, you'll become a specialist. This means you'll cover a very niche market that nobody else within AF will be working. You won't need to tear someone down to get to the top.To achieve your specialist status you will undergo on-the-job training to ensure you're ready to take on the world of recruitment and really own your business.You'll also take part in our apprenticeship scheme, this involves a variety of different learning opportunities to support you in becoming the best recruitment consultant that you can be.Who are Austin Fraser?In short, we're an award-winning, international recruitment consultancy.We have specialist consultants that cover the Technology, Digital, Automation, Aviation and Life Science industries globally.We started life in a garage. Our co-founders, Pete and Del, kicked off the AF journey back in 2007 armed with nothing but one big vision.Fast Forward 11 years, we now have 6 office across Germany, America and the UK with a 7th due to launch in March 2019 - AF HamburgSo, if your looking to get stuck into the role of a Recruitment Consultant, we want to hear from you!Alternatively, if you've come this far down the advert and think Recruitment isn't quite your cup of tea, that's fine, perhaps you have a friend who would be a great fit? Feel free to send them our way!Austin Fraser is committed to being an equal opportunities employer, and encourages applications from candidates regardless of sex, race, disability, age, sexual orientation, gender reassignment, religion or belief, marital status, or pregnancy and maternity status.Due to the volume of applications received, we are unable to provide individual feedback to unsuccessful applicants."	"Reading, Berkshire, UK"	"Sales and Marketing, HR"	"ASAP"	"£25k - £45k per annum + Benefits"	"Austin Fraser Ltd"	"Christopher Walls"	"JS-RECCON"	"03/12/2018 08:51:00"	"http://www.jobserve.com/GlLfT"	NA
"Trainee Recruitment Consultant - Tech Division"	"£25k - £45k per annum + Benefits"	"Reading, Berkshire"	"Permanent"	"Trainee Recruitment Consultant - Tech Division"	"Reading, Berkshire - £25k - £45k per annum + Benefits"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"TRAINEE RECRUITMENT CONSULTANT, TECH DIVISIONAUSTIN FRASER, READINGA background in sales is certainly ideal for this one, but we appreciate that everybody needs to start somewhere so we don't look for keywords on a CV. You're a real person with a real personality and we want to get to know you!Becoming a Specialist Recruitment Consultant with Austin Fraser comes with a host of benefits to make life that little bit sweeter, so let's jump straight into what's in it for you:Unrivalled in-house training programme.Uncapped Commission, meaning massive earning potential!Monthly Lunch Clubs.Holiday Incentives - Vegas, Barcelona and Barbados are just a few recent trips!Discount at selected retail stores.Lifestyle benefits including fitness classes, beauty treatments and free massages.Quarterly 5% bonus on 60k+ billings - To save you digging out that calculator from your pocket that your teacher said you'd never have, that's an annual bonus of at least £12,000!A clear progression structure.All National public holidays off.So what's the role of a Recruitment Consultant all about?Although no two days are regularly the same, a typical day will see you building up your network, winning and developing business over the phone and face to face, owning your own desk and building your recruitment empire.You'll be regularly sourcing the best talent around to showcase to your clients. You'll do this through proactive, creative and innovative methods. We're looking for out of the box thinkers! There's always heavy competition when it comes to great talent!Unlike most other agencies, you'll become a specialist. This means you'll cover a very niche market that nobody else within AF will be working. You won't need to tear someone down to get to the top.To achieve your specialist status you will undergo on-the-job training to ensure you're ready to take on the world of recruitment and really own your business.You'll also take part in our apprenticeship scheme, this involves a variety of different learning opportunities to support you in becoming the best recruitment consultant that you can be.Who are Austin Fraser?In short, we're an award-winning, international recruitment consultancy.We have specialist consultants that cover the Technology, Digital, Automation, Aviation and Life Science industries globally.We started life in a garage. Our co-founders, Pete and Del, kicked off the AF journey back in 2007 armed with nothing but one big vision.Fast Forward 11 years, we now have 6 office across Germany, America and the UK with a 7th due to launch in March 2019 - AF HamburgSo, if your looking to get stuck into the role of a Recruitment Consultant, we want to hear from you!Alternatively, if you've come this far down the advert and think Recruitment isn't quite your cup of tea, that's fine, perhaps you have a friend who would be a great fit? Feel free to send them our way!Austin Fraser is committed to being an equal opportunities employer, and encourages applications from candidates regardless of sex, race, disability, age, sexual orientation, gender reassignment, religion or belief, marital status, or pregnancy and maternity status.Due to the volume of applications received, we are unable to provide individual feedback to unsuccessful applicants."	"Reading, Berkshire, UK"	"Sales and Marketing, HR"	NA	"£25k - £45k per annum + Benefits"	"Austin Fraser Ltd"	"Christopher Walls"	"JS-SPECIALISTTECH"	"03/12/2018 08:50:21"	"http://www.jobserve.com/GlLel"	NA
"Senior Developer"	"£45k - £55k per annum"	"Reading, Berkshire"	"Permanent"	"Senior Developer"	"Reading, Berkshire - £45k - £55k per annum"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Are you an accomplished developer with a wide breadth of technical know-how? Are you ready to take on the challenge of running a small team? Do you enjoy debate and (friendly) argument as a way to test your knowledge and assumptions? You write code, and you thrive on the challenge of making that code artistic in its simplicity. C# is your language of choice, but you take pride in being able to answer \"probably, yeah\" when someone asks \"I've got this bit of code that doesn't work, can you fix it?\" without having to ask what it's written in. You like neat, orderly separations between layers of code, enjoy the speed boots fluent mappings and ORMs provide but are worldly enough to know they've got their downsides too, and you like the idea of cloud and micro-services but have been around the block enough to know where the traps are. You revel in the freedom to suggest and implement new technologies - but you don't have problems supporting existing code and get your hands dirty with the odd bit of Legacy product. You like the idea of leading a team of developers, but prefer to spend your day in Visual Studio than in Outlook and Excel, and as much as you relish the opportunity to share your knowledge you don't want to be a teacher. You'll lead a small team of developers and QA engineers as a sub-team working on our SaaS product. You'll take part in sprints alongside other teams - spread across the UK, Ireland and Adelaide - and represent your team's work in scrums and scrum-of-scrums with the other TAs. What does the ideal candidate look like? - Excellent Technical skills, with the \"depth\" bit in C#, MVC and enterprise applications and breadth in just about anything tech - Excellent JavaScript skills, including exposure to Bootstrap, knockout, knockback, angular, node or similar and a good understanding of the underlying processes involved in ajax - Excellent SQL skills, including familiarity with query execution plans, optimisations and index maintenance, memory pinned tables and analysis services, reporting services and big-data techniques - A firm belief that code that doesn't have unit tests and automated test suites isn't worth having - Experience on Azure, AWS or similar, including IaaS and PaaS What's in it for you? As well as a competitive salary, pension contributions and holiday allowances, you'll have the opportunity to directly influence both the technology and product roadmap of a growing, ambitious company with some amazing people in it. You'll work alongside experts in a number of fields, and they'll put you through training on the technical tools and platforms (including for Microsoft certifications) as well as in management and organisational effectiveness You'll engage directly with experts from Microsoft and the wider tech sphere, as well as with our customers, and you'll build your own profile and reputation rather than being an anonymous cubicle farm drone. ISL (Incite Solutions Ltd) is acting as an Employment Agency in relation to this vacancy."	"Reading, Berkshire, UK"	"IT"	"07/01/2019"	"£45k - £55k per annum"	"ISL Recruitment"	"James Leech "	"JS-6041"	"07/12/2018 09:14:12"	"http://www.jobserve.com/Gl2tM"	NA
"IT Trainer/Coach - Returners Programme"	""	"United Kingdom"	"Permanent"	"IT Trainer/Coach - Returners Programme"	"United Kingdom"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Returning to work after a break doesn't have to be daunting. At QA, we want you to have a fulfilling career that works for you and your family - and we'll support you as you relaunch your working life. We're seeking tech trainers and coaches who love helping others to learn and accomplish their goals. This role offers returning parents the opportunity to utilise your existing skills but apply them in a completely different way. It's the perfect career for parents returning to work, whether you're experienced in a similar role or looking to retrain for a new career in teaching/education.We're offering this role as part of our Return | (Re)Train initiative - an exciting new programme to support returners, upskill talent for the tech sector and make getting back to work an exciting experience.The roleOur programmes and courses train up talent to meet employers' tech and business skills needs and help learners take their own careers to the next level. At QA, we genuinely transform our learners' lives, and in this role you'll be part of that. Whether you're teaching an apprentice their first line of code or supporting a new manager as they tackle the challenges of dispute management, you will be their teacher.With our support, you'll deliver tech course content through a combination of face-to-face, E-learning and digital methods and coach learners to help them succeed - whether they're highly qualified professionals or beginners looking to join the field. You'll teach both scheduled/public and customised courses for relevant areas of QA's tech portfolio.This is an exciting, fulfilling role where you get to interact directly with learners to help them grow their skills and achieve their potential.How we'll support your return to work A supportive workplace that accommodates your family responsibilities  Flexible working contracts - we can even offer you school holidays off  Training courses to help you learn new coaching skills or provide a refresher in the field  An assigned co-pilot/\"buddy\" to get you up to speed with our processes and award-winning tech coursesWhat we offer Generous base salary (dependent on experience)  School holidays off (or ad hoc holiday bookings if that is better for you)  Unique return-to-work training programme (not mandatory but there for you should you want to use it)  Two days paid charity work for a charity of your choice  Three days of paid training from your choice of 1,200+ diverse QA courses  Subsidised gym membership and cycle to work scheme  Private pensionYou are  Passionate about helping, supporting and teaching others  Willing to learn  Confident at speaking to groups of people (perhaps in customer-facing roles) with strong presentation, interpersonal and communication skills and the ability to share your expertise/experience with others  Eligible to live and work in the UK  Able to plan and deliver against set learning and achievement targetsWho are we? QA is one of the largest learning services organisations in the UK. We help develop skills and capabilities for everyone, from apprentices to business leaders. Headquartered in London with 20 more training centres nationwide, QA Group comprises four fast-growing divisions-QA Learning, QA Apprenticeships, QA Consulting and QA Higher Education-all of which deliver innovative, award-winning (2016 Top 20 IT Training Companies List) and ever-evolving skills solutions.We'd love to support your return to work-apply today and let's get started on your newest career chapter! "	"United Kingdom"	"IT, Education"	"ASAP"	NA	"QA"	"QA"	"JS2607359/599336859"	"06/12/2018 11:26:24"	"http://www.jobserve.com/GlxOH"	NA
"Trainee Recruitment Consultant"	"£25k - £40k per annum + Benefits"	"Reading, Berkshire"	"Permanent"	"Trainee Recruitment Consultant"	"Reading, Berkshire - £25k - £40k per annum + Benefits"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"TRAINEE RECRUITMENT CONSULTANT£25,000 - £40,000Austin Fraser, ReadingHere at Austin Fraser, we do recruitment a little differently.Unlike most other agencies, you'll become a specialist. This means you'll cover a very niche market that nobody else within AF will be working, you won't need to tear someone down to get to the top.You'll first focus on building up a network of exceptional candidates, this will really be the foundation of your recruitment business.To achieve your specialist status you will undergo on-the-job training to ensure you're ready to take on the world of recruitment and really own your business. You'll also take part in our apprenticeship scheme, this involves a variety of different learning opportunities to support you in becoming the best recruitment consultant that you can be.A background in sales is certainly ideal for this one, but we appreciate that everybody needs to start somewhere.We don't look for keywords on a CV, you're a real person with a real personality and we want to get to know you!Becoming a Recruitment Consultant with Austin Fraser comes with a host of benefits to make life that little bit sweeter:Unrivalled in-house training programme.Uncapped Commission, meaning massive earning potential!Monthly Lunch Clubs.Holiday Incentives - Vegas, Barcelona and Barbados are just a few recent trips.Discount at selected retail stores.Lifestyle benefits including fitness classes, beauty treatments and free massages.A clear progression structureAll national public bank holidays offQuarterly 5% bonus on 60k+ billings. To save you digging out that calculator from your pocket, you know, the that your teacher said you'd never have... that's an annual bonus of at least £12,000, on top of your commission!Who are Austin Fraser?In short, we're an award-winning, international recruitment consultancy.We have specialist consultants that cover the Technology, Digital, Automation, Aviation and Life Science industries globally.Just like all the great companies, we started life in a garage. Back in 2007, our co-founders, Pete and Del, kicked off the AF journey armed with nothing but one big vision.Fast Forward 11 years and we now have 6 offices across Germany, America and the UK with a 7th due to launch in March 2019 - AF HamburgSo, if your looking to be apart of somewhere that does things a little differently, we want to hear from you!Alternatively, if you've come this far down the advert and think Recruitment isn't quite your cup of tea, that's fine, perhaps you have a friend who would be a great fit? Feel free to send them our way!Austin Fraser is committed to being an equal opportunities employer, and encourages applications from candidates regardless of sex, race, disability, age, sexual orientation, gender reassignment, religion or belief, marital status, or pregnancy and maternity status.Due to the volume of applications received, we are unable to provide individual feedback to unsuccessful applicants."	"Reading, Berkshire, UK"	"Sales and Marketing, HR"	"ASAP"	"£25k - £40k per annum + Benefits"	"Austin Fraser Ltd"	"Christopher Walls"	"JS-TRREC"	"06/12/2018 15:58:22"	"http://www.jobserve.com/Glxz7"	NA
"Teacher of Computing"	""	"Hackney, London"	"Permanent"	"Teacher of Computing"	"Hackney, London"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Teacher of Computing Salary - Main scale + £1600 Mossbourne Allowance Start date - January 2019 Work pattern - Full-time Contract - Permanent Location - Mossbourne Community Academy Interview dates - TBC Mossbourne Community Academy is currently seeking an outstanding teacher of Computing. The successful applicant will be passionate about teaching Computer Science and about developing students as curious learners who will become fluent in the technical models and theories in computing. They will inspire students to appreciate the richness and diversity of the computing world by engaging with current trends. They will be well organised and willing to go the 'extra mile'. They will hold Qualified Teacher Status (QTS), have a proven track record of successful Computer Science teaching across different key stages and believe that all students can succeed in Computing courses. Working for a Mossbourne Federation Academy means being part of a community of exceptional practitioners. Colleagues are warm, welcoming and supportive; each morning you can expect a 'hello' from a friendly face. As one of the country's leading federations, expectations of staff are high. The Mossbourne Federation engages with, and supports its workforce, thus creating an inspirational working environment which nurtures the development of personal and professional excellence. Set within the metropolitan borough of Hackney, all Mossbourne Federation academies are in close proximity to London Overground stations, providing a no-fuss commute for colleagues living in other London boroughs. London's fashionable 'East and West Ends', are also only a short distance away. Federation staff are rewarded through access to a comprehensive benefits package, including but not limited to; First Rate Professional Development NQT Training Programme Season Ticket Loans MossBike Cycle to work scheme Coaching and Mentoring Employee Assistant Programme Corporate Gym Membership Discounts at local restaurants Recruitment Applicant Awards The Mossbourne Allowance (conditions apply) If you are passionate about innovative education, have a commitment to personal excellence and are ready for a new challenge, we welcome your application. In order to apply for this position please follow the link to our website and complete an application form via the button below. NB: Applications may be considered whilst the post is being advertised. Mossbourne Federation reserves the right to close adverts earlier than the stated deadline  \"The Mossbourne Federation is committed to safeguarding the welfare of children and young people and expects all staff to share this commitment. Applicants will be required to undergo child protection screening appropriate to the post, including checks with past employers and the Disclosure and Barring Service.\"  "	"Hackney, London, UK"	"Education"	NA	NA	"Mossbourne Community Academy"	"Mossbourne Community Academy"	"JS3573_6811436/578847656"	"02/12/2018 13:07:44"	"http://www.jobserve.com/GlEzy"	NA
"Teacher of Maths"	""	"Hackney, London"	"Permanent"	"Teacher of Maths"	"Hackney, London"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Teacher of Maths  Salary - Main scale plus £1,600 Mossbourne allowance Start date - January 2019 Work pattern - Full-time Contract - Permanent Location - Mossbourne Community Academy Interview dates - TBC  Mossbourne Community Academy is seeking to employ an outstanding teacher of maths to join from January 2019. The successful applicant will be ambitious, resilient and passionate about the teaching of maths and be willing to work as part of a team in raising the attainment in students' outcomes. This is a fantastic opportunity to join a high-performing and collaborative team. They will be well organised and willing to go the 'extra mile'. They will hold Qualified Teacher Status (QTS), have a proven track record of successful Maths teaching across different key stages and believe that all students can succeed in Maths. Working for a Mossbourne Federation Academy means being part of a community of exceptional practitioners. Colleagues are warm, welcoming and supportive; each morning you can expect a 'hello' from a friendly face. As one of the country's leading federations, expectations of staff are high. The Mossbourne Federation engages with, and supports its workforce, thus creating an inspirational working environment which nurtures the development of personal and professional excellence. Set within the metropolitan borough of Hackney, all Mossbourne Federation academies are in close proximity to London Overground stations, providing a no-fuss commute for colleagues living in other London boroughs. London's fashionable 'East and West Ends', are also only a short distance away. Federation staff are rewarded through access to a comprehensive benefits package, including but not limited to; First Rate Professional Development  NQT Training Programme Season Ticket Loans MossBike Cycle to work scheme Coaching and Mentoring Employee Assistant Programme Corporate Gym Membership Discounts at local restaurants Recruitment Applicant Awards The Mossbourne Allowance (conditions apply) If you are passionate about innovative education, have a commitment to personal excellence and are ready for a new challenge, we welcome your application. Please note that CV's or incomplete application forms will not be considered. All other applications will be considered, however, only those that are shortlisted will be contacted. Mossbourne Federation reserves the right to close adverts earlier than the stated deadline.   \"The Mossbourne Federation is committed to safeguarding the welfare of children and young people and expects all staff to share this commitment. Applicants will be required to undergo child protection screening appropriate to the post, including checks with past employers and the Disclosure and Barring Service.\"  "	"Hackney, London, UK"	"Education"	NA	NA	"Mossbourne Community Academy"	"Mossbourne Community Academy"	"JS3573_6814241/583836402"	"02/12/2018 13:07:41"	"http://www.jobserve.com/GlEzv"	NA
"Teacher of Business"	""	"Hackney, London"	"Contract/Permanent"	"Teacher of Business"	"Hackney, London"	"Contract/Permanent"	"Posted: Sunday, 2 December 2018"	""	"Teacher of Business Salary - Main scale + £1600 Mossbourne Allowance Start date - January 2019 Work pattern - Full-time Contract - Fixed Term with the possibility of a permanent Interview dates - TBC Mossbourne Community Academy is currently seeking an outstanding teacher of Business. The successful applicant will be passionate about teaching Business. They will inspire students to appreciate the richness and diversity of the Business world by engaging with current trends. They will be well organised and willing to go the 'extra mile'. They will hold Qualified Teacher Status (QTS), have a proven track record of successfully teaching Business Studies across different key stages and believe that all students can succeed in Business courses. Working for a Mossbourne Federation Academy means being part of a community of exceptional practitioners. Colleagues are warm, welcoming and supportive; each morning you can expect a 'hello' from a friendly face. As one of the country's leading federations, expectations of staff are high. The Mossbourne Federation engages with, and supports its workforce, thus creating an inspirational working environment which nurtures the development of personal and professional excellence. Set within the metropolitan borough of Hackney, all Mossbourne Federation academies are in close proximity to London Overground stations, providing a no-fuss commute for colleagues living in other London boroughs. London's fashionable 'East and West Ends', are also only a short distance away.  Federation staff are rewarded through access to a comprehensive benefits package, including but not limited to; First Rate Professional Development NQT Training Programme  Season Ticket Loans MossBike Cycle to work scheme Coaching and Mentoring Employee Assistant Programme Corporate Gym Membership  Discounts at local restaurants Recruitment Applicant Awards The Mossbourne Allowance (conditions apply) NB: Applications may be considered whilst the post is being advertised. Mossbourne Federation reserves the right to close adverts earlier than the stated deadline  \"The Mossbourne Federation is committed to safeguarding the welfare of children and young people and expects all staff to share this commitment. Applicants will be required to undergo child protection screening appropriate to the post, including checks with past employers and the Disclosure and Barring Service.\"  "	"Hackney, London, UK"	"Education"	NA	NA	"Mossbourne Community Academy"	"Mossbourne Community Academy"	"JS3573_6811438/578847718"	"02/12/2018 13:06:53"	"http://www.jobserve.com/GlEys"	NA
"Teacher of Mathematics- 'Good' Secondary School'- Lewisham"	"135.00 - 175.00 Annual GBP"	"London"	"Unspecified"	"Teacher of Mathematics- 'Good' Secondary School'- Lewisham"	"London - 135.00 - 175.00 Annual GBP"	"Unspecified"	"Posted: Thursday, 6 December 2018"	""	"* January 2019* * Experienced Teacher of Mathematics/Mathematics Teacher* *LB of Lewisham.* * Fixed Term and Full-Time.* * January 2019 to July 2019 (Two Terms)  * £135-£175 per day Thriving and growing Secondary School in Lewisham is looking for a Teacher of Mathematics/Mathematics Teacher to commence employment in January 2019. This diverse and educational school ensures that all pupils are treated equally and are given a great opportunity to achieve their grades and reach their full potential. Staff members in the school also prioritise equality and recognise diversity to ensure that all pupils are giving the chance to achieve their grades even if they are facing difficult environments outside of the learning establishment. The head teacher also inspires and continues to welcome and offer support for students in their educational establishment.  The role...  Teach KS3 to KS5 Mathematics to 11 to 18 year oldsPrepare revision sessions for KS4 and KS5 examinations Provide a variety of learning styles for children in the classroomEngage students in the lesson and build class rapport The ideal candidate will... Have experience teaching KS3 to KS5 mathematicsHold UK recognised Teaching Qualifications (PGCE, PGDE, GTP, SCITT with QTS)Have obtained a 'Good' to 'Outstanding' teaching recordBe able to prep GCSE and A-Level students for summer examinationsHave the ability to build rapport and engage with students and staff in the school.The Teacher of Mathematics/Mathematics Teacher position is for a January 2019 and fixed term and Full time position until July 2019 for a Secondary School in Lewisham. As this role is in high demand, the school are looking to interview ASAP! If this is a great opportunity for you, then please apply for this role immediately! All shortlisted candidates will be contacted within one to two working days.  "	"London, UK"	"Education"	NA	"135.00 - 175.00 Annual GBP"	"SERVOCA EDUCATION RESOURCING"	"SERVOCA EDUCATION RESOURCING"	"JS3561_36754798/596919042"	"06/12/2018 07:04:28"	"http://www.jobserve.com/GlvGy"	NA
"Teacher"	"16 Hourly after completing induction GBP"	"Southwark, London"	"Permanent"	"Teacher"	"Southwark, London - 16 Hourly after completing induction GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"JOB OVERVIEW - Teacher role  At The Complete Works Independent School, we are looking for passionate teachers to deliver creative lessons while successfully nurturing and inspiring our students. As part of our energetic and welcoming team, you will enthuse and motivate students to strive for success whilst following the schemes of work which will be provided.  WHY CHOOSE US: The Complete Works (TCW) is an alternative educational provision, which delivers a unique and innovative education to students. Our approach to learning allows students to feel empowered and appreciated. You do not require having a teaching qualification to teach at The Complete Works. We have students all over London eg Southwark, Lewisham, Tower Hamlets, Islington and Hackney.  The majority of our students have an individual teacher assigned to deliver their education Pathway, which is based off-site at their homes, libraries or other suitable settings. We also have TCW education centres where students can come and learn on-site together in small groups. Sometimes the circumstances can be challenging but often the results are very rewarding. WHAT WE OFFER: You will be on an induction rate for the first four weeks. After the four weeks, your rate will be reviewed and be increased Bank worker contract A school that is fully dedicated to developing every child to reach their full potential, irrespective of their ability Collaborative working within our shared family of schools to support our endeavours to work smarter and achieve an effective balance between home and work. A dedicated and friendly team of professionals who are keen to develop and learn. Development through mentorship and coaching Trainings  Facilities to resource your ability to teach your students  Tailor made individual learning plans for every student  JOB REQUIREMENTS: Some experience working with SEN or behavioural students Would like to make a difference Passionate about education Degree or equivalent  THE RIGHT CANDIDATE WILL HAVE: A detailed knowledge of the curriculum and its means of delivery High standards of communication and interpersonal skills. The ability to work as a team. The ability to work towards deadlines. The ability to motivate both students and your peers. Highly motivated and enthusiastic. Excellent attendance and punctuality. Experience innovating to deliver the curriculum "	"Southwark, London, UK"	"Education"	NA	"16 Hourly after completing induction GBP"	"THE COMPLETE WORKS INDEPENDENT SCHOOL"	"THE COMPLETE WORKS INDEPENDENT SCHOOL"	"JS3573_6814764/583836162"	"02/12/2018 13:15:38"	"http://www.jobserve.com/GlE8J"	NA
