"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"duration"
"Machine Learning Researcher (Graphical Models,Gaussian Process)"	"£75k - £110k per annum"	"London"	"Permanent"	"Machine Learning Researcher (Graphical Models,Gaussian Process)"	"London - £75k - £110k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Machine Learning Researcher (Graphical Models, Gaussian Process)We are seeking a Machine Learning Researcher (Graphical Models, Gaussian Process) for our globally acting company; we are currently looking to build a Team of Researchers with experience in Bayesian Inference or Probabilistic Programming. We are a best known for revolutionising the Gaming Industry and developing virtual worlds.As a Machine Learning Researcher you will join a newly formed team of Learning Researchers with the aim of bringing a Research product to a niche market. Our long term goal is a general purpose probabilistic model. As a Machine Learning Researcher you will be working within Bayesian Inference, Probabilistic Programming, Probabilistic Programming Libraries, Big Data Analysis and Bayesian Nets.We are looking for someone who is passionate and motivated to work on our mission. You don't have to have a background in Machine Learning for this position as a Machine Learning Researcher, but you should be ambitious, motivated and able to think out the box.What we can offer a Machine Learning Researcher A chance to be a part of some exciting work whilst being part of a company with more job security than a startup.A relaxed and informal working environment with very little bureaucracy.The chance of publishing your work at leading conferences worldwide (NIPS, ICRA, ICML etc.)A role really close to academia, with strong links to top universities.Key Skills Include: Machine Learning Engineer/Machine Learning Researcher, Researcher, Research, PhD, Publications, Times-Series Forecasting, Gaussian Mixture Models, Machine Learning, ML, AI, Deep Learning, Deep Neural Nets, Natural Language Processing, NLP, Bayesian inference, Bayesian Data, Probabilistic Modelling, Complex Data, Matlab, Python, C++, R, SQL, Mathematics, Statistics, Engineering, Computer Science, Physics, Machine Learning Engineer, Software Engineer"	"London, UK"	"IT"	"Executive"	"ASAP"	"£75k - £110k per annum"	"Understanding Recruitment"	"Thomas Attwell "	"JS-BBBH4930"	"03/12/2018 05:00:56"	"http://www.jobserve.com/GlHh8"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Machine Learning Researcher (NLP, Times series forecasting)"	"£100k - £150k per annum + bonuses"	"London"	"Permanent"	"Machine Learning Researcher (NLP, Times series forecasting)"	"London - £100k - £150k per annum + bonuses"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Machine Learning Researcher/Quantitative Researcher (NLP, Times series forecasting)We are looking for a Machine Learning Researcher/Quantitative Researcher (NLP, Times series forecasting) to join our dedicated Machine Learning Research team; helping us to cQreate some of the most advanced predictive Machine Learning models in the world and implement them within the financial markets.Culturally, we would describe ourselves as a startup within a larger organisation. The way we operate is very similar to academia, so as a Machine Learning Researcher/Quantitative Researcher you will be asked to go away and read the latest publications within the fields of Deep Learning/Reinforcement Learning/Bayesian Inference/Gaussian Process/Times Series Forecasting and look at new and innovative ways you could implement this within our business. As a Machine Learning Researcher/Quantitative Researcher if you enjoyed the style in which you conducted your postdoctoral research or your PhD - though felt a frustration with no 'real-world impact' - this could be a good move for you. Our fund manages nearing thirty billion dollars; a growing number year on year. What we can offer a Machine Learning Researcher/Quantitative Researcher (Deep Learning, Predictive Models)A place in a leading hedge fund working with the some of the brightest minds in the ML-for-finance industryNon-hierarchical structure, startup culture, hack rooms + music roomsTo be a part of something bigger with the ML community; we host ML meetups attending by leading academics/industry leadersA chance to publish your own papersTo join a dedicated team of 7 ML Researchers, as we grow to ten people in 2018.Key Skills: Machine Learning Researcher/Quantitative Researcher, Quantitative Researcher, ML, Artificial Intelligence, AI, Hedge Fund, Neural Networks, Python, Gaussian Process, Bayesian Inference, Time-Series, Multi-Agent Systems, Deep Learning, Reinforcement Learning, Probabilistic Models, Neural Networks, Natural Language Processing, Markov Models, Signal Processing, Computational Statistics, Econometrics"	"London, UK"	"IT"	"Executive"	"ASAP"	"£100k - £150k per annum + bonuses"	"Understanding Recruitment"	"Mat Ferdenzi "	"JS-SM-4011"	"03/12/2018 05:00:46"	"http://www.jobserve.com/GlHhz"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Machine Learning Engineer (AI in Healthcare, Java, AWS)"	"£35k - £50k per annum + equity and Benefits"	"Belfast"	"Permanent"	"Machine Learning Engineer (AI in Healthcare, Java, AWS)"	"Belfast - £35k - £50k per annum + equity and Benefits"	"Permanent"	"Posted: Monday, 26 November 2018"	""	"Machine Learning Engineer (AI in Healthcare, Java, AWS):We are currently looking for a passionate Machine Learning Engineer (AI in Healthcare, Java, AWS) to join an internationally recognised organisation based in central Belfast. This company are currently providing personalised healthcare services, through their unique Machine Learning technology, to a variety of high profile cliental within the pharmaeutical and diagnostic domain.As a Machine Learning Engineer, you will be part of a small, academic team and play a key role in how Machine Learning is implemented, as the organisation expands further into the global market place. You will be effecting real-world problems, developing technology that will work to save lives and provide better treatment to those in critical condition.We're looking for a Machine Learning Engineer, who is willing to take on a hands-on approach and join a team of researchers and engineers who are paving the way in regards to AI in the field of healthcare. Within this organization, you will be working on mathematical models, as well as developing ML algorithms and finding solutions for Big Data.What we can offer a Machine Learning Engineer (AI in Healthcare, Java, AWS):Join an organisation who are applying Machine Learning technology to real-world problemsWorld as part of a small-team, agile teamBe a key decision maker within the ML team, implement new ideasWork alongside key players within the pharmaceutical and medicine industry on a global scaleKey Skills: Machine Learning Engineer (AI in Healthcare, Java, AWS); Java, Cloud, Google Cloud, AWS, Python, C++, C, R, MATLAB, Computer Science, Maths, Mathematics, Physics, Astrophysics, Tensorflow, Mathematical Models, Algorithms, Machine Learning Algorithms, Healthcare, Medicine, AI, Artificial Intelligence, Diagnostics, Belfast, Msci, Bachelors, PhD, Postdoc, Research, Researcher, SQL, Scikit Learn, PANDAS, Apache Spark, Neural Networks, Deep Learning, Non-Linear Models, Lambdas, Redshift, Elasticsearch, DynamoDB, Decision Trees, Monte Carlo, GCP, Big Data, Development, Software Developer, Software Engineer, Programmer"	"Belfast, UK"	"IT"	NA	"ASAP"	"£35k - £50k per annum + equity and Benefits"	"Understanding Recruitment"	"Anna Heneghan "	"JS-BBBH1522"	"26/11/2018 19:05:51"	"http://www.jobserve.com/GkABl"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Machine Learning Software Engineer (Image Recognition)"	"£35k - £100k per annum"	"Portsmouth, Hampshire"	"Permanent"	"Machine Learning Software Engineer (Image Recognition)"	"Portsmouth, Hampshire - £35k - £100k per annum"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Machine Learning Software Engineer - Portsmouth - Salary based on experience Your new company  A innovative company specialising in the development, integration and sustainment of advanced technology systems.Your new role  You will be working on an exciting new project involving advanced image recognition software products. Using machine learning techniques you will also be exploring new products and creating prototypes to be used by the companies customers.What you'll need to succeed Experience of working with Machine Learning in a commercial settingExperience with 1 or more Machine Learning frameworks, including: TensorFlow, Caffe, CNTK, Torch/Pytorch, MXNET, Chainer, Keras and Deeplearning4j.Skilled in C/C++ codingExperience with Java/J2EE or Ada95 would be advantageousExperience in an Agile environment What you'll get in return A very competitive salaryGreat career progression opportunities What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found on our website."	"Portsmouth, Hampshire, UK"	"IT"	"Executive"	NA	"£35k - £100k per annum"	"Hays DT - South Coast"	"Toby Ambrose"	"JS-3414390"	"30/11/2018 14:49:04"	"http://www.jobserve.com/GkqIy"	NA	NA
"Machine Learning Engineer"	"Very Generous Salaries Offered + Benefits "	"London"	"Permanent"	"Machine Learning Engineer"	"London - Very Generous Salaries Offered + Benefits "	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Machine Learning Engineer London Very Generous Salaries Offered + Benefits A competent and experienced Machine Learning Engineer is required for an exciting Fintech startup based in Central London. This Machine Learning Engineer role will see you join the team during the early stages of their ventures and will see you help assist with a number of interesting Natural Language Processing projects. Skills Required - The ideal candidate will have a Natural Language Processing PhD or similar A minimum of 2 years commercial experience within an industry leading engineering environment. This is an excellent opportunity for a forward thinking candidate to jump onboard a really exciting startup at a key time for their development - They have enjoyed an excellent start the year and are on course to becoming real heavyweight in the tech market. To apply for Machine Learning Engineer role please send your CV and Portfolio/work examples to Ellis McWilton at Arc IT Recruitment. Machine Learning, Engineer, AI, Natural Language Processing, Development, London. "	"London, UK"	"IT"	NA	NA	"Very Generous Salaries Offered + Benefits "	"ARC IT Recruitment"	"Ellis McWilton "	"JS-5933"	"30/11/2018 15:53:54"	"http://www.jobserve.com/GkqPc"	NA	NA
"DevOps Engineer (Machine Learning)"	"£60k - £70k per annum + Benefits"	"Uxbridge"	"Permanent"	"DevOps Engineer (Machine Learning)"	"Uxbridge - £60k - £70k per annum + Benefits"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"DevOps Engineer (Machine Learning), £60,000 - £70,000We are seeking a DevOps Engineer to join a hugely impressive tech team using modern container, infrastructure as code and cloud tools who are building machine learning driven security products, protecting individuals through to global companies from cybersecurity threats.As the DevOps Engineer you will join a highly intelligent group of Software and DevOps Engineers running huge scale production infrastructure using chaos engineering principles. You will take a broad role across ops tooling, working in an infrastructure as code environment using Terraform, enhancing the use of Kubernetes (the team are happy to train those who would like more container experience) and working with scalable AWS.We are looking for a DevOps Engineer with:Broad knowledge of infrastructure technologies which could include Terraform, Kubernetes or AnsibleExperience of cloud environments, AWS preferredSome form of Scripting/programming experience; Bash, Python or GoA technical Degree or strong academic background would be highly beneficialDevOps Engineer (Machine Learning) Salary: £60,000 - £70,000 plus BenefitsLocation: Uxbridge, West London"	"Uxbridge, UK"	"IT"	NA	NA	"£60k - £70k per annum + Benefits"	"Understanding Recruitment"	"Tom Parker "	"JS-TP-UDE8"	"02/12/2018 14:01:01"	"http://www.jobserve.com/GlFEq"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Quantitative Researcher (Machine Learning, NLP, Stat Inference)"	"£125k - £150k per annum + bonus"	"London"	"Permanent"	"Quantitative Researcher (Machine Learning, NLP, Stat Inference)"	"London - £125k - £150k per annum + bonus"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Quantitative Researcher (Machine Learning, NLP, Stat Inference)We are looking for a Quantitative Researcher (Machine Learning, NLP, Stat Inference) to join our world leading research company; helping us to predict the future of financial markets.If you enjoyed the style of working in academia but also like the idea of working for one of the largest research companies in the world, this could be the right step for you. As a Quantitative Researcher, you would be working on a variety of different areas like Neural Networks, Deep Learning, Bayesian statistics, approximate inference, Time-Series forecasting and probabilistic models. You would be working in a small team of Quantitative Researchers on dedicated projects enjoying flexible working hours and a lot of freedom regarding you research.What we can offer a Quantitative Researcher the following:The chance to work for a leading research companyFlexible working hours, the freedom to work on your projects the way you prefer, a great company culture and exceptional team spiritThe chance to work on exciting real-world problems within Machine LearningA chance to visit the leading conferences in Machine Learning (NIPS, ICML) and the opportunity to publish your own papersBeing a part of a small team of Quantitative Researchers with the chance to enjoy an exceptional working environment including team events, team building activities and a dedicated open working spaceRelocation package and visa sponsorship supplied for the right candidateKey Skills: Quantitative Researcher, Quantitative Researcher, ML, Artificial Intelligence, AI, Finance, Neural Networks, Python, Gaussian Process, Bayesian Inference, Time-Series, Multi-Agent Systems, Deep Learning, Reinforcement Learning, Probabilistic Models, Approximate Inference, Neural Networks, Natural Language Processing, Markov Models, Signal Processing, Computational Statistics, Econometrics, Mathematical Modelling"	"London, UK"	"IT"	"Executive"	"ASAP"	"£125k - £150k per annum + bonus"	"Understanding Recruitment"	"Mat Ferdenzi "	"JS-BBBH1522"	"03/12/2018 05:00:51"	"http://www.jobserve.com/GlHh4"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Python/Java Machine Learning/AI Developer - Finance - £55k-£85k"	"£55k - £85k per annum + bonus"	"City of London"	"Permanent"	"Python/Java Machine Learning/AI Developer - Finance - £55k-£85k"	"City of London - £55k - £85k per annum + bonus"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Python/Java Machine Learning/AI Developer - London based Brokerage - up to £85kPython/Java Developer required to work on the next generation of artificial intelligence(AI)/machine learning technology at a leading financial services brokerage in London. The team operate like a fintech within the organisation, focussing on creating cutting edge technical solutions within a collaborative and innovative environment, much of the work is greenfield.As a Python/Java Developer within this team you will also have extensive exposure to; Cloud AWS, JavaScript with react and openfin applications. This is an expanding team with a lot of investment being invested into their development with the AI/machine learning space too. The role will also give a strong Python/Java technologist exposure to the financial services market and provide an understanding of how large transactions are carried out and processed.The successful Python/Java Developer can look to receive between £55,000 and £85,000 base, plus a healthy package and bonus.Requirements:Commercial Python or Java development experienceExperience with Cloud platforms, ideally AWSExperience of working on the full software development life cycleIdeally experience or an interest in AI/Machine LearningFinancial Services experience desirable, but not essentialStrong academic profile (Computer Science preferred)Full job specification can be provided upon applicationMcGregor Boyall is an equal opportunity employer and do not discriminate on any grounds. "	"City of London, UK"	"IT"	NA	NA	"£55k - £85k per annum + bonus"	"McGregor Boyall"	"Luke Nutley "	"JS-LN1423398"	"30/11/2018 16:29:27"	"http://www.jobserve.com/Gkqhb"	"About McGregor Boyallwww.mcgregor-boyall.com/McGregor Boyall is one of the UK's leading financial services recruitment firms. We have been established for over a quarter of a century and have built an unrivalled reputation for helping organisations recruit the very best talent to ensure that they realise their business and operational objectives. We deliver recruitment solutions for contract, interim and permanent positions across the following areas: Accounting & Control | IT & Change | Compliance | Finance | Marketing & Communications |  Risk | HR and Talent Management | Business Intelligence |   "	NA
"Java Developer - Machine Learning Technology - London"	"£75k per annum"	"London"	"Permanent"	"Java Developer - Machine Learning Technology - London"	"London - £75k per annum"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Java Developer - Machine Learning Technology - LondonThis Java Developer role will be responsible for development and delivery of production ready code.This will be a fast paced Java Developer role, delivering excellent solutions for customer requirements.Client DetailsThis is a fantastic opportunity for a Java Developer to work in a growing team, on cutting edge technology, delivering exciting solutions using Java.Our client has an innovative product using the latest technologies to solve problems for the clients globally.Description This Java Developer role will involve:-- Delivering and developing end to end features and projects- Working closely with the team to take projects through to live production- Development of new features and products processesProfile The successful Java Developer candidates MUST have:-- 3+ years Java Development experience- 2+ years using Spring MVC - Experience with Linux systemsJob Offer - Fantastic salary up to £75K per annum- Working with cutting edge technology"	"London, UK"	"IT"	NA	NA	"£75k per annum"	"Michael Page Technology"	"Shak Shakir "	"JS-13929292/001"	"30/11/2018 13:37:13"	"http://www.jobserve.com/GkqEk"	NA	NA
"DevOps Engineer (AI, Machine Learning)"	"£55k - £65k per annum + Flexible Working"	"London"	"Permanent"	"DevOps Engineer (AI, Machine Learning)"	"London - £55k - £65k per annum + Flexible Working"	"Permanent"	"Posted: Sunday, 2 December 2018"	"Viewed: 11 hours ago"	"DevOps Engineer (AI, Machine Learning) £55,000 - £65,000 + flex workingWe are seeking a DevOps Engineer with strong development skills to help the improvement of DevOps process and tooling for a hugely talented team building artificial intelligence and machine learning platforms.The team offer a flexible working environment with the option of part remote work.We are looking for a DevOps Engineer who has:Strong development/programming knowledge using either Go, Python or Java (open to languages)Container knowledge using Docker or KubernetesBroad tech experience which could include CI tooling and process, automation or LinuxExperience with Solr search platformsAs the DevOps Engineer you will ensure vital, highly available Servers, systems and tooling are reliable, robust and scalable, proactively improving process and architecture, improving deployment process and working with the wider software engineering team to look into future operations improvements.DevOps Engineer (AI, Machine Learning)Salary: £55,000 - £65,000 plus benefits and flexible workingLocation: London"	"London, UK"	"IT"	NA	NA	"£55k - £65k per annum + Flexible Working"	"Understanding Recruitment"	"Jamie Carr "	"JS-(J2472)"	"02/12/2018 14:00:53"	"http://www.jobserve.com/GlFEl"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
